SSP2,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,24424404,28690915,33369852,38275775,43343569,48402565,53195862,57522118,61344538,64641043,67467158,69738534,71247514,72078691,72117557,71462729
ALB,1824941,1701947,1589537,1519935,1446371,1354730,1244304,1119393,1021538,952863,902151,851567,807919,757656,717981,686640
DZA,29387088,31933553,34456223,36387900,37498845,37935158,38329244,39055471,40279662,41300724,41336290,40323204,38842599,37578448,36682930,35900612
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,20370252,24235439,28616203,33314984,38132217,43075378,48061969,52945693,57602460,61759323,65263625,67982836,69885129,71124901,71665951,71406797
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,67544,67787,67043,66418,65896,65173,64079,62923,61688,60443,58838,57182,55503,53823,51958,49844
ARG,30207206,31531441,32574160,32831170,32669328,32396641,32002300,31358700,30637032,29850229,28865252,27663286,26551076,25833438,25107222,24315651
ARM,1788128,1730475,1713468,1693450,1646831,1562208,1458943,1376675,1350051,1332538,1302078,1253739,1211898,1181021,1160318,1142302
ABW,72339,71755,71123,71160,71664,72552,73598,74848,75988,75511,74211,72730,71547,70359,68800,66681
AUS,17107370,17480692,17847225,18003529,18244315,18278258,18214793,18166722,18251548,18403441,18342944,18128394,17891706,17726285,17512549,17256009
AUT,5863547,5667382,5488559,5381052,5324306,5209816,5082639,4959631,4894840,4866452,4810265,4712716,4582149,4461671,4333001,4199088
AZE,7287416,7512212,7605629,7578578,7497149,7327081,7068828,6820662,6682064,6574426,6333264,5990038,5748623,5613450,5468949,5286298
BHS,300493,300579,297618,292048,288301,284660,280017,271460,262015,252101,241136,233798,227528,221223,213840,205606
