Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
TON,61220,61241,60237,58134,55287,51711,48092,44522,41521,38510,35509,32417,29603,27393,25638,24206
TTO,1038407,1012979,995206,962424,910978,840635,775146,729621,693527,655951,611383,562353,514746,474614,439366,406298
TUN,8260117,8530143,8759246,8817616,8648669,8327204,7919816,7568014,7323054,7065928,6690289,6148388,5567201,5087925,4714594,4409224
TUR,59598585,61581523,63024174,62902845,61906856,60206271,58114175,55953385,53582984,51380987,48809622,45764497,42423341,40088468,37952385,35964814
TKM,4211676,4526757,4852299,5140056,5312250,5380684,5340633,5286115,5249733,5182719,5013904,4707921,4368452,4034950,3758970,3505367
TCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TUV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UGA,27502525,32594411,38047583,43607144,48905795,53801492,57804543,61049584,63548367,65056754,65634819,65313724,64190906,62356577,60085377,57440018
UKR,24109297,24457442,24537356,24032235,23015788,21707568,20427830,19688872,19316931,18862074,17943723,16766194,15759205,14863561,14132274,13365740
ARE,8278562,8832549,9205346,9301113,9106707,8617688,8039639,7625836,7421775,7274071,6979070,6557201,6099391,5689502,5295547,4905799
GBR,43440976,44058144,44390757,44565565,45046763,45199321,45273680,45339750,45468063,45272734,44241642,42702868,41191620,40100662,38984867,37744333
TZA,38069534,44774505,52463722,59855017,66431500,72365292,77624138,82473006,86339922,88642619,89384020,88806338,86523110,83649023,80375362,76546890
USA,223146291,226594352,231155651,234406380,238244583,240960158,242875351,244048624,244703303,242048022,236199645,229316728,221889831,215853247,209166325,201510721
VIR,57856,55713,54074,52714,51468,50155,49100,48092,47258,46058,44091,41523,38842,36508,34368,32284
URY,2223019,2216760,2192550,2114312,2009586,1907684,1781846,1641409,1497486,1360817,1223102,1081857,952937,858925,774413,696736
UZB,23123281,24542074,26307278,27923166,28856176,29216068,29059497,28752896,28581891,28316739,27480543,26157670,24385066,22527469,20937735,19459519
VUT,198073,226694,255201,278670,296677,309848,317431,321623,324290,322646,313617,297356,277534,258681,241430,224740
VEN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VNM,67980509,69625517,71194229,70912481,69199776,66325343,62791148,58916536,55998279,52894220,49324203,45072171,40500009,36674946,33440584,30749692
WLF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ESH,431208,480377,526366,560950,583630,593099,598940,608037,613105,607745,587908,555435,516212,479560,444473,409135
YEM,21021789,24161881,27317922,30079876,32272660,33808410,34635628,34982760,35046264,34692549,33787836,32362728,30470337,28500971,26598085,24790922
ZMB,12125566,14338148,16643467,18700677,20487122,22080339,23385600,24465769,25219948,25553847,25378032,24763519,23792506,22731885,21575441,20328191
ZWE,9590194,10891882,12102976,13024639,13644387,13967910,14131921,14180580,14009494,13607033,13067527,12294938,11466187,10718964,10054216,9444351
