Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
CRI,3645154,3737880,3804190,3800480,3742663,3622826,3454191,3281369,3104250,2922513,2712217,2482694,2254582,2075280,1907568,1746926
CIV,16934987,19437592,22022668,24218508,25870780,27212862,28217537,28836343,29044302,28798055,28092495,26974413,25486766,23966073,22507762,21072505
HRV,2459807,2302311,2172178,2060936,1943091,1822884,1722478,1640345,1566595,1504779,1426783,1334797,1239940,1155288,1078692,1006376
CUB,7556005,7174558,6710812,6260317,6004904,5735247,5321626,4941993,4603175,4271103,3973685,3625904,3299609,3009642,2753329,2520716
CUW,135987,142448,149403,156434,163393,168386,170922,170475,168468,164704,158592,150515,141460,132922,124452,115854
CYP,899214,927161,953426,968217,968743,951724,927882,917631,916371,906122,879603,837310,787786,744869,704145,662392
CZE,6919211,6830720,6745535,6516846,6169668,5937771,5742499,5598610,5567368,5489059,5273897,5003759,4702979,4445110,4234557,4040937
PRK,18006996,17752437,17260593,16867106,16524929,15893682,15081770,14131949,13266919,12515919,11754417,10929923,9929589,8877070,8181553,7682895
COD,54565753,65013277,77381877,90337229,102917534,114837716,125724999,135984018,144895243,152005247,156635157,158487659,157533399,154813133,150943015,145901243
DNK,3755584,3726309,3692207,3680710,3707114,3758636,3770540,3736429,3701034,3658568,3587936,3515098,3423622,3336449,3239207,3137442
DJI,763087,824234,879441,915292,934804,943393,939295,924392,898361,857350,808615,754653,694833,640726,590849,542977
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,7500778,7825420,8101197,8249073,8247440,8119703,7870223,7525605,7166403,6781710,6365625,5889179,5394703,4949901,4557203,4204453
ECU,12249581,12934872,13421025,13704128,13724226,13477998,12981509,12352900,11645464,10901946,10087556,9212049,8370655,7589259,6905458,6302414
EGY,72502731,80466179,88091068,94370557,99065745,102445806,104671218,106522160,107485507,107015100,104776286,99827813,93932755,88223268,82647690,76837322
SLV,4115310,4088054,3999341,3852379,3642540,3404667,3124900,2800490,2490036,2243461,2035105,1834415,1655433,1507532,1388359,1289912
GNQ,1095732,1294832,1506445,1702346,1879376,2032560,2146709,2249928,2337800,2395809,2372086,2297734,2182836,2053931,1911157,1758649
ERI,2191307,2410946,2594497,2729594,2818847,2864834,2860975,2811257,2712733,2585365,2432816,2275409,2117997,1970863,1837408,1715777
EST,842308,809839,788115,756269,724227,689436,653171,632891,623323,608256,579745,545651,509566,479998,453849,428650
SWZ,753321,804821,851442,881343,890718,881104,852523,814738,778815,734025,679963,622814,566625,518100,476393,438657
ETH,76158404,87345066,99607777,110795579,120192720,128115928,133875087,137943702,140084574,140014927,137811285,133829115,127461477,120499804,113508389,106338057
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FJI,596336,594025,592274,581356,556372,521250,484022,446846,415297,386535,355965,324929,294409,269197,248488,230982
FIN,3419662,3397621,3352715,3318355,3261965,3195010,3141052,3084081,3055285,2997732,2894712,2772857,2683948,2627205,2562991,2485723
FRA,39824401,39861923,39652839,39242005,39208149,39128472,39248092,39585495,39640897,39077673,38095301,36911035,35846543,34940884,34029075,32993452
GUF,200995,221543,244690,264081,279474,291586,300443,306924,307787,303602,295276,283258,265991,249314,234058,219370
PYF,664052,668693,663191,648683,630615,602074,571084,542037,519593,494038,466114,437803,412854,393034,375828,360516
GAB,1542734,1767585,1991147,2167408,2295262,2380155,2424535,2450973,2461296,2439074,2365866,2239069,2081951,1936379,1801200,1671155
GMB,1601899,1868771,2133304,2335002,2506279,2649207,2751269,2822627,2857988,2847311,2779548,2665250,2522207,2394573,2261685,2125289
GEO,2177741,1970390,1825452,1660501,1477455,1299956,1141576,1022109,945265,880617,809851,732635,660067,605917,564367,527339
DEU,52893199,50900034,49576510,49425372,49434424,48865816,47922613,47203237,46509857,45780821,44601260,42829176,40542334,38460053,36472023,34547572
GHA,21166364,23905761,26748514,29070688,30866169,32256317,33389858,34397483,35167724,35308871,34840090,33726960,32233481,30781675,29255691,27612360
GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRC,6589373,6437700,6207594,5938554,5673861,5461423,5365416,5305913,5210946,5056903,4832364,4567642,4298394,4072507,3856900,3633060
GRD,81399,81544,82491,82552,81053,77231,72073,68156,65178,62353,58757,54580,50339,46791,43889,41288
GLP,235141,221264,207477,199965,197363,196419,194761,188420,180091,172480,165643,158717,152130,145073,138889,133535
GUM,103812,103338,101891,100435,99594,98346,96043,93192,90181,86727,82509,77523,72595,68352,64450,60785
GTM,11721831,12874630,13946598,14722147,15178518,15306048,15132534,14701164,14046595,13229445,12360013,11412762,10413775,9515190,8695610,7960090
GGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GIN,8094037,9209312,10419215,11491687,12363683,13024562,13432380,13648160,13717613,13657185,13409993,12972807,12354730,11708476,11080433,10440597
GNB,1286580,1479648,1671112,1829576,1950155,2039885,2100185,2139380,2147216,2118591,2051908,1951782,1830711,1709230,1594196,1483954
GUY,500594,487614,475476,459694,436243,410840,381486,348067,318709,294351,271195,248181,226048,207239,191978,178838
HTI,7669175,8271679,8844531,9248665,9457508,9480631,9327684,9082787,8761328,8349675,7853103,7289100,6679158,6133197,5643792,5194112
VAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HND,7180346,7812084,8386772,8787564,8971759,8976770,8818088,8515521,8092108,7588949,7060101,6518393,5932359,5384009,4898669,4465393
HUN,6221794,6118584,5982502,5762422,5429394,5225376,5026596,4806573,4640979,4481752,4265632,4033265,3757208,3498946,3277389,3071464
ISL,248146,250631,251911,252833,252698,250062,245834,238971,235287,232019,225833,218369,211305,204582,198186,192017
IND,989835373,1041285684,1080185929,1097206298,1097690816,1080048764,1045402688,999582334,942817208,877503153,810021917,740779810,673117446,614747183,561487272,513033914
IDN,191871896,200213831,205561255,207386679,206105672,202045134,196529787,189671953,180917792,171161979,159207601,145773870,132634321,120812353,110097969,100442384
IRN,62760379,66265460,69399496,70097371,69261494,66252538,62614679,60165486,59094723,57743022,55148384,51177363,46756162,43786122,41143036,38725189
IRQ,28291797,32750449,36787068,40238396,43138114,45550469,47387938,48478265,48785752,48309089,46923253,44336455,41439143,38561476,35760220,32949416
IRL,3413006,3554351,3650805,3673090,3671159,3682652,3755012,3849290,3902304,3883909,3796416,3672201,3553019,3469004,3387607,3292103
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISR,5653560,6166607,6715995,7099666,7399015,7652108,7895276,8146909,8355501,8484424,8509160,8415365,8252768,8156838,8091465,8029163
ITA,37606397,36455601,34835117,33133886,31973424,31352667,30931616,30580696,30176820,29409193,28260964,26953951,25730014,24749328,23751233,22661485
JAM,2030329,2001682,1947750,1877195,1788661,1668052,1528904,1389804,1267231,1167183,1067816,974869,888513,814612,749862,691401
