Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,0.709461686,0.679183373,0.648905059,0.618626745,0.592615607,0.566604469,0.54188136,0.517158251,0.494191012,0.471223773,0.450247104,0.429270435,0.410337866,0.391405296,0.374448577,0.357491858
ALB,0.360842997,0.342805995,0.324768992,0.306731989,0.291318222,0.275904454,0.264185455,0.252466456,0.243387303,0.234308149,0.22715311,0.21999807,0.214274534,0.208550998,0.203913284,0.19927557
DZA,0.252810089,0.242950179,0.233090268,0.223230357,0.209010673,0.194790989,0.182405877,0.170020765,0.159247229,0.148473693,0.139105993,0.129738292,0.121591783,0.113445274,0.106357104,0.099268933
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,0.313812478,0.295874957,0.277937435,0.259999913,0.246652658,0.233305402,0.223142676,0.21297995,0.205071434,0.197162917,0.190891323,0.184619729,0.179565408,0.174511086,0.170381519,0.166251951
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,0.068012343,0.057134687,0.04625703,0.035379373,0.031313712,0.027248051,0.024096521,0.020944991,0.01851043,0.016075868,0.01420015,0.012324431,0.010882228,0.009440024,0.008332884,0.007225744
ARM,0.334174461,0.301478922,0.268783383,0.236087844,0.221329244,0.206570644,0.193941209,0.181311773,0.170474198,0.159636622,0.150304152,0.140971682,0.132904569,0.124837455,0.117836905,0.110836355
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,0.119724708,0.101859415,0.083994123,0.06612883,0.060934384,0.055739937,0.051320558,0.046901179,0.043153342,0.039405505,0.036235862,0.033066218,0.030391772,0.027717325,0.025465119,0.023212913
AUT,0.367492212,0.322464423,0.277436635,0.232408846,0.219919494,0.207430141,0.196216329,0.185002517,0.17495921,0.164915903,0.155937757,0.146959611,0.13894469,0.130929769,0.123781807,0.116633845
AZE,0.407846413,0.379662825,0.351479238,0.32329565,0.308394066,0.293492482,0.281904965,0.270317447,0.261173756,0.252030065,0.244714215,0.237398365,0.231471456,0.225544547,0.220689736,0.215834924
BHS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BGD,0.597870596,0.577511192,0.557151787,0.536792383,0.509843304,0.482894225,0.458775888,0.43465755,0.413417021,0.392176491,0.373640835,0.355105178,0.338996439,0.322887699,0.308897129,0.294906559
BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLR,0.19387758,0.18258516,0.17129274,0.16000032,0.148302986,0.136605651,0.126511354,0.116417057,0.107740394,0.099063731,0.091629122,0.084194513,0.077840285,0.071486056,0.066066283,0.06064651
BEL,0.019078106,0.018946213,0.018814319,0.018682425,0.017715695,0.016748965,0.015880752,0.015012538,0.014233105,0.013453671,0.012754181,0.012054691,0.011427142,0.010799592,0.010236741,0.00967389
BLZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BEN,0.489194431,0.462538863,0.435883294,0.409227725,0.388252572,0.367277418,0.349495592,0.331713765,0.316641985,0.301570205,0.288756024,0.275941843,0.264993089,0.254044334,0.244634061,0.235223787
BTN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BOL,0.282118542,0.265467084,0.248815626,0.232164168,0.218742335,0.205320502,0.19345593,0.181591357,0.171119195,0.160647032,0.151410956,0.14217488,0.134030917,0.125886954,0.118705016,0.111523077
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,0.471512841,0.433225681,0.394938522,0.356651362,0.337347963,0.318044563,0.301566138,0.285087712,0.271000428,0.256913144,0.244825743,0.232738341,0.222315735,0.211893129,0.202856037,0.193818945
BWA,0.280540189,0.269850378,0.259160566,0.248470755,0.234070648,0.219670541,0.208018005,0.196365468,0.186804171,0.177242873,0.169293136,0.161343399,0.154652474,0.147961548,0.142267241,0.136572934
BRA,0.118651949,0.108033897,0.097415846,0.086797794,0.082615327,0.07843286,0.07515921,0.07188556,0.069260393,0.066635225,0.064488307,0.062341388,0.060556902,0.058772415,0.057268918,0.055765421
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BGR,0.229996441,0.216852882,0.203709323,0.190565764,0.179730521,0.168895277,0.159744547,0.150593817,0.142800072,0.135006327,0.128314751,0.121623175,0.115834603,0.11004603,0.105003725,0.09996142
BFA,0.65241811,0.610906221,0.569394331,0.527882441,0.498154484,0.468426526,0.443083853,0.41774118,0.396462164,0.375183147,0.357411256,0.339639365,0.324785381,0.309931396,0.297463273,0.28499515
BDI,0.835387002,0.807854004,0.780321005,0.752788007,0.725129882,0.697471756,0.669706554,0.641941352,0.615351629,0.588761905,0.564222252,0.539682599,0.517633942,0.495585284,0.47612661,0.456667936
CPV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KHM,0.733669319,0.709658638,0.685647957,0.661637276,0.635463987,0.609290698,0.582477618,0.555664537,0.52888939,0.502114243,0.476004749,0.449895255,0.424975095,0.400054935,0.376714469,0.353374003
CMR,0.384872514,0.345345027,0.305817541,0.266290054,0.253303896,0.240317737,0.230418863,0.220519988,0.21281618,0.205112371,0.199008114,0.192903857,0.187992247,0.183080636,0.179076806,0.175072975
CAN,0.166123795,0.147867591,0.129611386,0.111355181,0.101889818,0.092424454,0.084565791,0.076707128,0.070186433,0.063665737,0.058256577,0.052847417,0.048360463,0.043873508,0.040151183,0.036428857
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,0.544851966,0.511683932,0.478515898,0.445347864,0.423458991,0.401570117,0.382490326,0.363410535,0.346860275,0.330310015,0.315968871,0.301627726,0.289182267,0.276736808,0.265903034,0.25506926
TCD,0.708530898,0.652261796,0.595992693,0.539723591,0.512446057,0.485168522,0.460747705,0.436326887,0.414825136,0.393323385,0.37457116,0.355818935,0.339535171,0.323251407,0.309121564,0.29499172
