Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
CHL,0.105225769,0.087721537,0.070217306,0.052713074,0.046811713,0.040910351,0.03628617,0.031661988,0.028056518,0.024451047,0.021650729,0.018850411,0.016681977,0.014513543,0.01283832,0.011163096
CHN,0.374537985,0.363355969,0.352173954,0.340991938,0.32125556,0.301519182,0.28575632,0.269993457,0.257268426,0.244543394,0.234146007,0.22374862,0.215149864,0.206551107,0.199357822,0.192164536
HKG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COL,0.176513089,0.167276179,0.158039268,0.148802357,0.138519801,0.128237244,0.119876557,0.11151587,0.104621952,0.097728033,0.091972404,0.086216774,0.081358385,0.076499996,0.072359019,0.068218041
COM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COG,0.30282372,0.283937439,0.265051159,0.246164878,0.231611034,0.21705719,0.205010037,0.192962884,0.18289129,0.172819696,0.164316025,0.155812354,0.148564249,0.141316144,0.135083249,0.128850354
COK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,0.202677033,0.213064067,0.2234511,0.233838133,0.219421851,0.205005569,0.192760704,0.180515838,0.170066251,0.159616663,0.150652596,0.141688528,0.133957708,0.126226887,0.119524684,0.11282248
CIV,0.445653736,0.408367471,0.371081207,0.333794942,0.316475911,0.299156879,0.285054314,0.270951748,0.25936239,0.247773031,0.238152154,0.228531277,0.220463186,0.212395095,0.205563288,0.19873148
HRV,0.388360739,0.352251478,0.316142217,0.280032956,0.266212748,0.252392539,0.241463722,0.230534904,0.22175558,0.212976256,0.205820502,0.198664747,0.192755697,0.186846647,0.181910249,0.17697385
CUB,0.209196501,0.190333003,0.171469504,0.152606005,0.141972989,0.131339973,0.122467851,0.113595728,0.106138759,0.098681789,0.092371327,0.086060864,0.080687046,0.075313228,0.070710904,0.06610858
CUW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CYP,0.298982047,0.266174094,0.233366141,0.200558188,0.189653154,0.17874812,0.169560488,0.160372855,0.152560417,0.144747979,0.138046576,0.131345173,0.125549787,0.119754401,0.114704708,0.109655014
CZE,0.236087034,0.212784067,0.189481101,0.166178134,0.154355901,0.142533667,0.132462899,0.12239213,0.113805909,0.105219688,0.097889915,0.090560141,0.084293814,0.078027487,0.072662139,0.067296791
PRK,0.347700213,0.319210426,0.290720638,0.262230851,0.249436095,0.236641338,0.226588556,0.216535774,0.208499025,0.200462276,0.193936512,0.187410748,0.182038782,0.176666816,0.172191339,0.167715861
COD,0.525128308,0.506636616,0.488144924,0.469653232,0.445581448,0.421509663,0.400517132,0.3795246,0.361358157,0.343191714,0.327513694,0.311835673,0.298297115,0.284758556,0.273035786,0.261313016
DNK,0.111231107,0.103622215,0.096013322,0.088404429,0.085015657,0.081626884,0.079068206,0.076509528,0.074527632,0.072545735,0.070979771,0.069413807,0.068156818,0.066899828,0.065877956,0.064856083
DJI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,0.181839066,0.189078131,0.196317197,0.203556262,0.19220671,0.180857157,0.171444063,0.162030968,0.154132634,0.146234299,0.139534877,0.132835455,0.127096284,0.121357113,0.116395913,0.111434713
ECU,0.3252662,0.292192399,0.259118599,0.226044798,0.2120711,0.198097401,0.185689274,0.173281147,0.162312663,0.151344178,0.141683196,0.132022213,0.123537387,0.11505256,0.107617892,0.100183223
EGY,0.528380913,0.484591827,0.44080274,0.397013653,0.375526512,0.354039371,0.335561238,0.317083105,0.301221769,0.285360432,0.271726217,0.258092002,0.246332356,0.23457271,0.22438374,0.214194769
SLV,0.258092013,0.250624025,0.243156038,0.23568805,0.221186446,0.206684841,0.194316793,0.181948745,0.171359346,0.160769947,0.151662814,0.142555681,0.134686591,0.126817501,0.119986378,0.113155255
GNQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ERI,0.597216172,0.607902345,0.618588517,0.629274689,0.603092683,0.576910677,0.551974971,0.527039265,0.503857164,0.480675062,0.459506216,0.43833737,0.41924719,0.400157009,0.383079892,0.366002775
EST,0.284469042,0.261228085,0.237987127,0.214746169,0.203005601,0.191265032,0.180891395,0.170517757,0.161349269,0.15218078,0.144071284,0.135961787,0.128781329,0.121600871,0.115235071,0.10886927
SWZ,0.726171797,0.694053594,0.661935391,0.629817188,0.603506356,0.577195524,0.552236623,0.527277721,0.504172895,0.481068068,0.460058659,0.439049249,0.420177595,0.401305941,0.384484377,0.367662813
ETH,0.760145895,0.73724179,0.714337685,0.69143358,0.664487783,0.637541985,0.610437776,0.583333566,0.556908363,0.53048316,0.505384868,0.480286575,0.456939928,0.433593281,0.412216766,0.390840251
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FJI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FIN,0.131913621,0.118997241,0.106080862,0.093164482,0.086573032,0.079981582,0.074383964,0.068786346,0.064019298,0.059252249,0.055181967,0.051111684,0.047628105,0.044144526,0.041156735,0.038168943
FRA,0.165948998,0.141647997,0.117346995,0.093045993,0.087143212,0.08124043,0.076326401,0.071412371,0.067274511,0.06313665,0.059617547,0.056098443,0.053079445,0.050060447,0.047450658,0.044840868
GUF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PYF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GAB,0.097458277,0.095836554,0.09421483,0.092593107,0.090534857,0.088476607,0.087210253,0.085943899,0.085143367,0.084342835,0.083828086,0.083313337,0.082978719,0.082644101,0.082425036,0.082205971
GMB,0.347252646,0.320325292,0.293397937,0.266470583,0.253561505,0.240652427,0.230884633,0.221116839,0.213565164,0.206013489,0.200066364,0.194119239,0.189362001,0.184604762,0.180748911,0.176893059
GEO,0.385415177,0.365360353,0.34530553,0.325250706,0.30905545,0.292860193,0.27953425,0.266208306,0.255149142,0.244089977,0.234826291,0.225562605,0.217730412,0.209898218,0.203216979,0.196535739
DEU,0.209886814,0.194303628,0.178720442,0.163137256,0.151284481,0.139431706,0.129337013,0.11924232,0.110644804,0.102047287,0.094721288,0.087395288,0.081147971,0.074900653,0.06956837,0.064236086
GHA,0.402434715,0.37835943,0.354284144,0.330208859,0.313796428,0.297383996,0.284093695,0.270803393,0.259931422,0.249059451,0.240069981,0.23108051,0.22356941,0.21605831,0.209720416,0.203382522
GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRC,0.215257298,0.227664595,0.240071893,0.25247919,0.237911595,0.223343999,0.211305527,0.199267054,0.189216079,0.179165104,0.170687421,0.162209737,0.154989005,0.147768273,0.141561794,0.135355315
GRD,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GLP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GUM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GTM,0.44848415,0.415328299,0.382172449,0.349016598,0.331260076,0.313503553,0.298776804,0.284050054,0.271760331,0.259470607,0.249135517,0.238800427,0.2300374,0.221274373,0.213783081,0.206291789
GGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GIN,0.591009169,0.550768338,0.510527506,0.470286675,0.44609387,0.421901065,0.400634255,0.379367445,0.360831987,0.342296528,0.326200891,0.310105254,0.296132897,0.282160539,0.270008718,0.257856896
GNB,0.550126492,0.542212984,0.534299476,0.526385968,0.498683341,0.470980713,0.445085508,0.419190303,0.395452651,0.371714999,0.350272819,0.328830638,0.309666789,0.290502939,0.273500859,0.256498778
GUY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HTI,0.393307856,0.357495712,0.321683568,0.285871424,0.268970042,0.25206866,0.239238408,0.226408155,0.216454262,0.206500368,0.198623861,0.190747353,0.184405489,0.178063624,0.172879903,0.167696181
VAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HND,0.394610187,0.372810374,0.35101056,0.329210747,0.311901504,0.29459226,0.280285447,0.265978633,0.254064561,0.242150488,0.232142982,0.222135476,0.213654233,0.20517299,0.197922317,0.190671644
HUN,0.267387062,0.254194124,0.241001185,0.227808247,0.215531261,0.203254275,0.192264391,0.181274507,0.171456103,0.161637699,0.152877819,0.144117938,0.136309476,0.128501014,0.121544461,0.114587908
ISL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
IND,0.619633938,0.588527877,0.557421815,0.526315753,0.498613249,0.470910744,0.445015496,0.419120247,0.395382383,0.371644518,0.350202015,0.328759512,0.30959531,0.290431107,0.273428723,0.256426339
IDN,0.422464009,0.411338018,0.400212026,0.389086035,0.369229698,0.349373361,0.332767766,0.31616217,0.30223744,0.28831271,0.276573454,0.264834197,0.254871242,0.244908286,0.236391879,0.227875471
IRN,0.229242973,0.217225946,0.205208919,0.193191892,0.182335448,0.171479004,0.162443668,0.153408332,0.14580369,0.138199048,0.131731566,0.125264084,0.119711024,0.114157963,0.109348487,0.104539011
IRQ,0.272497271,0.253924542,0.235351812,0.216779083,0.203533808,0.190288532,0.179324202,0.168359872,0.159188193,0.150016513,0.142266714,0.134516914,0.127906503,0.121296091,0.115608274,0.109920457
IRL,0.334356254,0.305242507,0.276128761,0.247015014,0.232425577,0.21783614,0.205779573,0.193723006,0.183657503,0.173591999,0.165103165,0.156614331,0.149385596,0.14215686,0.135945268,0.129733675
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISR,0.073564337,0.072998675,0.072433012,0.071867349,0.070386463,0.068905576,0.067481376,0.066057175,0.064687845,0.063318514,0.062002265,0.060686016,0.059421094,0.058156171,0.056940852,0.055725532
ITA,0.273691025,0.257772051,0.241853076,0.225934101,0.213319922,0.200705743,0.189277343,0.177848943,0.167548676,0.157248409,0.148006974,0.138765539,0.130506762,0.122247984,0.114892625,0.107537266
JAM,0.408599882,0.380309765,0.352019647,0.323729529,0.309015272,0.294301015,0.282880681,0.271460346,0.262465002,0.253469658,0.246285738,0.239101817,0.233292871,0.227483924,0.222735247,0.217986569
JPN,0.118445808,0.154711615,0.190977423,0.22724323,0.213390353,0.199537475,0.187264981,0.174992486,0.164158333,0.153324179,0.143785265,0.13424635,0.125864629,0.117482907,0.110128982,0.102775057
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,0.096052827,0.106285654,0.116518481,0.126751308,0.117884762,0.109018216,0.101831437,0.094644658,0.088731193,0.082817727,0.077887918,0.072958108,0.068801278,0.064644447,0.061104406,0.057564364
KAZ,0.384183669,0.345077339,0.305971008,0.266864677,0.253252459,0.23964024,0.229054585,0.218468929,0.210081595,0.201694261,0.194936696,0.188179131,0.182654237,0.177129343,0.172554259,0.167979174
KEN,0.694657096,0.669264192,0.643871287,0.618478383,0.592267092,0.5660558,0.541489533,0.516923265,0.494426659,0.471930053,0.451663086,0.431396119,0.413331864,0.395267609,0.379266996,0.363266382
KIR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KWT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KGZ,0.59409268,0.55674536,0.51939804,0.48205072,0.456972147,0.431893573,0.409290966,0.386688359,0.366561932,0.346435504,0.328645875,0.310856246,0.29519283,0.279529414,0.26575654,0.251983666
LAO,0.592427928,0.547755857,0.503083785,0.458411713,0.432355285,0.406298857,0.384617106,0.362935355,0.34497115,0.327006945,0.312093449,0.297179953,0.284731654,0.272283354,0.261818272,0.251353189
LVA,0.295523471,0.274196942,0.252870413,0.231543884,0.219288829,0.207033774,0.196066058,0.185098342,0.175297862,0.165497382,0.156748227,0.147999071,0.140192413,0.132385755,0.125421321,0.118456886
LBN,0.104668693,0.098587385,0.092506078,0.08642477,0.082764224,0.079103678,0.07622825,0.073352822,0.071043088,0.068733354,0.066844115,0.064954876,0.06338635,0.061817823,0.060499239,0.059180654
LSO,0.663487196,0.617254392,0.571021588,0.524788784,0.495336743,0.465884701,0.440227867,0.414571032,0.392579595,0.370588157,0.351876549,0.333164941,0.317267394,0.301369846,0.28783332,0.274296794
LBR,0.447450347,0.415790694,0.38413104,0.352471387,0.333282207,0.314093027,0.298242477,0.282391926,0.269221143,0.25605036,0.245020147,0.233989933,0.224672909,0.215355884,0.207417678,0.199479472
LBY,0.177539752,0.161989504,0.146439255,0.130889007,0.121849933,0.112810859,0.105495653,0.098180446,0.09216721,0.086153973,0.081143387,0.076132801,0.071908025,0.067683249,0.064084091,0.060484932
LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LTU,0.29706077,0.27458154,0.252102309,0.229623079,0.216180306,0.202737532,0.190772836,0.178808139,0.168193055,0.157577971,0.148183014,0.138788057,0.130488008,0.122187958,0.114865023,0.107542088
LUX,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MDG,0.590828488,0.566996976,0.543165463,0.519333951,0.492459658,0.465585365,0.441196357,0.416807348,0.395024253,0.373241158,0.353981007,0.334720855,0.317787092,0.300853328,0.286000482,0.271147635
MWI,0.785295138,0.744860277,0.704425415,0.663990553,0.637573728,0.611156903,0.584108491,0.557060078,0.530081865,0.503103651,0.476839265,0.450574879,0.425554149,0.400533418,0.377144163,0.353754907
MYS,0.216151216,0.203902432,0.191653647,0.179404863,0.166233404,0.153061944,0.141488927,0.129915909,0.119843875,0.10977184,0.101079117,0.092386393,0.084938396,0.077490398,0.071148713,0.064807027
MDV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MLI,0.534332189,0.507754378,0.481176567,0.454598756,0.430641088,0.406683419,0.38627437,0.36586532,0.348562352,0.331259384,0.316586118,0.301912852,0.289428456,0.27694406,0.266268453,0.255592845
MLT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MRT,0.440639445,0.434548891,0.428458336,0.422367781,0.402374053,0.382380325,0.365461605,0.348542885,0.334226747,0.319910608,0.307759319,0.295608029,0.285244193,0.274880357,0.265990268,0.257100179
MUS,0.548426311,0.504452622,0.460478932,0.416505243,0.396686039,0.376866835,0.360228729,0.343590623,0.329608406,0.315626188,0.303828464,0.292030739,0.2820201,0.27200946,0.2634611,0.254912739
MYT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MEX,0.178484773,0.164279546,0.150074318,0.135869091,0.125925787,0.115982482,0.107610472,0.099238461,0.092166424,0.085094387,0.079101271,0.073108155,0.068013882,0.062919609,0.058577151,0.054234693
FSM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNG,0.296613171,0.279796342,0.262979512,0.246162683,0.231571558,0.216980433,0.204922114,0.192863794,0.182796708,0.172729622,0.16423951,0.155749398,0.148519756,0.141290113,0.13507801,0.128865906
MNE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MSR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR,0.342066953,0.319453906,0.296840858,0.274227811,0.261039796,0.24785178,0.237604652,0.227357523,0.219251161,0.211144799,0.204628377,0.198111954,0.192799707,0.187487459,0.183103918,0.178720376
MOZ,0.58058499,0.531909981,0.483234971,0.434559961,0.412388289,0.390216616,0.37159183,0.352967043,0.337340573,0.321714102,0.308565362,0.295416622,0.284295423,0.273174223,0.263708404,0.254242585
MMR,0.63795125,0.5873125,0.536673749,0.486034999,0.461576372,0.437117744,0.415649873,0.394182001,0.375514547,0.356847092,0.340680274,0.324513456,0.310518231,0.296523006,0.284384193,0.272245379
NAM,0.471901598,0.464133196,0.456364793,0.448596391,0.425498206,0.402400021,0.382185968,0.361971914,0.344394559,0.326817203,0.3115656,0.296313997,0.283071333,0.269828669,0.258301336,0.246774003
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPL,0.762720178,0.731200357,0.699680535,0.668160713,0.640972282,0.61378385,0.586533597,0.559283344,0.532746894,0.506210444,0.480992906,0.455775367,0.432282279,0.40878919,0.387239286,0.365689381
NLD,0.083181176,0.088722353,0.094263529,0.099804705,0.090702347,0.081599988,0.073870276,0.066140564,0.059676201,0.053211837,0.047876603,0.042541368,0.038186998,0.033832628,0.030311756,0.026790884
NCL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NZL,0.121838761,0.110667523,0.099496284,0.088325045,0.083516758,0.078708471,0.074826372,0.070944272,0.067748102,0.064551931,0.061877017,0.059202102,0.056932061,0.054662019,0.052712407,0.050762794
NIC,0.381043686,0.352207371,0.323371057,0.294534742,0.282822217,0.271109692,0.262169084,0.253228476,0.246288739,0.239349002,0.233883752,0.228418501,0.224061122,0.219703742,0.21619341,0.212683077
NER,0.799066966,0.764393931,0.729720897,0.695047862,0.669308857,0.643569852,0.617287026,0.5910042,0.564918259,0.538832318,0.513582546,0.488332773,0.464405495,0.440478217,0.418193283,0.395908348
NGA,0.445303172,0.410186343,0.375069515,0.339952686,0.321764249,0.303575812,0.288559334,0.273542856,0.261059279,0.248575701,0.238110519,0.227645337,0.218794336,0.209943335,0.202391759,0.194840183
NIU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MKD,0.377486487,0.339792973,0.30209946,0.264405946,0.251504002,0.238602058,0.228613908,0.218625757,0.210744697,0.202863636,0.196539916,0.190216196,0.185067682,0.179919168,0.17567452,0.171429871
MNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOR,0.158102715,0.14594543,0.133788144,0.121630859,0.113981386,0.106331912,0.100292955,0.094253997,0.089377193,0.084500388,0.080486649,0.076472909,0.073116033,0.069759156,0.066912851,0.064066545
OMN,0.145683065,0.154126129,0.162569194,0.171012258,0.158337413,0.145662568,0.134661581,0.123660593,0.114174056,0.104687519,0.09655138,0.088415241,0.081469075,0.074522908,0.068615308,0.062707707
