SSP2,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
HRV,920213,957879,983880,996126,1016451,1042266,1052896,1054896,1059971,1044594,1039442,1041732,1043354,1046210,1050366,1054928
CUB,1863604,2257355,2675415,3009305,3074856,3089596,3197455,3239143,3238454,3232081,3198393,3227008,3233437,3221607,3201230,3187399
CUW,30935,35827,39108,41103,41979,43506,46275,51911,57284,61918,66047,69560,71902,73424,74520,75291
CYP,203750,237370,273125,309747,353167,408147,466063,504988,521654,527571,531095,535878,539108,536807,535034,535624
CZE,2258110,2375309,2492189,2706667,2992711,3142261,3259544,3326873,3242981,3145858,3139084,3162113,3222419,3282660,3325107,3359048
PRK,3372663,3954153,4817740,5539872,5744380,5920822,6122445,6415161,6659102,6807005,6863846,6862024,6973932,7178344,7093228,6863911
COD,3133908,3642367,4350591,5135390,5981449,7138408,8691414,10537211,12791864,15334320,18532878,22610590,27473842,33107389,39115273,45209020
DNK,1255624,1370190,1483995,1563421,1613573,1635348,1686442,1774632,1853520,1915319,1986887,2038695,2084898,2118422,2159023,2204788
DJI,54863,66616,82104,101352,121968,141055,160078,180925,202183,228399,250825,269790,288368,303909,318177,331441
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,931969,1153668,1376757,1604413,1849330,2109705,2383063,2680565,2954503,3210814,3444175,3689819,3911437,4101272,4257889,4386979
ECU,1560039,1909584,2309073,2745743,3231761,3790361,4406446,5031498,5625119,6133643,6581516,6978379,7243312,7465534,7620457,7715231
EGY,5898143,7367217,9090718,11048142,13561053,16706194,20276848,23512433,26506090,29634267,33227604,38281565,43238117,47835707,52177608,56567944
SLV,551739,633596,731243,834515,944165,1039964,1150445,1316907,1499853,1619646,1686823,1740858,1762157,1767818,1763010,1755713
GNQ,58158,74931,92646,114547,140716,177394,227228,267759,292401,309906,361352,424897,490973,551746,607002,656739
ERI,157803,185584,219993,258982,299710,343820,393175,458634,564136,687615,820550,936912,1028658,1119626,1220807,1325481
EST,283960,296928,303957,316772,328373,343413,362336,365957,356791,349321,352139,356331,361666,363717,365999,369019
SWZ,49855,56625,62337,67620,76599,92669,112466,131676,142746,154847,169434,184344,197217,207131,215185,223032
ETH,4308180,5204804,6389337,7740917,9397807,11380254,14179451,17634786,21638409,26055585,30659495,35077843,40058903,45355640,50824844,56098235
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FJI,61333,73360,83107,90950,104663,122917,139605,155013,166010,175482,188595,203596,219278,232395,244391,255072
