SSP4,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
CRI,3628608,3700040,3742421,3749451,3738985,3698208,3637333,3578006,3530210,3500670,3472979,3448925,3443028,3461508,3462586,3449515
CIV,16913561,19239864,21595216,24074754,26626303,29353273,32243222,34978938,37555966,40000536,42297432,44387744,46255332,47714369,48798138,49698070
HRV,2495957,2358888,2236916,2126206,2001773,1868244,1750538,1651217,1558337,1491032,1415406,1332847,1252493,1177315,1105524,1035505
CUB,7585779,7221131,6766071,6383802,6254484,6155019,5949099,5781668,5674146,5604084,5610734,5583331,5597910,5602667,5603378,5598464
CUW,131566,133402,135629,139460,144878,150042,154419,156185,157757,159545,161256,162628,163955,164400,163577,161647
CYP,880370,888302,893454,885838,861813,818369,766969,732617,715398,699296,675163,640111,600419,566075,533405,499884
CZE,6875984,6736691,6594971,6296713,5868731,5551671,5266219,5037563,4939490,4815885,4572992,4291977,3987244,3725353,3512170,3319006
PRK,18001231,17731545,17220851,16771325,16349582,15622325,14698275,13637980,12654687,11772441,10881985,9941575,8838375,7721733,6966285,6413305
COD,54503524,64741630,76704362,91395760,108664535,128163612,149748086,172515437,196212332,220879314,246042392,270506019,293979319,315486199,334638052,351328015
DNK,3720621,3652081,3575285,3512448,3476587,3457253,3389950,3278344,3175305,3084412,2979854,2884673,2773832,2664425,2545013,2424691
DJI,760900,818201,868530,912876,955222,998336,1038906,1070776,1091472,1100519,1108800,1119601,1131836,1142153,1146439,1144595
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,7562180,7942656,8268822,8578491,8846910,9064980,9222837,9280897,9356680,9457719,9587163,9683622,9784988,9869965,9947650,10035770
ECU,12284669,12996793,13500170,13977366,14366391,14617192,14719607,14714516,14702755,14747056,14824075,14903590,15071512,15184614,15288832,15410818
EGY,72451574,80290369,87740116,95055551,102126143,109379297,117185470,125407559,133645686,141533437,148882183,154209771,159005959,163393961,167316517,170179556
SLV,4254273,4350157,4367209,4370080,4351607,4325068,4262533,4120335,3964864,3877139,3847241,3830925,3846341,3866918,3895275,3938084
GNQ,1062304,1217890,1379248,1543600,1712062,1882875,2052098,2230336,2416898,2598845,2738684,2853786,2945307,3007748,3036944,3042190
ERI,2245389,2522298,2761974,3023437,3324201,3643939,3958291,4222180,4436130,4633398,4829992,5037200,5236954,5393268,5521044,5645630
EST,846630,815340,792486,757080,719618,676976,630190,601380,586685,569179,539461,506755,473193,446098,421654,397686
SWZ,758326,804166,843935,881213,912998,938041,957618,970902,983768,988603,986973,984771,984553,983952,981957,978287
