SSP4,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,1094470,1327228,1612237,1975474,2400301,2873427,3497738,4347434,5358266,6412070,7404005,8344074,9320340,10430208,11733955,13182440
ALB,497950,568711,611279,627980,627470,628571,642614,673986,691260,688740,671489,653993,629372,609764,583322,555237
DZA,3216177,4052591,5072876,6199119,7467378,8911215,10151380,10911048,11002886,10893706,11340101,12472456,13916067,15290007,16329924,17126066
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,1031549,1287848,1568235,1868191,2237322,2704187,3265493,3857215,4476754,5235829,6242783,7435184,8684810,10046267,11486732,13100199
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,11391,14398,17471,19635,21005,22030,22989,23692,24129,24295,24526,24547,24336,24131,24083,24199
ARG,5654042,6187041,6729146,7446828,8386947,9292020,10144004,11028369,11751819,12299108,12776821,13276474,13565310,13543896,13623320,13869661
ARM,403563,472261,490499,495437,504450,542083,604017,655649,659302,651069,647454,656634,660809,659632,656364,653715
ABW,18989,22580,24947,25953,26202,26200,26446,26836,27108,28594,30500,32190,33244,34128,35092,36289
AUS,4782228,5522109,6180099,6870977,7427502,8128700,8909794,9703284,10338207,10776722,11266502,11768439,12153162,12298718,12361463,12352796
AUT,1886242,2169072,2446724,2626694,2745882,2895641,3028389,3149036,3211058,3236145,3272764,3320777,3366551,3364043,3346704,3317341
AZE,888113,1213101,1478810,1658197,1826652,2069994,2377588,2624238,2705373,2708092,2812799,2999666,3077782,3026658,2961940,2899193
BHS,41499,53633,64825,76155,84196,90484,95730,103108,109494,114698,119327,119380,117564,116074,116266,117994
BHR,75895,121521,179469,249684,339112,453125,572385,635367,637595,615147,599819,596824,602371,611867,624285,635998
BGD,11450279,13859818,16671275,20025723,23525382,27409330,31360688,35133671,38808960,42282311,44266462,44654327,44617575,44952266,45351852,45703562
BRB,49727,57420,62638,66503,67805,68768,69059,69961,70588,71853,73134,73617,74057,75242,77149,79677
BLR,1717163,1882271,1950450,2027948,2126882,2283042,2448662,2477881,2413020,2372446,2377246,2435600,2468428,2439640,2409229,2374993
BEL,2436883,2724982,2982539,3196424,3359077,3523232,3681269,3843413,3955943,4057880,4200535,4345127,4434874,4452276,4447276,4422216
BLZ,23400,30242,38126,47492,57451,69153,82646,97332,111390,124007,134187,142383,149982,158202,167134,175832
BEN,445680,539740,654569,783454,929856,1113946,1324701,1565745,1825234,2113021,2447476,2824936,3268304,3784642,4347843,4948611
BTN,51998,59445,70308,82419,100964,124671,154118,181831,196739,205981,208710,208152,200925,196138,194479,195415
BOL,632232,748086,880815,1035811,1213370,1412994,1648979,1891755,2100297,2274419,2432966,2573233,2691941,2849186,3051939,3284942
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,609866,674076,713599,735543,753454,772018,783061,775353,770359,746404,725012,710304,696881,684101,670313,655222
BWA,106110,128054,152326,179670,220051,267863,308501,335668,347821,358925,377744,399970,421104,438398,452942,467081
BRA,23353188,28182363,32730803,37092807,41773963,46825294,51057369,54072812,56394172,57247509,56930164,56124172,55291684,54134813,53772267,54026188
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,33308,46059,60490,75923,90621,104915,116880,123686,128585,132974,136456,141511,145868,150475,155823,162113
BGR,1472174,1509650,1526724,1575257,1642679,1677116,1716733,1696109,1610074,1545760,1508968,1491643,1486444,1471283,1452969,1429358
BFA,630956,739823,892760,1078823,1340835,1666587,2021804,2382778,2796869,3298339,3936189,4633940,5259355,5924366,6722861,7660074
BDI,350345,402836,468408,570024,738225,990727,1232391,1403625,1545996,1769300,2154421,2623926,2982949,3281759,3590158,3961113
CPV,37032,48616,61093,72290,85331,102285,122074,142287,156479,163858,168669,171012,171456,173129,175771,178874
KHM,1136148,1481887,1811184,2042386,2021444,2390911,2804649,3137917,3280828,3427853,3601442,3763802,3880347,3957996,4016096,4086403
CMR,811568,948563,1133922,1364665,1644767,2000479,2407949,2822840,3211887,3659295,4202893,4785449,5346994,5939398,6596353,7141772
CAN,7986425,9306562,10209693,10892932,11499787,12184854,12887977,13646395,14349191,14828091,15298475,15752575,16042629,16050112,15997905,15893760
