SSP3,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,1090647,1319423,1601318,1962768,2387275,2861241,3492131,4361578,5400854,6479820,7467894,8407899,9401608,10546454,11887245,13367237
ALB,498446,567782,606669,616698,607256,600757,612566,650576,676246,677780,656709,632590,599049,590472,584078,580536
DZA,3216758,4054451,5077316,6208003,7483736,8939592,10195254,10972256,11073060,10972495,11439402,12605714,14089061,15489328,16530378,17315896
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,1028068,1280029,1555551,1850157,2213379,2673206,3226582,3810028,4419717,5165957,6154340,7331319,8571651,9905741,11284358,12813991
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,11312,14248,17276,19378,20672,21601,22453,23087,23471,23445,23388,22913,22132,21471,21056,20909
ARG,5654127,6186738,6728318,7446490,8389701,9297965,10152990,11043850,11778320,12337068,12826984,13332153,13611777,13546699,13555287,13720601
ARM,403097,470056,482493,478011,476533,507208,567186,617256,609492,585239,568078,572489,576435,586023,594760,604287
ABW,18996,22606,24971,25907,26007,25704,25510,25339,24959,25907,27271,28354,28740,29057,29480,30231
AUS,4746088,5411844,5958796,6504736,6884298,7377921,7918075,8436361,8764431,8863126,9004589,9141887,9191518,9202265,9325454,9528925
AUT,1871797,2126593,2364428,2492094,2545236,2615396,2660551,2694758,2673377,2611460,2554964,2507004,2470960,2443991,2452136,2483811
AZE,881755,1194362,1436136,1578485,1699365,1886414,2129710,2303011,2302751,2221740,2252618,2382040,2411981,2360641,2330549,2352690
BHS,41377,53376,64439,75644,83467,89395,94132,101068,107133,112058,116397,115498,112517,110000,109196,110070
BHR,74082,117254,172361,239892,326534,438260,555087,611847,601386,561637,528692,509994,503277,503579,507526,512186
BGD,11462379,13891892,16734234,20135097,23699816,27675454,31754448,35704450,39616851,43373449,45595865,46129724,46191321,46608553,47062742,47427215
BRB,49775,57544,62808,66707,67964,68826,68916,69701,70286,71608,72830,72774,72466,73031,74335,76364
BLR,1701971,1838177,1864558,1890449,1933609,2032703,2138400,2100273,1965858,1863117,1822456,1852217,1864827,1841859,1831286,1837269
BEL,2418621,2670561,2876427,3023229,3106220,3180012,3240180,3300699,3308563,3303614,3336746,3367503,3347566,3319180,3327667,3368624
BLZ,23265,29916,37595,46741,56461,67865,81076,95578,109576,122100,131825,139292,146222,153778,161736,169394
BEN,445406,539272,654058,783101,929972,1115173,1328182,1573568,1838228,2130708,2467391,2849049,3300970,3822010,4379105,4966940
BTN,51884,59194,69947,81980,100599,124613,154867,183847,199550,209014,210764,208826,199683,193458,190786,191136
BOL,632216,748177,881313,1037248,1216573,1418924,1659583,1909711,2130315,2321174,2500837,2659788,2793047,2955463,3154678,3384671
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,610587,667299,696127,704812,709804,717254,719239,702347,691625,659296,632317,613593,597307,592111,592298,595797
BWA,105777,127284,151076,177882,217714,264947,304845,331059,341922,351475,368714,388992,408192,422392,432556,442946
BRA,23355032,28187257,32739473,37105610,41791862,46849404,51086311,54098800,56410139,57244621,56899094,56023575,55083926,53715835,53041637,52973157
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,33212,45929,60426,76040,91006,105631,117858,124588,129238,133165,135731,139933,143331,147056,151422,156790
BGR,1462478,1479112,1467975,1485083,1519820,1519745,1523332,1465612,1344638,1253106,1200857,1173425,1161297,1158353,1161928,1172211
BFA,630761,739894,893859,1082060,1348187,1680552,2045603,2420725,2851359,3370802,4026180,4750883,5407108,6105008,6934765,7902609
BDI,350456,403182,469260,572049,742852,1000601,1249585,1428916,1579792,1815393,2220350,2716512,3097643,3412581,3734817,4121435
CPV,36996,48597,61163,72484,85824,103572,124828,147278,163690,172723,178618,181316,181486,182623,184454,186662
KHM,1136702,1483680,1814941,2048353,2027834,2402008,2823228,3165809,3315139,3469430,3650440,3815906,3928950,3998216,4044449,4102119
CMR,811420,948313,1133800,1365012,1646130,2003812,2414782,2835164,3232941,3693181,4254006,4854099,5432261,6022661,6657595,7179393
