SSP1,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
ECU,12298896,13037329,13579075,13920907,14002699,13816698,13372156,12780406,12084422,11333439,10500386,9598291,8728741,7911910,7191419,6553574
EGY,72521081,80511313,88172231,94500163,99255990,102707153,105007914,106937724,107967979,107549445,105346896,100395806,94482501,88740418,83120487,77250218
SLV,4256077,4363801,4399621,4366246,4260376,4112903,3898556,3595921,3258978,2970489,2716908,2461315,2226998,2024904,1854937,1710559
GNQ,1068910,1240073,1423053,1589996,1737239,1861881,1950667,2031893,2105255,2156919,2134867,2069072,1967913,1855244,1732554,1602361
ERI,2247531,2531460,2783997,2993424,3166645,3302230,3386189,3414219,3366548,3263388,3112186,2945161,2769006,2594096,2422134,2253817
EST,847361,817396,796090,763280,729164,690802,649242,625531,615419,600815,571786,538741,504470,477673,454910,433579
SWZ,770215,839935,905602,955206,985415,996334,986020,962795,936776,895616,839137,775871,711122,653261,600848,551245
ETH,76112675,87257925,99485343,110651470,120039695,127970959,133751062,137843471,140006866,139953353,137767606,133812656,127460897,120505038,113518940,106348903
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FJI,617531,635746,653632,661144,653332,632663,606682,576727,547906,518131,482635,444501,405113,371478,342265,316587
FIN,3393847,3343760,3268282,3203026,3113559,3012735,2925374,2836827,2784311,2713436,2605426,2486165,2407826,2363008,2312058,2250178
FRA,39619085,39419876,38936628,38209242,37819929,37355207,37095678,37094104,36861791,36065010,34939862,33703536,32678810,31810775,30955933,29991422
GUF,198745,217390,239079,257387,272009,284029,293579,301266,303023,299592,292277,281560,264467,247523,232121,217235
PYF,681412,703302,714214,714931,711962,696970,677227,656149,638292,613113,582750,549873,519905,495374,472920,452024
GAB,1529033,1743756,1960990,2133707,2260196,2346624,2395518,2428091,2446881,2433781,2368663,2245551,2088689,1943254,1808953,1679706
GMB,1607437,1883844,2161632,2379081,2570066,2736853,2865222,2962953,3020029,3024056,2962721,2848410,2700374,2568071,2426418,2277136
GEO,2296290,2183551,2115091,2009242,1871216,1721498,1573759,1457034,1381465,1314653,1229795,1126314,1025248,953564,903151,859023
DEU,52342134,49701229,47653744,46781328,46034745,44676564,42925962,41456494,40199744,39198353,37997184,36363276,34258894,32351498,30589596,28980524
GHA,21176955,23937644,26813656,29176571,31021604,32472545,33679300,34768374,35614470,35812930,35383650,34289157,32796559,31339243,29795494,28119320
GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRC,6566004,6375388,6087570,5752962,5414902,5128769,4970929,4855161,4707738,4513570,4268587,4010058,3770254,3581399,3405763,3223085
GRD,82873,84312,86397,87466,86823,83413,78106,73891,70547,67355,63191,58228,53137,48850,45445,42514
GLP,239758,229629,218610,213605,214099,216817,218871,214519,205942,197436,190289,183600,177619,169795,162562,156208
GUM,106662,108759,109342,109492,110243,110562,109353,106848,103305,99038,93852,87552,81619,76428,71533,66877
GTM,11808464,13061574,14245660,15142050,15729680,15991061,15944546,15618306,15025370,14225785,13345345,12363210,11307029,10343131,9445317,8625623
GGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GIN,8176555,9391848,10719427,11927294,12955660,13787260,14367116,14740466,14931563,14952810,14745882,14312677,13659732,12956333,12251511,11514534
GNB,1293545,1495795,1698535,1870026,2005783,2112427,2190529,2247446,2269748,2251093,2189619,2090586,1967158,1840932,1718856,1599555
GUY,524300,533086,540484,541995,533854,521262,500369,468653,435544,405769,376044,345165,313914,285784,262406,242119
HTI,7723577,8389656,9033379,9512819,9802348,9907455,9831724,9653410,9377308,8987904,8494210,7918559,7282851,6707099,6181476,5690064
VAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HND,7203406,7862731,8468960,8904592,9126929,9171425,9050623,8779534,8372768,7871754,7337626,6786875,6184529,5615610,5107349,4650334
HUN,6193461,6057011,5882297,5621246,5242136,4995815,4756769,4497852,4303680,4129319,3910766,3691410,3434322,3194119,2995392,2817032
ISL,247313,248839,249031,248802,247374,243290,237433,228613,223767,220369,214397,207632,201661,195627,189826,184351
IND,990242504,1042148206,1081530260,1099052300,1100080765,1082974651,1048781809,1003220459,946394133,880745402,812921366,743373197,675424610,616795354,563241040,514539403
IDN,191962601,200407897,205862913,207792738,206616277,202657913,197243177,190471259,181757385,172005449,160007382,146498644,133275894,121365569,110558992,100815629
IRN,62525584,65771004,68634055,69042713,67892159,64541639,60556455,57787724,56499325,55019741,52370422,48375488,43952680,41050714,38517850,36257407
IRQ,28246958,32664655,36665365,40088794,42968388,45372921,47214083,48309922,48622154,48151723,46778719,44197762,41311904,38439936,35644612,32837169
IRL,3364629,3456880,3501764,3467940,3401323,3344636,3355064,3398535,3413665,3370854,3268270,3140297,3029433,2959131,2895383,2819161
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISR,5608388,6083668,6603293,6964222,7246473,7492721,7740201,8010179,8248113,8416101,8493440,8455166,8344607,8305546,8299699,8295248
ITA,37226730,35643159,33529450,31298698,29579129,28408588,27465863,26628216,25829872,24794348,23499913,22172689,21034990,20169917,19321960,18422362
JAM,2063581,2064859,2035976,1986980,1916884,1807984,1671764,1525015,1385636,1268909,1152708,1046888,950138,866080,791541,724635
JPN,71336739,68760947,65065992,59910691,55728654,52576999,49855717,47367370,44622761,41784451,38980342,36205282,33832760,31727898,29639407,27639053
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,7771384,8670418,9406025,9980206,10424831,10722256,10843471,10814356,10660391,10378520,9866880,9241471,8609072,8013624,7426250,6843077
KAZ,12260545,12830195,13527978,14107630,14388071,14447983,14277059,14211822,14277384,14189180,13681632,12910552,12040452,11204286,10508225,9859774
KEN,34627309,39409483,44014485,48199490,51845160,54867841,56956309,58443544,59103787,58504019,56695254,54356299,51503721,48430657,45241163,41994429
KIR,82896,91477,99680,106623,111457,113490,113529,113171,111999,110668,106746,100141,92712,86285,80797,76075
KWT,3553144,3712400,3723232,3555904,3322728,3086389,2976470,2979395,2935184,2843136,2687840,2474130,2278381,2112618,1964809,1818409
KGZ,4204135,4603518,5047430,5386914,5625788,5762705,5772438,5748197,5730689,5688648,5524779,5204759,4833340,4506962,4221203,3948022
LAO,5096252,5482798,5861443,6124573,6255863,6257429,6130419,5926684,5656373,5351844,5007476,4635412,4222257,3851978,3526169,3227741
LVA,1143211,1065454,1014544,951748,892087,827742,765344,721023,698760,669891,628660,583793,535298,498275,468619,441299
LBN,3850388,4131337,4289736,4377483,4436186,4441798,4418388,4367709,4230921,4022856,3756484,3440693,3175253,2960978,2753706,2551322
LSO,1465725,1575687,1697422,1801624,1868230,1902525,1896459,1870114,1831536,1777057,1703836,1606207,1491564,1380097,1278486,1182366
LBR,3265753,3805438,4337515,4827803,5261993,5653145,5982804,6249008,6400323,6416097,6289208,6073523,5785881,5461136,5108312,4742857
LBY,4764140,5131106,5380701,5499733,5525253,5529188,5537310,5524270,5420357,5213489,4916464,4587820,4269943,3982034,3713454,3449751
LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LTU,1717568,1580360,1478354,1368463,1280157,1195080,1101738,1020094,968198,928987,881960,822850,761783,718715,680447,646676
LUX,445533,446788,445285,442594,437834,429038,419001,410347,407214,403187,392894,376444,357383,340518,324627,309236
MDG,18333856,20980657,23809274,26297283,28412273,30226445,31610602,32554706,32958306,32835464,32081898,30835782,29048104,27157739,25273381,23372673
MWI,12252606,14483427,16749274,18947414,20901187,22652911,24158375,25421541,26294074,26653832,26474304,25955069,25153000,24102587,22883732,21477303
MYS,24357190,25542815,26606681,27128841,27234024,26727263,25778495,24738171,23679074,22519667,21251448,19811865,18207023,16890589,15660981,14498959
MDV,403962,431404,454826,467045,464594,442143,404123,372687,354265,342553,322811,294417,263891,237815,216661,197852
MLI,12521205,15039711,17875568,20615783,23201517,25633961,27830651,29839068,31510944,32659508,33193173,33191081,32647340,31829688,30791556,29463918
MLT,339442,333990,333221,326104,312428,292432,266824,242328,230004,224363,215757,203071,187648,174447,162538,152436
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTQ,220840,205798,191622,180958,178110,178359,178176,175351,168141,159758,152464,147091,142513,138517,133400,127685
MRT,2834254,3309386,3786733,4210833,4579266,4893312,5138429,5328682,5446882,5474328,5386197,5212965,4985482,4745192,4491503,4225771
MUS,911000,880449,849668,822525,780675,737800,695453,640380,589031,535680,488474,448471,410678,374868,341109,310262
MYT,189842,225033,266357,307915,349752,392604,436193,483488,538158,589352,634852,680543,723662,769323,817621,867368
MEX,87860259,91802641,94276333,95310467,95048375,93703243,91203711,87751360,83558574,78674649,73285100,67523001,62003633,56873856,52194335,47937298
FSM,416772,435541,450520,461272,468589,469156,461601,447400,429274,410403,387318,360384,333384,309845,288554,269522
MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNG,2207089,2393981,2584426,2694178,2757198,2793865,2788747,2813681,2868178,2913919,2882480,2746151,2577593,2448052,2334351,2218676
MNE,421074,411286,404793,397253,384591,368097,353023,339219,325888,312181,296718,279038,260657,244119,230381,218042
MSR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR,25268271,26601717,27708236,28282228,28304969,27867876,27071611,26097785,25047554,23835291,22340477,20532689,18684010,17048033,15613563,14319560
MOZ,19306184,22809088,26660513,30090541,33080073,35790560,37985734,39745623,40907276,41372521,41088304,39954526,38128639,36195946,34248728,32127914
MMR,37799233,38842874,39664133,39771762,39215197,38003162,36397913,34575349,32623694,30444093,28198249,25863937,23338718,21137449,19254631,17636643
NAM,1619588,1814698,2021305,2200274,2338255,2446789,2508261,2520087,2520806,2499348,2434375,2315316,2158816,2006509,1869976,1741461
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPL,19910385,21221777,22426593,23397309,23884152,23872190,23395949,22403952,20997702,19405292,17906991,16429928,14898088,13413659,12153973,11114044
NLD,11152620,10856139,10526648,10272103,10175583,10033085,9800363,9507077,9224639,8910128,8607787,8284574,7961513,7662730,7354455,7046984
NCL,199500,206442,210222,210660,210813,209013,206206,204138,202194,196917,190343,181636,172934,165455,158599,151835
NZL,3341316,3372607,3393429,3380811,3388772,3368885,3313159,3241123,3188323,3119592,3011699,2877695,2745505,2637283,2531390,2424162
NIC,4692920,5050251,5368025,5563602,5633381,5600078,5454771,5219227,4947843,4664156,4353828,4006261,3633072,3298837,3011103,2755782
NER,14085101,17126288,20838798,24743780,28634330,32602980,36569280,40506606,44174783,47336250,49804032,51533091,52362844,52666557,52502187,51810264
NGA,127099387,146716419,168333794,189092926,209163111,229057648,248637599,267976121,285530260,299273265,308480989,313654519,314838843,314031526,310664205,304118048
NIU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MKD,1429266,1400854,1368616,1334000,1286332,1223576,1156307,1092600,1036938,986517,941162,885946,830461,776591,725776,678872
MNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOR,3563327,3591867,3567292,3508286,3482448,3447341,3393656,3340466,3303987,3247069,3151760,3044214,2948796,2886322,2816103,2734809
OMN,3557886,3856696,4162036,4347527,4358179,4176826,3849544,3594526,3557635,3561100,3469911,3260606,2982584,2732618,2528711,2355045
PAK,148757366,167181282,185216188,202834725,218962635,232284365,241938161,248664495,252569188,252703343,249763899,243244356,234770737,224272307,212302047,199604277
PLW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAN,2952441,3127784,3274804,3374305,3427979,3435444,3394004,3325644,3219353,3079254,2903582,2691780,2463962,2247623,2050851,1865783
PNG,6767383,7569612,8373173,9035411,9546305,9916450,10131008,10225581,10180255,9960030,9570054,9018754,8353190,7717188,7117083,6530855
PRY,4554170,4851882,5155455,5396266,5543328,5556182,5457942,5286337,5077699,4846297,4577227,4267226,3903707,3561123,3248099,2970463
PER,22806203,24004456,24922538,25386552,25432504,25075293,24278332,23283168,22187737,20979603,19506130,17978662,16433742,14997362,13730161,12615724
PHL,77607505,83914871,89754465,94339560,97592926,99544341,99917013,98858932,96685815,93410099,88826797,83541454,77661936,71957457,66510514,61282866
POL,25315781,24501168,23916283,22862649,21330785,19596887,18163381,17138188,16565090,16054377,15200080,14286185,13360006,12675521,12139929,11657116
PRT,6421999,6129081,5852415,5520406,5193796,4968084,4825449,4699972,4564761,4407035,4234282,4053112,3856861,3687083,3524384,3353770
PRI,1962323,1816220,1680758,1533981,1399587,1285284,1185663,1085513,996619,915121,837375,762629,695724,646734,599944,554334
QAT,2592787,2821685,3011101,3096339,3061470,2893561,2649151,2462691,2396091,2372995,2271589,2107189,1919971,1760836,1616027,1471480
KOR,35747138,33646823,31177414,28187478,25841892,23423249,21555614,19384937,17486559,16100628,14838846,13455602,12415020,11797021,11114898,10425661
MDA,1997597,1915744,1886678,1824280,1724026,1595439,1450040,1342308,1276631,1217655,1140083,1043387,941920,865822,811055,764278
REU,631231,641271,644884,654885,662826,668940,674566,676489,669635,651252,630690,607328,584020,558425,537409,518395
ROU,12187537,11841479,11237660,10598649,9792027,9130534,8413988,7957803,7568365,7162551,6685947,6209623,5683914,5231107,4906465,4628541
RUS,95600623,94138584,94181335,91896070,88379654,83715265,78799714,76835796,76701004,75547821,72734956,68170365,63768298,60906112,58691536,56430871
RWA,8628472,9838556,11169404,12413196,13457453,14212767,14752445,15191744,15480606,15487762,15242941,14824603,14176851,13431766,12656977,11883290
BLM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SHN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KNA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LCA,131058,129516,127107,124000,119913,114192,107027,98519,90497,83608,77016,71041,64638,58793,53549,48838
MAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VCT,68437,67150,65501,62945,59507,55688,52206,48377,44850,41684,38385,34851,31662,29094,26941,24998
WSM,130899,141895,152141,158421,161930,163790,163639,161024,158133,153924,147321,138449,128820,120433,113031,106442
SMR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STP,137870,156050,173207,187339,197909,205489,211254,215149,215761,211112,202267,191142,178688,166339,154517,143239
SAU,28291174,30306443,31636674,32037373,31403389,30606965,29951932,29129566,28445361,27527755,26218350,24484425,22610097,20828268,19236352,17757730
SEN,10380591,12108339,13912817,15510979,16854871,18013541,18965597,19786545,20393942,20658477,20541953,20076208,19355524,18602775,17813692,16926754
SRB,4633194,4495819,4367815,4212530,4015613,3829821,3648750,3503931,3393031,3261163,3139337,2968689,2781046,2608844,2450097,2300335
SYC,74363,75838,77644,78041,76907,75477,73498,71125,69021,66865,63412,59088,54134,49785,45846,42096
SLE,5330668,6067840,6806838,7478028,8025974,8452696,8745505,8921153,8962130,8856717,8615857,8256126,7799978,7300404,6810220,6329101
SGP,4299326,4139267,4047071,3908219,3773234,3627218,3482340,3329258,3177674,3087266,2961954,2794942,2572408,2375003,2182568,1994385
SXM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SVK,3614468,3518665,3452954,3325569,3129611,2934272,2751855,2609590,2532784,2468969,2370312,2243355,2100556,1977648,1875639,1788299
SVN,1335980,1302645,1264561,1220169,1159524,1102131,1057206,1031552,1010659,988329,946693,892044,839626,797606,761127,724941
SLB,445421,509387,575696,634127,683124,723494,755441,779260,791825,792493,779284,751254,710723,667622,624154,580577
SOM,9605407,11414732,13569253,15712796,17760098,19748608,21646837,23526600,25167422,26489029,27398816,27889327,27927637,27756788,27395473,26763069
ZAF,40593417,43252436,45399530,47144796,48329195,48108588,46717382,45209182,43861931,42447332,40046025,37157947,34016003,31204495,28619674,26244170
SSD,6155535,7034528,7602964,7818359,7984666,8163901,8332239,8399493,8311350,7996825,7603933,7113357,6702266,6387168,6044282,5673036
ESP,31255805,30733935,29729494,28196388,26554267,25492070,24957212,24653213,24436376,23806768,22683747,21476890,20417522,19721309,19077405,18378467
LKA,14667807,14952268,15099052,15018810,14702652,14212258,13785582,13235608,12583309,11748029,10779026,9821898,8943529,8198924,7534514,6916543
PSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDN,27969124,32268399,37197630,41846226,45925712,49306463,52108436,54624246,56767306,58338717,59083779,58874394,57678211,56108773,54373978,52415463
SUR,420576,436665,450872,461166,468738,467405,461516,452826,438322,418878,396371,371605,344836,319175,295359,273251
SWE,6560812,6654108,6687666,6676127,6687444,6663535,6579450,6483099,6505762,6469700,6326261,6119821,5908058,5758095,5616681,5469048
CHE,5734537,5650546,5564567,5509603,5464624,5371408,5267193,5195509,5171225,5130770,5025199,4856634,4656402,4483464,4322468,4169212
SYR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,6290972,7020761,7791881,8459759,8977472,9348538,9531434,9643371,9664743,9569287,9315682,8845821,8273069,7705775,7171748,6629391
THA,49038134,47460492,45492188,43487598,41460659,39061783,36631704,34094557,31450229,29205084,26859216,24406464,22209670,20240657,18451958,16810997
TLS,859237,954653,1043659,1117950,1185145,1231874,1249294,1243708,1213655,1160456,1097747,1032443,961002,892512,824159,758576
TGO,5402527,6175563,6989984,7720652,8348388,8874682,9287705,9615097,9822837,9869307,9723643,9417166,8959336,8459764,7927002,7380179
TKL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TON,65238,69093,71511,72447,72500,71411,69787,67415,64741,61078,57022,52511,48236,44745,41745,39139
TTO,1049350,1033191,1023027,996428,949523,880806,814847,768617,730832,690220,641787,588790,538075,495464,458313,423729
TUN,8298891,8608695,8878302,8976808,8846328,8559397,8178059,7846046,7612934,7359190,6974532,6407274,5794144,5287103,4891765,4569083
TUR,59722072,61826628,63388453,63373654,62476383,60860394,58828745,56691805,54279083,52029023,49403193,46289866,42850870,40474905,38288362,36253875
TKM,4230898,4567753,4917645,5231822,5431835,5527689,5511665,5479717,5463315,5413478,5253144,4941585,4589904,4238549,3945476,3673381
TCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TUV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
