SSP1,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,24430970,28734998,33493154,38139974,42539590,46542496,49899351,52628767,54610654,55758920,56106843,55678415,54339478,52549705,50334182,47800145
ALB,1825656,1703508,1591555,1516997,1434217,1330835,1206169,1066616,954437,870758,804006,737185,677088,614759,566105,527634
DZA,29396532,31965133,34520547,36223583,36873704,36659154,36191573,35965343,36130936,36027140,34864609,32619299,29834219,27437750,25570240,23959988
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,20379408,24280748,28731450,33073342,37031870,40690032,43955565,46917963,49407388,51102322,51793906,51477897,50202263,48554940,46659066,44382203
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,67580,67877,67207,66336,65265,63726,61549,59251,56726,53997,50678,47157,43537,40261,37148,34092
ARG,30221917,31574219,32653586,32749103,32240946,31487016,30478729,29173873,27727276,26141855,24279921,22140201,20040349,18502021,17115662,15786789
ARM,1789889,1734221,1719506,1697616,1645558,1551468,1433399,1332841,1285956,1244860,1187649,1110409,1037836,979722,935305,896864
ABW,72381,71843,71255,71007,70871,70765,70442,70204,69732,67419,63973,60093,56322,52894,49513,45992
AUS,17119453,17509423,17894995,18032749,18218297,18161742,17968669,17746488,17598125,17448927,17027517,16410851,15741067,15190559,14647474,14111509
AUT,5867630,5677303,5503738,5389643,5314911,5171472,5004605,4831977,4705556,4599660,4451772,4253174,4016015,3805923,3605841,3415549
AZE,7291846,7525443,7629784,7600661,7501864,7293844,6973765,6653250,6435370,6237308,5885846,5416157,5042968,4793180,4549909,4284216
BHS,300781,301315,298897,292717,287170,280529,271816,258617,243878,227800,209809,194999,180839,167693,154681,142047
BHR,1240910,1329477,1401053,1433398,1419411,1355186,1261898,1205749,1184304,1160437,1106057,1028180,941318,866903,799559,734145
BGD,120404781,126892358,132096351,135130428,135799131,133627017,129072530,122888155,115182174,106187630,97397930,89278219,80844407,72794151,65653391,59568695
BRB,186357,180611,175940,170574,165750,159821,153676,146955,140265,132526,124135,116062,107611,99714,92401,85465
BLR,6158564,6010097,5914038,5701588,5436291,5106123,4781702,4624436,4558774,4428470,4205288,3904522,3632378,3446396,3280331,3111626
BEL,7402295,7338907,7258611,7153706,7067432,6951375,6830083,6706899,6617473,6482274,6248032,5965558,5700283,5484976,5275500,5060150
BLZ,285518,308990,331432,348409,359611,363235,359133,349614,336370,320140,301937,281746,258685,236645,216478,198432
BEN,7836146,9080518,10530200,11943751,13229880,14367081,15352174,16218410,16926072,17385035,17521143,17374569,16886718,16268675,15551695,14740268
BTN,577149,608381,624014,630514,621833,598755,559858,514072,473407,431437,391229,350965,316457,284947,256311,230225
BOL,8215941,8922549,9576048,10086055,10439297,10632150,10618206,10466668,10203547,9827983,9333491,8764164,8143202,7545719,6969231,6414049
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,2096117,1949552,1822470,1705451,1579201,1444464,1316855,1214697,1119687,1048963,976284,898971,823768,756040,698192,647660
BWA,1770838,1964365,2155290,2305662,2399871,2448889,2462962,2459610,2436918,2376222,2270919,2134906,1975925,1827869,1688484,1554537
BRA,151890116,153899673,155069818,153108012,148581630,141609788,133558562,125352699,116340628,107475914,98694678,89752409,80509541,73094882,66463304,60493224
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,329392,340128,345674,343876,336831,325232,311812,301274,290080,276715,261890,243589,224997,208914,194630,181196
BGR,4258337,4043104,3857000,3618547,3352691,3126130,2901803,2746298,2662585,2553357,2409820,2251657,2092519,1960397,1846111,1738994
BFA,13257728,15608423,18077247,20274408,22178260,23898942,25429034,26815926,27895664,28486686,28501901,28042110,27251973,26425734,25493696,24331435
BDI,7318002,8810385,10268309,11506012,12544762,13414895,14178903,14907296,15514897,15825403,15715386,15268391,14695407,14134703,13527498,12822226
CPV,418056,439512,456410,467300,466968,453752,430391,401404,374257,349288,322339,294505,266967,242337,221511,203656
KHM,11352224,12065281,12691157,13124699,13562517,13408501,13024250,12545325,12094444,11456622,10624142,9682711,8694666,7824603,7056440,6343927
CMR,16678302,19453093,22571444,25406649,27923305,30135475,31930393,33436947,34605754,35245075,35190698,34533178,33226544,31750820,30178736,28470708
CAN,24876211,24594657,24555365,24426526,24261210,23918416,23510372,23080724,22699429,22330103,21705239,20867946,19998467,19300649,18594758,17858738
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,3113230,3713048,4357864,5032943,5715549,6400234,7034090,7611435,8056819,8354200,8526697,8592381,8565656,8455148,8267570,7994081
TCD,9769773,11649233,13817805,15996394,18067329,20114165,22044298,23842857,25412629,26645015,27395756,27677656,27469537,26998504,26340059,25464886
CHL,13383835,13461802,13402073,13107893,12696416,12129673,11348327,10466416,9691004,9045121,8372538,7603109,6849429,6256921,5711290,5218268
CHN,986192909,977503964,940370854,876047366,829125657,771655808,698792039,641844900,600834724,558034134,506446561,446509747,391874166,363478456,341735654,319900624
HKG,4897336,4602771,4449053,4208462,3967051,3684430,3451357,3290229,3205461,3152943,3038923,2854939,2624304,2447065,2285868,2131799
MAC,491737,484599,490080,483582,471610,450149,419937,397906,384982,376521,362854,339377,309363,287433,267070,246896
COL,36285254,36967802,37449959,37576566,37088819,35944764,34234594,32125390,29918221,27810589,25846550,23855727,21751310,19850784,18167193,16668854
COM,514996,581903,650992,712814,763498,802075,829719,849535,859687,860128,845462,815900,775313,732856,690021,647542
COG,3659064,4286830,4889412,5416385,5869603,6280108,6617610,6906665,7112031,7181587,7069823,6801070,6467439,6115765,5744213,5351529
COK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,3631824,3708560,3757167,3734921,3657105,3516168,3325214,3128807,2930001,2732002,2512767,2280336,2053496,1880045,1720147,1569776
CIV,17051373,19710380,22493679,24928860,26868117,28542539,29907844,30879921,31373219,31319834,30721741,29640947,28109981,26496431,24904004,23290875
HRV,2498400,2364956,2246531,2140853,2021418,1893525,1782711,1688358,1598058,1528978,1445927,1352978,1260997,1177897,1103608,1035549
CUB,7597514,7249577,6809063,6375112,6139881,5888511,5479598,5097972,4747890,4400907,4095466,3734076,3397127,3095231,2827590,2585999
CUW,131707,133744,136178,139046,142245,144027,143846,140450,136174,131197,124950,117603,109806,102344,94980,87663
CYP,881188,890268,896750,891627,870867,831452,785073,755444,741920,726762,700851,662654,619556,583781,552213,521681
CZE,6881510,6750595,6618346,6338121,5931614,5642954,5395483,5206130,5148749,5059892,4841918,4581040,4295621,4054839,3869339,3707698
PRK,18013236,17764303,17276984,16887970,16550776,15924013,15115292,14166382,13300582,12548483,11786214,10961361,9958850,8901595,8203895,7704899
COD,54573094,65055686,77498772,90570000,103315326,115455118,126611557,137180412,146397534,153794582,158678771,160735391,159911869,157253994,153389265,148292879
DNK,3723396,3659097,3586691,3535094,3518569,3527488,3496076,3418942,3349341,3288208,3210920,3144034,3062793,2983883,2895637,2806716
DJI,761680,821709,876020,911191,930229,938801,935027,920178,893889,851845,802392,748289,688261,634155,584568,537118
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,7568594,7963505,8311838,8533769,8606715,8548015,8355113,8045017,7693434,7295149,6855593,6341755,5799864,5303372,4858309,4455659
