SSP5,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,1101708,1365437,1727544,2189595,2743716,3387506,4253569,5452960,6948110,8655653,10479104,12468367,14700627,16731814,18516183,20000197
ALB,493207,558806,597620,613701,615624,617745,625766,636959,630520,612788,594619,582151,568996,553599,531359,506285
DZA,3246239,4160869,5330753,6694200,8305930,10215629,12042890,13490788,14321647,14947995,16086887,17863905,19947934,21603492,22746274,23563953
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,1046307,1327295,1650841,2017489,2488832,3110773,3899411,4814997,5878683,7258386,9103897,11402051,14035930,16415034,18364132,20009528
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,11714,15268,19093,22272,24929,27475,30068,32371,34395,36280,38410,40550,42449,43499,43918,43804
ARG,5733034,6413929,7178731,8198570,9527770,10908719,12320123,13838153,15256568,16562696,17869877,19230399,20377107,20843096,20986768,20827012
ARM,400068,464679,483606,493677,508816,545939,597215,635902,643820,651811,670055,697780,722737,737930,748224,759453
ABW,19237,23399,26710,29079,31060,33168,35720,38494,41274,45363,50205,55193,59704,63036,65398,66829
AUS,4819839,5631723,6396178,7222806,7947228,8842179,9840513,10918090,11953803,12960634,14107984,15281655,16267978,16784804,16971244,16943551
AUT,1901298,2211363,2527223,2758733,2944890,3178636,3408903,3636126,3821775,4003128,4225541,4474108,4666742,4733189,4703234,4618877
AZE,892769,1228375,1516144,1732890,1950650,2249708,2616817,2930470,3095100,3201617,3412289,3701186,3888387,3954233,4008861,4073914
BHS,42171,55516,68738,83022,95023,106229,117133,130721,143933,157003,170690,180969,189513,194841,197645,197425
BHR,80604,134285,204623,292517,407544,556339,721919,846447,926035,988987,1055812,1120745,1172697,1195682,1203455,1203814
BGD,11558810,14185632,17447142,21536928,26101278,31426309,37217898,43163859,49275218,55384829,60151857,63422302,66307764,68337605,69150208,68690954
BRB,50198,58956,65971,72396,76961,81539,85455,89495,93056,97232,101978,106565,111101,114018,115330,114580
BLR,1728929,1918960,2026084,2152069,2304039,2513646,2732877,2832085,2858046,2922056,3040111,3206126,3344946,3406394,3449466,3487667
BEL,2455802,2779011,3087296,3367993,3611973,3871561,4133891,4412242,4667001,4952060,5308647,5680655,5974427,6116375,6174212,6140119
BLZ,23984,31986,41742,53890,67724,84662,104836,127274,149969,172226,193621,214202,234182,249288,259173,263544
BEN,449114,552078,678110,825400,1000664,1230666,1511482,1854590,2251506,2721057,3300903,4006810,4878437,5720284,6466937,7124842
BTN,52997,62519,76732,93654,118957,151869,193267,235123,265845,291257,309466,323514,329748,330703,327664,321349
BOL,637334,765180,920470,1118493,1364496,1663260,2033978,2444792,2850509,3238865,3633816,4026729,4407641,4715860,4952588,5126212
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,605518,669461,711929,739611,762253,783264,794574,788208,780325,763753,754912,754669,756542,753029,744514,732307
BWA,109773,141273,180715,231009,307472,411680,519773,620058,704643,789894,888922,995762,1105145,1185382,1237091,1264561
BRA,23658226,29140789,34764019,40664333,47399189,55033822,62288835,68661935,74686772,79441399,83112334,86207696,89085789,89759903,89242898,87359092
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
