Rural Population Share - SSP Database,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,0.680511231,0.621282462,0.562053692,0.502824923,0.46220269,0.421580457,0.386869531,0.352158605,0.323316827,0.294475049,0.270814486,0.247153923,0.227808122,0.20846232,0.192611443,0.176760566
ALB,0.343465846,0.308051693,0.272637539,0.237223385,0.210136842,0.183050299,0.161775606,0.140500912,0.123995358,0.107489803,0.094779855,0.082069906,0.072327064,0.062584221,0.055136379,0.047688536
DZA,0.24119456,0.219719119,0.198243679,0.176768238,0.162021999,0.147275759,0.135744249,0.124212739,0.115031776,0.105850812,0.098423096,0.09099538,0.08490093,0.078806479,0.073744266,0.068682053
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,0.298868562,0.265987125,0.233105687,0.200224249,0.174195154,0.148166058,0.127690207,0.107214355,0.091716162,0.076217969,0.064837818,0.053457666,0.045290809,0.037123951,0.03136083,0.025597708
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,0.068012343,0.057134687,0.04625703,0.035379373,0.031313712,0.027248051,0.024096521,0.020944991,0.01851043,0.016075868,0.01420015,0.012324431,0.010882228,0.009440024,0.008332884,0.007225744
ARM,0.319656685,0.272443369,0.225230054,0.178016738,0.162412562,0.146808386,0.134881366,0.122954345,0.113627504,0.104300663,0.096860413,0.089420163,0.083382242,0.07734432,0.072371796,0.067399272
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,0.119724708,0.101859415,0.083994123,0.06612883,0.060934384,0.055739937,0.051320558,0.046901179,0.043153342,0.039405505,0.036235862,0.033066218,0.030391772,0.027717325,0.025465119,0.023212913
AUT,0.353343547,0.294167095,0.234990642,0.175814189,0.160329163,0.144844137,0.132403524,0.119962911,0.109898346,0.09983378,0.091634582,0.083435384,0.076712021,0.069988658,0.064442679,0.0588967
AZE,0.391123438,0.346216876,0.301310314,0.256403752,0.230673399,0.204943045,0.184190182,0.163437318,0.146829586,0.130221854,0.116983783,0.103745712,0.093211362,0.082677012,0.074297632,0.065918251
BHS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BGD,0.56801986,0.517809721,0.467599581,0.417389441,0.375163496,0.332937551,0.297981374,0.263025197,0.234916189,0.206807181,0.184559811,0.16231244,0.144840188,0.127367936,0.113688261,0.100008585
BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLR,0.182125838,0.159081676,0.136037514,0.112993352,0.104060804,0.095128255,0.088664639,0.082201023,0.077320438,0.072439852,0.06863099,0.064822127,0.061770689,0.058719251,0.056222011,0.05372477
BEL,0.019078106,0.018946213,0.018814319,0.018682425,0.017715695,0.016748965,0.015880752,0.015012538,0.014233105,0.013453671,0.012754181,0.012054691,0.011427142,0.010799592,0.010236741,0.00967389
BLZ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BEN,0.465864231,0.415878461,0.365892692,0.315906922,0.285411059,0.254915196,0.230454481,0.205993765,0.186477907,0.166962049,0.151386161,0.135810272,0.123339522,0.110868771,0.100840437,0.090812102
BTN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BOL,0.269512649,0.240255299,0.210997948,0.181740597,0.165956877,0.150173156,0.137515771,0.124858385,0.114624234,0.104390082,0.096047808,0.087705533,0.080853745,0.074001957,0.068335693,0.062669428
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,0.450412363,0.391024726,0.331637088,0.272249451,0.244112656,0.21597586,0.193331655,0.170687449,0.152661308,0.134635167,0.120371606,0.106108044,0.094856727,0.083605409,0.074742742,0.065880075
BWA,0.266079046,0.240928092,0.215777138,0.190626184,0.168141132,0.14565608,0.127891954,0.110127827,0.096361634,0.082595441,0.072081978,0.061568515,0.053626512,0.045684508,0.039733621,0.033782733
BRA,0.118651949,0.108033897,0.097415846,0.086797794,0.082615327,0.07843286,0.07515921,0.07188556,0.069260393,0.066635225,0.064488307,0.062341388,0.060556902,0.058772415,0.057268918,0.055765421
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BGR,0.214896342,0.186652684,0.158409025,0.130165367,0.119110656,0.108055945,0.099909343,0.09176274,0.085536614,0.079310487,0.07441155,0.069512612,0.065565706,0.061618799,0.058376249,0.055133699
BFA,0.611033849,0.528137699,0.445241548,0.362345397,0.31548598,0.268626562,0.233247022,0.197867482,0.171766901,0.145666319,0.126552663,0.107439006,0.093444278,0.07944955,0.069175562,0.058901573
BDI,0.809837471,0.756754941,0.703672412,0.650589882,0.597137828,0.543685773,0.491307286,0.438928798,0.391911541,0.344894283,0.305364886,0.265835488,0.234059772,0.202284056,0.177472176,0.152660295
CPV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KHM,0.702739356,0.647798711,0.592858067,0.537917422,0.489734276,0.441551129,0.396787852,0.352024574,0.312967017,0.273909459,0.241492402,0.209075345,0.183173926,0.157272507,0.137149809,0.117027111
CMR,0.369739212,0.315078424,0.260417636,0.205756848,0.1795575,0.153358151,0.132498961,0.111639771,0.09569155,0.079743329,0.067938809,0.056134288,0.047611258,0.039088228,0.033046728,0.027005228
CAN,0.166123795,0.147867591,0.129611386,0.111355181,0.101889818,0.092424454,0.084565791,0.076707128,0.070186433,0.063665737,0.058256577,0.052847417,0.048360463,0.043873508,0.040151183,0.036428857
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,0.52414712,0.470274241,0.416401361,0.362528481,0.329823688,0.297118895,0.269612652,0.242106408,0.219372979,0.196639549,0.178047422,0.159455295,0.144340314,0.129225333,0.116974975,0.104724616
TCD,0.679059107,0.593318215,0.507577322,0.421836429,0.379637062,0.337437694,0.302513436,0.267589177,0.23948765,0.211386122,0.189105508,0.166824893,0.149276253,0.131727612,0.117934537,0.104141461
CHL,0.105225769,0.087721537,0.070217306,0.052713074,0.046811713,0.040910351,0.03628617,0.031661988,0.028056518,0.024451047,0.021650729,0.018850411,0.016681977,0.014513543,0.01283832,0.011163096
CHN,0.351144357,0.316568714,0.28199307,0.247417427,0.220044583,0.192671738,0.171976868,0.151281997,0.135512711,0.119743424,0.107603522,0.095463619,0.086020494,0.076577369,0.069161827,0.061746285
HKG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COL,0.166614687,0.147479374,0.128344061,0.109208748,0.100271239,0.091333729,0.084864242,0.078394755,0.073507829,0.068620902,0.064805474,0.060990045,0.05793195,0.054873855,0.052369937,0.049866019
COM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COG,0.29027882,0.25884764,0.227416459,0.195985279,0.178801291,0.161617303,0.14823397,0.134850637,0.124255375,0.113660113,0.105144065,0.096628017,0.089689836,0.082751654,0.077031253,0.071310851
COK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,0.187595554,0.182901109,0.178206663,0.173512217,0.15843558,0.143358942,0.13195734,0.120555737,0.111701938,0.102848138,0.095815457,0.088782776,0.083088296,0.077393816,0.072706994,0.068020171
CIV,0.427851497,0.372762994,0.317674491,0.262585988,0.235713302,0.208840616,0.187176942,0.165513267,0.148223211,0.130933154,0.117211379,0.103489604,0.092632126,0.081774648,0.07319579,0.064616932
HRV,0.372938561,0.321407122,0.269875683,0.218344244,0.19406937,0.169794496,0.150213496,0.130632495,0.115150958,0.09966942,0.087615173,0.075560925,0.066283557,0.057006189,0.049928147,0.042850105
CUB,0.198166106,0.168272212,0.138378317,0.108484423,0.099806489,0.091128554,0.084873779,0.078619004,0.073908871,0.069198738,0.065530032,0.061861326,0.058926403,0.055991479,0.053592217,0.051192954
CUW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CYP,0.280804455,0.22981891,0.178833364,0.127847819,0.114344566,0.100841312,0.090792848,0.080744384,0.073087102,0.06542982,0.059479392,0.053528963,0.048830085,0.044131207,0.040371389,0.036611571
CZE,0.225524691,0.191659382,0.157794072,0.123928763,0.114861158,0.105793553,0.099229814,0.092666075,0.087712956,0.082759837,0.078899503,0.075039169,0.071952329,0.068865488,0.066345225,0.063824962
PRK,0.333986412,0.291782824,0.249579235,0.207375647,0.182209993,0.157044338,0.136454826,0.115865313,0.099753331,0.083641348,0.071492559,0.059343769,0.050448586,0.041553403,0.035184214,0.028815024
COD,0.499035463,0.454450926,0.409866389,0.365281852,0.32941255,0.293543248,0.264271147,0.234999046,0.211494265,0.187989483,0.16925318,0.150516877,0.135614336,0.120711795,0.10885202,0.096992245
DNK,0.111231107,0.103622215,0.096013322,0.088404429,0.085015657,0.081626884,0.079068206,0.076509528,0.074527632,0.072545735,0.070979771,0.069413807,0.068156818,0.066899828,0.065877956,0.064856083
DJI,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,0.171806242,0.169012484,0.166218726,0.163424968,0.149814249,0.136203529,0.125513444,0.114823359,0.106281434,0.097739509,0.090809303,0.083879096,0.078181223,0.07248335,0.067744241,0.063005132
ECU,0.31167517,0.265010341,0.218345511,0.171680681,0.157259312,0.142837942,0.131635949,0.120433955,0.111558241,0.102682527,0.095526132,0.088369737,0.082511458,0.076653179,0.071794247,0.066935315
EGY,0.507833487,0.443496974,0.37916046,0.314823947,0.285461607,0.256099267,0.232336263,0.208573259,0.189443874,0.170314488,0.154916873,0.139519258,0.127093155,0.114667051,0.104600535,0.094534019
SLV,0.243324211,0.221088422,0.198852632,0.176616843,0.161219681,0.145822519,0.13409175,0.12236098,0.113206042,0.104051104,0.096755997,0.089460889,0.083543091,0.077625293,0.072750903,0.067876513
GNQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ERI,0.565492286,0.544454572,0.523416858,0.502379144,0.45935845,0.416337755,0.379641748,0.342945741,0.312631588,0.282317434,0.257656016,0.232994598,0.213030206,0.193065813,0.176887926,0.160710039
