SSP3,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,24446063,28712350,33280611,38318573,43896736,49923529,56092519,61957523,67608520,73127942,78674014,84022851,88842010,92965261,96139252,98407084
ALB,1866922,1780416,1698805,1666757,1636282,1587539,1515263,1418123,1344518,1303862,1289029,1275508,1271883,1249827,1237587,1235666
DZA,29411021,31975785,34509683,36674284,38218678,39306460,40617887,42413378,44887317,47300902,48892043,49560838,49952164,50576753,51590120,52685268
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,20303723,24078496,28328318,33152694,38436058,44300673,50750697,57402737,64192602,70925628,77552326,83769160,89420478,94431031,98558503,101568522
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,67241,67055,65747,64750,64077,63411,62543,61610,60746,60213,59758,59722,59969,60106,59962,59531
ARG,30208436,31513904,32525440,32895334,33012926,33199475,33438931,33480205,33538288,33662418,33750266,33764275,34008357,34626237,35189048,35629201
ARM,1817486,1784272,1788380,1795305,1778671,1722570,1646863,1591532,1599738,1621827,1633457,1626388,1632961,1651190,1682924,1718990
ABW,71337,69586,67646,66601,66283,66757,67817,69273,70981,71411,71603,72261,73761,75251,76319,76742
AUS,16926234,17106265,17268736,17283402,17438737,17439156,17404849,17416013,17649586,18070286,18405719,18699132,19066686,19509226,19912732,20292973
AUT,5820110,5572439,5336120,5189972,5111277,4990140,4872645,4764961,4737045,4777091,4825930,4863048,4888209,4917654,4937046,4955003
AZE,7284868,7503898,7585096,7571632,7528028,7427706,7271580,7133990,7123091,7171340,7121633,6999361,7006179,7112606,7202794,7245546
BHS,299347,297947,293196,286838,283390,281113,278802,272736,266464,260733,255364,255142,257096,258719,258922,257969
BHR,1217886,1282472,1329105,1345820,1324929,1263539,1186497,1157213,1178639,1211832,1227346,1229283,1230549,1238127,1247590,1252995
BGD,120713666,127466028,132814244,137295607,140615039,142134164,142284685,141147195,139070764,136487843,134820222,134169581,133529160,132405557,131449960,130895731
BRB,186521,180544,175369,171168,169249,167674,167207,166221,165702,165170,165726,168242,171422,173914,175767,177129
BLR,6144203,5970340,5840279,5621889,5377969,5100871,4869779,4827420,4897284,4924115,4887476,4805656,4789094,4851617,4919640,4963516
BEL,7349201,7222623,7073755,6943281,6872849,6814486,6798050,6805346,6892208,6990422,7058568,7140913,7294205,7482030,7656424,7807881
BLZ,283966,305587,325947,345135,362889,376751,386429,392522,397854,403666,411370,419844,427576,433756,439525,446017
BEN,7826587,9045511,10447744,12042322,13787198,15655917,17661641,19686465,21759855,23849169,25890217,27884939,29701908,31333878,32686769,33810145
BTN,576787,607287,621651,632173,633050,624446,604272,577598,556953,537464,523345,512021,508316,502771,495175,486473
BOL,8222875,8926895,9566164,10190673,10799775,11382510,11885654,12302878,12656442,12957610,13238088,13527374,13836574,14108944,14313927,14465317
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,2127214,2005063,1897271,1808249,1717552,1623373,1540231,1481807,1426646,1403262,1384956,1367938,1358018,1345928,1336042,1328954
BWA,1748252,1896545,2036840,2159488,2253916,2331787,2407905,2478818,2540504,2582695,2608683,2625713,2636848,2644742,2644753,2637844
BRA,151768673,153467162,154188565,153173804,151035265,147673933,144344224,141178856,137825775,135384235,133910156,132936937,132256169,132305469,132048369,131672699
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,328564,338128,342167,342258,340426,337109,335091,336998,339724,342399,346752,349941,355007,360668,366214,371126
BGR,4263413,4046136,3851849,3626983,3396116,3224367,3075822,3002638,3008900,3002260,2979122,2957184,2948871,2955447,2967952,2976668
BFA,13273640,15610260,18035361,20678989,23607178,26822962,30364827,34029567,37746398,41383035,44929250,48357845,51737706,54880529,57578635,59720397
BDI,7330858,8820724,10253230,11679973,13159357,14728409,16456121,18242380,20016551,21639689,23042621,24271464,25468536,26554076,27397395,27947899
CPV,420488,444172,463041,481129,493119,496107,492796,484561,479681,479219,479302,480373,483414,486054,489545,494033
KHM,11358271,12060063,12661274,13244827,13997632,14315629,14541779,14707924,14977329,15184169,15326874,15434917,15546499,15663057,15785117,15897794
CMR,16567768,19075158,21818931,24631835,27531883,30506040,33556299,36562274,39509652,42316002,44864076,47122301,49068889,50601485,51816383,52601994
CAN,24619867,24050562,23701253,23383745,23143267,22840223,22597854,22417014,22459571,22744814,23032623,23325495,23762260,24310630,24776565,25147179
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,3108742,3669814,4252936,4979323,5852126,6824989,7855013,8853444,9852780,10852042,11872366,12866571,13844880,14731237,15507979,16183669
TCD,9744785,11563978,13626873,16098721,18973044,22305257,26086763,30067834,34234105,38524433,42798717,46956987,50928889,54604832,57826267,60671615
CHL,13359052,13401489,13299387,13064129,12812787,12499769,12061425,11551291,11193261,11017708,10882678,10709049,10600063,10578787,10528360,10464887
CHN,985565512,975369794,936572138,876128017,837400238,793001950,738790401,701153671,679274608,656816368,628717062,595790716,570797505,567065020,565966164,561204568
HKG,4880348,4551944,4352019,4081344,3824292,3533848,3305318,3161440,3130945,3179117,3198827,3169033,3102446,3087090,3077364,3070923
