SSP1,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,1088946,1334608,1674585,2110816,2634923,3240833,4068740,5252596,6770084,8543424,10446963,12516517,14847837,17002001,18926043,20552497
ALB,501743,580074,633679,663934,678556,695350,724402,767538,792638,797461,790992,786877,775989,765526,739526,702795
DZA,3247274,4164265,5339002,6711035,8337773,10272486,12133733,13623313,14491791,15157433,16362194,18237134,20438142,22194824,23414663,24289832
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,1037423,1305903,1613538,1960432,2407404,2997698,3746963,4618489,5635056,6966095,8760130,11006196,13595961,15947178,17873227,19506245
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,11552,14945,18659,21718,24203,26534,28903,31027,32898,34464,36143,37564,38645,38978,38762,38132
ARG,5733096,6413130,7176800,8197390,9532551,10920267,12339224,13878403,15328808,16667895,17998591,19382184,20541546,20985820,21099176,20900464
ARM,406719,481573,508421,524038,545047,595409,670202,734076,750614,759758,778524,810732,835414,847088,850283,854618
ABW,19246,23432,26733,28966,30641,32136,33826,35496,36977,39870,43446,47015,50007,52112,53482,54155
AUS,4807511,5598491,6333281,7124952,7799662,8632560,9547939,10499367,11338127,12046526,12853413,13662701,14285727,14481725,14396601,14160571
AUT,1899494,2207740,2522045,2747477,2920758,3134100,3332644,3515044,3635902,3727230,3844758,3981693,4071413,4054837,3961086,3833447
AZE,893615,1232602,1524322,1743118,1963158,2267969,2646676,2970356,3131390,3220229,3421760,3711058,3883084,3922624,3955127,4006654
BHS,41952,55070,68097,82237,93958,104671,114840,127767,140184,152062,164149,171629,177094,179784,180368,178256
BHR,76861,125345,189451,270963,378965,521176,679421,789496,843584,873450,905692,936774,957818,956201,945752,936002
BGD,11581492,14244822,17562755,21738768,26426987,31931360,37980949,44336140,51051122,57959103,63516886,67448335,70948654,73501279,74688863,74388769
BRB,50299,59226,66382,72937,77507,82033,85716,89713,93292,97590,102148,105871,109364,111438,111954,110348
BLR,1732884,1926837,2033933,2157976,2308883,2521203,2743912,2826073,2815124,2836522,2911918,3039282,3131979,3144972,3149066,3160864
BEL,2454079,2773629,3075987,3346994,3575611,3810953,4037579,4266172,4450249,4641938,4894043,5152839,5330440,5375168,5354429,5264815
BLZ,23686,31273,40540,52116,65263,81357,100586,122308,144605,166561,187093,206386,225322,239810,249058,252546
BEN,448021,549416,673342,817793,989435,1215123,1491663,1835007,2238735,2723651,3324549,4055049,4960026,5837630,6618256,7307810
BTN,52685,61771,75461,91775,116608,149298,191292,234916,267391,294757,314136,328557,333538,333370,329327,322051
BOL,637258,765239,921196,1120926,1370425,1675030,2056339,2485645,2918315,3339450,3768769,4193678,4604612,4939238,5199571,5392488
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,614317,690404,745306,785373,822621,860108,888057,894032,900566,888382,880710,878993,876576,869280,855803,837712
BWA,109073,139631,177932,226840,301760,404076,509685,606725,687163,767756,861981,964347,1070694,1149036,1199057,1225369
BRA,23661926,29150731,34781991,40691658,47438813,55089543,62359908,68750764,74802921,79581585,83265104,86361646,89240444,89903188,89373475,87469741
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,33787,47793,64477,83518,103293,123999,143242,157644,170305,182324,193110,204961,215141,220860,221694,218041
BGR,1484552,1545164,1591524,1674533,1780268,1854411,1933745,1949300,1895643,1864290,1864129,1882065,1909739,1922244,1924396,1919376
BFA,635094,771631,940813,1155255,1466920,1875642,2358329,2910739,3585554,4435051,5546645,6882759,8308837,9517614,10540873,11492167
BDI,348736,406148,483338,601127,796484,1093972,1400266,1660023,1917791,2307409,2939781,3756817,4539252,5143022,5608365,5994268
CPV,37391,50033,64363,78539,96070,119310,147189,176907,201581,220180,237018,251491,262902,269055,269662,265812
KHM,1143108,1513364,1898254,2219495,2309038,2833546,3437712,4003649,4414953,4883149,5417802,5958889,6474812,6821594,7015934,7089081
CMR,830891,1017633,1281805,1635771,2107776,2781777,3616759,4576097,5616464,6861209,8388907,10156829,12230310,14057558,15616845,16935248
CAN,8028382,9436423,10472829,11329371,12137820,13035741,13936792,14893828,15837508,16658316,17578690,18499970,19187117,19355690,19210660,18784742
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,162421,195958,227937,255808,286829,347796,440782,585531,814407,1119528,1474791,1871181,2289931,2715701,3137805,3568175
TCD,397712,501342,634905,808987,1003132,1209717,1471970,1836668,2322110,2954404,3806113,4881926,6168133,7442067,8586532,9672939
CHL,2809697,3390462,4012653,4627364,5237125,5873631,6592384,7321319,7863161,8183793,8428972,8678510,8817422,8693765,8422668,8040375
CHN,211172865,254356012,314395846,368382760,391673741,419135589,458448384,478426173,477790779,473940164,476421237,486852635,492125787,471803668,447549056,427215598
HKG,1734104,2132738,2437496,2723628,2965325,3202767,3355432,3424324,3416995,3353747,3323691,3316025,3317723,3229628,3130980,3031154
MAC,108303,147920,182930,214193,245006,279309,318264,346936,363451,369419,374837,383758,392464,385686,371418,356651
