SSP1,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
COL,5289445,6789653,8324570,9723198,11216435,12900365,14733256,16669694,18444996,19855409,20856802,21646469,22325625,22606328,22486669,22027831
COM,35999,41486,48520,56556,66757,80757,97807,117865,141787,167071,197447,234434,273403,306751,332847,352713
COG,188012,255121,345499,457294,597559,764869,947724,1132243,1341288,1608985,1974101,2429811,2877978,3263696,3590238,3866174
COK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,630221,794063,955410,1106956,1276201,1474361,1689034,1884236,2050162,2184681,2309821,2419827,2494283,2485480,2438219,2363737
CIV,743309,932677,1222129,1637695,2208088,2889542,3586140,4459092,5553100,6900661,8469116,10241930,12191873,13936785,15369106,16588543
HRV,929343,981202,1025769,1059813,1103716,1153012,1184943,1206453,1229823,1233689,1248781,1269312,1283828,1286813,1280403,1263962
CUB,1876404,2297387,2758945,3152115,3285227,3374411,3560790,3674271,3729579,3765940,3769930,3843793,3904194,3897519,3815613,3702282
CUW,31192,36603,40647,43615,45613,48356,52449,59536,66381,72631,78720,84472,89116,91904,93194,93196
CYP,205182,241659,281660,323914,374330,437720,505010,554521,583344,603842,623194,642880,655874,652116,639897,627113
CZE,2275455,2426050,2590481,2863685,3215175,3432379,3618519,3762790,3758046,3741270,3801104,3868600,3953866,4009141,4003564,3964713
PRK,3394508,4021567,4960101,5790738,6128933,6462166,6832504,7278439,7658650,7928257,8123205,8284536,8574906,8904205,8886858,8677375
COD,3100392,3693472,4426115,5250821,6162289,7428446,9162889,11294622,14018755,17263775,21456038,26910044,33624968,40461136,46625404,52153735
DNK,1264915,1397169,1535928,1645168,1727780,1784193,1872034,1999007,2115937,2217055,2331985,2432783,2533003,2600483,2617942,2585170
DJI,55437,67421,83503,104056,126866,149351,173670,202384,233795,271929,306355,337377,368001,387717,398309,403281
DMA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DOM,935409,1166366,1407441,1663220,1947620,2260571,2599852,2972856,3329016,3675084,4007891,4363694,4700062,4949675,5107572,5182948
ECU,1567441,1934675,2365403,2850418,3404521,4052600,4780912,5540661,6289667,6976328,7630333,8253261,8749897,9101352,9261028,9222671
EGY,5951801,7546259,9483136,11756893,14718303,18456936,22776921,26869514,30783589,34927108,39686608,46143034,52684924,58389244,63335603,67765545
SLV,558553,644815,752102,870391,1000515,1122303,1264902,1467143,1688587,1847204,1956820,2057470,2126248,2153837,2139033,2088216
GNQ,59316,79221,101073,129858,166802,222549,298712,370472,427841,478348,572112,685137,808718,919166,1012148,1087820
ERI,158676,187862,224262,266843,314779,370815,436338,521210,651674,805468,976503,1136203,1273167,1378164,1457891,1519098
EST,286520,303303,315353,334295,352746,375041,401423,412625,411153,411724,422690,434262,445669,449559,450605,452087
SWZ,50595,58692,66278,74349,88079,113982,148105,184811,213501,245224,281391,318519,353325,378213,394419,404548
ETH,4257031,5275444,6531365,7960417,9761856,12023014,15314110,19574834,24714304,30633864,37067952,43475440,50615239,56653905,61248952,64873017
FLK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FRO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FJI,61754,74824,86667,97689,115524,138615,159950,179922,195853,210949,230469,252400,275372,292781,306255,315852
FIN,1354463,1472942,1567460,1612070,1680182,1766978,1855587,1962287,2045597,2129508,2233394,2331250,2347331,2303114,2237196,2160584
FRA,14770970,16315642,17833111,19371970,20401919,21459483,22284978,22861356,23574990,24656163,25886100,27090619,27983761,28422020,28631169,28628722
GUF,21466,28808,37685,47961,58308,68723,78930,89310,103410,119860,137173,154848,176017,194617,209031,219286
PYF,99989,129396,160660,189307,213374,241724,267474,289205,304810,323433,343806,364696,381302,391328,399523,406090
GAB,103138,130786,169326,222571,293249,387373,493815,598320,692233,789326,905407,1050170,1203250,1327604,1425384,1500205
GMB,73204,96935,127953,164088,204909,252152,308949,379084,465085,571341,704063,857237,1013019,1121966,1210983,1285856
GEO,565023,631325,667867,701947,735914,775759,820346,842258,834085,821337,828034,857188,891874,907049,910697,916681
DEU,19698960,22250409,24688610,25870460,26827159,28125062,29474203,30368591,31026389,31524931,32261400,33289448,34342480,34559808,34139804,33284857
GHA,1347526,1702074,2038730,2479655,3156072,4036878,4968488,5894737,6825836,8001821,9412217,11132963,12969485,14479206,15757402,16876953
GIB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GRC,2460573,2656287,2923670,3191842,3454264,3670233,3757587,3798135,3849707,3905384,3970256,4026569,4053272,4031421,4005706,3953088
GRD,13792,16484,18584,20462,22412,26019,31008,34803,37532,39651,42092,44814,47267,48640,49029,48996
GLP,84873,98753,110754,118936,119909,116603,112041,112282,116489,121162,125601,130836,136714,144558,150721,152828
GUM,22423,27154,31533,34861,36618,37952,39689,42133,45141,48361,52237,57176,61659,65086,67702,69376
GTM,940116,1128501,1363536,1673532,2103481,2666113,3349765,4155792,5042351,5946486,6771932,7568442,8319826,8864701,9230037,9414152
GGY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GIN,492595,579464,679928,788523,917108,1107980,1399170,1799885,2267198,2763692,3331936,3980971,4711025,5346102,5856510,6271639
GNB,65155,78381,95178,123420,163666,218968,279061,341596,416105,505649,612644,732949,853593,953238,1027670,1081450
GUY,56063,68720,81585,94158,106211,115895,127535,145725,163540,177114,189812,203203,216502,226297,231201,233126
HTI,575351,677377,791832,923248,1107928,1358297,1671550,2011990,2359453,2709511,3051658,3403249,3762760,4024489,4201730,4312594
VAT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HND,504447,641713,816910,1063158,1397774,1799753,2242999,2739048,3279079,3825847,4321583,4763543,5186881,5513090,5716804,5805821
HUN,2032994,2080301,2198707,2387155,2653344,2771695,2881108,3011105,3064958,3072360,3100042,3118801,3174270,3216282,3208054,3167503
ISL,62700,73708,83985,94225,104567,116162,128419,143289,154072,162164,171236,179082,182213,180780,176454,171443
IND,107567279,131005847,156448471,185092654,216840654,254358462,296685511,340858975,386110168,431586146,470822081,503989779,529345259,540070696,541667116,535594971
IDN,20861978,26243562,32765079,39914358,47557526,55504110,62403422,68849727,75326579,81407525,88427378,96043799,102625297,107211621,110009796,111013331
IRN,7716952,9796409,12225049,15112450,18796303,23993155,29329545,33103117,34874363,36213406,37936989,40316814,42601735,43032439,43087922,43054768
IRQ,1621379,2113160,2878738,3861346,4990355,6287728,7805692,9725268,11941797,14447853,17327619,20918345,24353418,27381974,29921977,31824126
IRL,829230,969635,1120256,1298493,1494099,1680804,1805645,1901248,2012343,2142777,2291882,2435962,2531712,2570319,2598584,2597784
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISR,1182777,1369309,1573868,1849000,2153542,2470113,2784325,3090936,3419154,3776578,4163395,4605651,5080905,5459667,5780949,6060712
ITA,14850809,16545956,18533316,20381263,21690932,22438792,22913703,23210384,23328705,23424281,23581503,23683470,23500972,22976855,22203607,21282882
JAM,237471,302937,375202,444058,513583,603849,703711,801698,884619,936928,980909,1008686,1021522,1017473,1001022,969672
JPN,37522415,38417820,39951252,42638569,44368723,45142111,45611402,45869091,46093914,45874230,45057717,43823748,42459754,41095646,39716256,37975078
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,517240,742808,1049808,1414214,1813330,2264756,2774219,3339701,3887327,4423749,5053410,5701528,6273539,6731090,7090211,7351421
KAZ,1722542,2107179,2400372,2716714,3054101,3462250,4007312,4401981,4598768,4828665,5329009,5997005,6723069,7406062,7939490,8387778
KEN,1703218,2163090,2798330,3624615,4706029,6204600,8044937,10013598,12256424,15038550,18356333,21516483,24550704,27243618,29537007,31400581
KIR,5613,7394,9459,10722,12217,14689,17892,21231,24721,27130,30428,35124,39934,43448,45734,46782
KWT,287607,471582,732887,1103543,1473773,1800112,1961320,1976364,1984540,1981778,2000301,2061605,2113420,2152075,2183590,2200531
KGZ,357641,483376,582804,689595,801603,957229,1200519,1452691,1647822,1802261,2010383,2321559,2653303,2921960,3135207,3318941
LAO,373570,464091,563445,677354,820904,1012051,1254437,1509260,1761044,1987308,2199729,2393928,2596818,2733887,2810383,2845910
LVA,412080,425929,431736,443778,450218,463861,480251,485584,474509,471681,480389,491804,507532,513139,513319,512330
LBN,601302,753437,930245,1084345,1227781,1383075,1523679,1662456,1845614,2055071,2288399,2544316,2725799,2826604,2887083,2899850
LSO,102324,114971,125399,136764,159951,201805,259594,318877,374846,427023,478709,539054,607100,665785,709154,741534
LBR,188923,223241,277295,355381,465526,602454,745575,907148,1123664,1412576,1772658,2164113,2558046,2919657,3238736,3509395
LBY,375752,503074,696532,957035,1249861,1513636,1726910,1916872,2133168,2388386,2688109,2995787,3275458,3508415,3688621,3792031
LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LTU,593365,636112,660881,681046,685824,688247,698926,705434,693187,674384,666688,673928,686462,684031,679896,675339
LUX,108584,132851,160144,185707,211053,237525,262745,285496,300794,312151,324673,338825,350797,355892,356333,353037
MDG,1114366,1390956,1724025,2164740,2678609,3263329,4016436,5055664,6370437,7855129,9617744,11545815,13697287,15630184,17263446,18648643
MWI,546465,634363,771745,993768,1396584,2000370,2648663,3379410,4273647,5414289,6808864,8254460,9699782,11080674,12322524,13443791
MYS,2902938,3674044,4542708,5475827,6570905,8034666,9690649,11273132,12642711,13852149,14880072,15818652,16686805,17063353,17194192,17122969
MDV,30581,43709,60649,82639,111835,155485,211414,258875,288698,305195,321850,338695,348679,343942,326821,308498
MLI,569618,649954,780335,991446,1294940,1673187,2086125,2553669,3157963,4039971,5226852,6681079,8366199,9953603,11398495,12708037
MLT,110410,123542,132532,143934,159642,178786,201564,223378,233148,234168,234802,234833,232966,225393,214600,202645
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTQ,89882,103837,115007,120982,119624,115056,109651,105409,105196,106852,109313,112065,115677,118652,121668,123671
MRT,163784,198037,242208,297672,366193,457045,575112,721873,900029,1115704,1386623,1687234,1990014,2249001,2464063,2645647
MUS,185480,227587,261826,285791,318002,344530,363564,391478,412880,434461,448124,453117,453850,450944,443848,430554
MYT,11350,16053,22504,31183,41449,53090,66601,81622,93472,111711,137623,166857,202705,240343,279471,320595
MEX,11574435,14181436,17408032,21117019,25087009,29145102,33325010,37672578,41991171,46350049,50602733,54741902,58183388,60732377,62212433,62422190
FSM,54827,67290,79105,87836,94591,102503,112801,126842,142711,156341,171382,188430,204228,215616,223652,228156
MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNG,184043,254368,326084,406187,491968,584274,703121,788614,836990,869576,942592,1093147,1254979,1365806,1454376,1535771
MNE,111980,124009,133945,144161,156450,170777,182711,193077,202596,211410,220231,229510,238140,244038,246478,246076
MSR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR,3254498,4024060,4824331,5710575,6717664,7854734,9025605,10142491,11119418,12049390,13043238,14193034,15253792,16011448,16475195,16700249
MOZ,927043,1115523,1363274,1738119,2196421,2822282,3666063,4724978,6041604,7639736,9519528,11789962,14320945,16478267,18195176,19621560
MMR,4065844,4858494,5729647,6622810,7570027,8656213,9710342,10773033,11792414,12815995,13677881,14463378,15332840,15822365,15967753,15826059
NAM,107640,132046,163483,200448,245640,303241,384501,498041,602477,701488,810432,946294,1094484,1220903,1317723,1392778
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPL,1957895,2210511,2534435,2950058,3486112,4160131,4989462,6138020,7542334,8966295,10126317,11129552,12070664,12851450,13302998,13439639
NLD,3823832,4359191,4872063,5249010,5446700,5660486,5922190,6221119,6508781,6819320,7116078,7327831,7431293,7352498,7173729,6945083
NCL,35865,44273,54000,64484,73218,82296,91179,98291,103685,110715,117342,124829,131443,135898,138839,140812
NZL,923456,1089623,1237181,1376924,1479937,1594677,1731412,1878293,1993190,2099675,2222691,2350065,2457712,2510696,2528263,2519389
NIC,409770,510149,640755,810174,1012481,1245456,1514561,1812395,2096411,2346396,2578653,2813441,3041352,3204673,3298232,3338055
NER,693572,860098,1044763,1251312,1519321,1869708,2287399,2859821,3683121,4814031,6291360,8116710,10362389,12612700,14716843,16781331
NGA,7002818,8150199,9536464,11416157,14015260,17048354,20201122,24044910,29138635,36264825,45496273,56491535,68996122,80927062,92691027,104713561
NIU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MKD,331488,384667,432934,477515,527362,584008,637133,682123,714838,737520,749511,766045,778122,785275,787382,782903
MNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOR,1075895,1223017,1396598,1561284,1690453,1827928,1984900,2142837,2278056,2402234,2539052,2660779,2726220,2706040,2649293,2580661
OMN,164698,243804,359271,537069,810843,1207375,1696502,2088950,2222962,2249653,2287575,2369960,2469753,2521968,2542398,2566784
PAK,11129539,13410552,15645744,18064518,21182656,25770122,32001614,39778157,48863867,59387261,70557954,82807681,94711924,106426738,117492454,127505321
PLW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAN,431120,539141,666229,802950,940378,1087083,1238957,1386986,1533674,1681303,1836505,2004878,2167362,2293052,2374838,2415796
PNG,372709,495840,640342,807666,1005185,1242081,1535320,1871134,2235603,2640309,3081821,3561688,4059842,4444742,4717889,4899540
PRY,467097,582452,716866,854204,1011594,1224825,1483797,1759276,2023028,2253222,2472386,2695577,2939032,3132160,3267786,3343420
PER,3108359,3703772,4424274,5309136,6261725,7290991,8422736,9528159,10533045,11465015,12484349,13401975,14208585,14797580,15120280,15197276
PHL,7127794,9037689,11289516,13823828,16704430,19872301,23471911,27644707,31979290,36366418,40990198,45566450,50090497,53800082,56695500,58758491
POL,7969783,8627486,9061961,9716368,10674072,11752806,12552694,13036166,13121304,13021593,13083885,13063898,13009493,12767171,12495427,12260786
PRT,2466359,2717445,2964330,3240668,3499638,3657474,3723428,3766486,3804881,3840917,3866788,3882494,3900616,3870505,3816045,3717982
PRI,774627,834423,868243,883754,892913,888186,874726,870908,867073,860925,856184,852424,842748,817738,789825,754522
QAT,76985,152169,273748,459198,729722,1108386,1544429,1903919,2087304,2160462,2237511,2305250,2329927,2274731,2180708,2093507
KOR,10312408,12846108,15170131,17357130,18788000,20088504,20545775,21054660,21210582,20661414,19864680,19199045,18307757,16977993,15831532,14591382
MDA,449767,486785,490631,502472,529519,580469,653540,696484,701457,696428,704534,729948,763907,780120,782807,782725
REU,143973,178632,214829,243397,264154,279724,291720,303351,319950,345293,370753,398219,424453,450785,469054,480230
ROU,3711412,3769201,4169894,4540249,4927323,5120613,5374544,5372288,5296388,5223074,5213215,5222831,5315318,5380679,5353797,5307503
RUS,24682873,27714075,29036959,31073775,33556774,37070712,41164579,42873608,42820640,43141468,44320135,46715520,48856652,49664986,50057005,50523080
RWA,502576,635629,764141,942137,1213222,1691425,2236307,2778539,3346591,4026432,4774189,5508157,6309114,7046213,7659063,8138677
BLM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SHN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KNA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LCA,18426,23244,28770,33903,38719,43931,49379,55454,60424,63730,66208,67621,68940,69216,68449,66746
MAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VCT,11781,14289,16391,18294,20270,22134,23344,24790,25902,26620,27451,28584,29446,29770,29742,29433
WSM,13003,16226,19731,23637,27681,31106,34495,39227,43867,48957,55586,64022,72847,80188,86469,91731
SMR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STP,9160,11043,13258,16313,20658,25857,30175,34415,39982,48523,59273,70435,80982,89591,96171,100907
SAU,1347332,2290020,3782422,5856901,8437131,10715267,12398018,13877895,14790537,15520289,16287406,17249228,18239246,19068292,19616116,19906329
SEN,585764,706644,871818,1103005,1427256,1840869,2332036,2888255,3523988,4298456,5243173,6349861,7517261,8517203,9339324,10049477
SRB,1487517,1579072,1677790,1793969,1942444,2073920,2191886,2275377,2317308,2366211,2387158,2442742,2505631,2548301,2572170,2578202
SYC,9970,13057,15995,18983,22284,24976,27383,29627,31026,31892,33502,35589,38000,39583,40517,40955
SLE,292002,350358,423218,510792,617104,746900,904721,1093212,1322256,1593977,1890939,2207173,2523729,2794180,2989072,3126693
SGP,1088385,1447544,1762917,2061828,2312775,2523576,2688823,2837183,2959557,2988279,3016091,3045191,3092649,3077695,3025009,2930997
SXM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SVK,1021127,1140485,1232327,1356082,1519650,1661593,1781065,1861923,1874356,1860567,1861921,1875546,1898383,1905680,1899818,1887604
SVN,470896,524633,576407,621538,673551,717751,748671,761602,766751,766510,777751,796109,807299,807310,802362,796814
SLB,27383,34183,44237,57292,71764,88145,106165,126661,151359,179954,213575,254445,299164,338577,369941,394507
SOM,487057,590413,704975,838513,1010511,1237529,1503479,1810387,2285416,2888163,3644357,4607776,5808594,6986853,8099828,9204278
ZAF,3681751,4547227,5823673,6783407,7710292,9668320,12154476,14280882,15699561,16693240,18193503,19796496,21310936,22237524,22751871,22932973
SSD,353354,433299,534630,665659,797086,895952,933951,973838,1080274,1354098,1681253,2088537,2383543,2533695,2666145,2809859
ESP,10320624,11862532,13651326,15587559,17542748,18887460,19691283,20252714,20623943,21049444,21587108,21903135,21825931,21421118,20882859,20215995
LKA,2782332,3294825,3763185,4216358,4734531,5305322,5700780,6126119,6558861,7081117,7663116,8182619,8589516,8821673,8930337,8911623
PSE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SDN,1873360,2240817,2574765,2983635,3632480,4647076,5861085,7166604,8577483,10104723,11928099,14157445,16823580,19255805,21342943,23095326
SUR,50919,64796,79300,93830,105817,121771,137246,152260,170044,189429,208459,226821,244767,259296,269749,276232
SWE,2235964,2449326,2703834,2935038,3134131,3369199,3680239,4022947,4240975,4466616,4746373,5038248,5234121,5244821,5161723,5072167
CHE,1820775,2128434,2445826,2697802,2920491,3167694,3405110,3603697,3744818,3870074,4018378,4152829,4231881,4202874,4132138,4051799
SYR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TJK,409323,565213,714463,868443,1036312,1278150,1643573,2013252,2348305,2671250,3033071,3525791,4052777,4513087,4880529,5202672
THA,12274493,15006919,17381984,19138441,20338745,21403036,22034777,22540110,22951797,22823688,22704514,22648654,22292276,21651559,20840653,19898827
TLS,70814,75039,84952,98740,112545,134365,168204,210305,264128,326724,383480,428911,468549,495276,514884,526838
TGO,304656,367869,449392,553935,684587,837001,1014744,1221260,1467048,1772513,2153258,2601626,3097870,3542352,3923888,4243349
TKL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TON,7013,7971,9661,11310,12830,14657,16266,18038,20010,22720,25573,28790,31862,34262,36207,37700
TTO,197068,242480,271827,302046,339678,391205,434147,454752,462729,468254,476446,486132,492959,493190,490423,486881
TUN,1251323,1584638,1934184,2276003,2664370,3066956,3471854,3794006,3979602,4122050,4319073,4636049,4962464,5172361,5272687,5298415
TUR,8166671,10231160,12784755,15374216,18227935,21167225,24022440,26598222,28969099,30677186,32203562,33826925,35547141,36069698,36288151,36214391
TKM,388824,510635,613760,714321,824344,973446,1196593,1416493,1579867,1704081,1867505,2128411,2401309,2661375,2849549,2991162
TCA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TUV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
UGA,908544,1180729,1569340,2074066,2701955,3608966,4967475,6868946,9235584,12009620,15119591,18533215,22240845,26027818,29599712,32878478
UKR,7352873,8319146,8832461,9440113,10008729,10767671,11578747,11907680,11826190,11625946,11762564,12054760,12072223,12024123,11818121,11668884
ARE,249495,445384,791205,1310026,2061768,3058082,4095117,4863207,5187936,5193809,5180444,5159425,5052798,4840708,4622726,4453924
GBR,13642420,15402207,17207188,18651053,19757376,21181505,22678184,24189361,25442391,26505474,28039472,29786886,31149362,31680879,31757050,31495158
TZA,2237542,2682031,3309480,4259127,5647500,7540154,9632644,11902909,14725093,18330518,22682512,27570193,33378822,39035515,44136364,48730317
USA,63336313,73493521,81554813,88544326,94527313,101302095,108346656,115889492,122814012,130934398,140237740,148727538,156127699,160505690,163566160,164912732
VIR,21134,22825,24218,25013,25507,26114,26296,26734,27049,27830,29500,31724,33768,35127,35782,35714
