"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,5257.561523,5255.530762,5253.500488,5251.469238,5249.437988,5247.406738,5242.278809,5237.150879,5232.022461,5226.89502,5221.76709,5216.63916,5211.51123,5206.382813,5201.254883,5196.126465,5192.767578,5189.408203,5186.04834,5182.689453,5179.32959,5175.970703,5172.61084,5169.251465,5165.89209,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203,5162.533203
ALB,441.7797852,441.7564087,441.7330017,441.7096252,441.6862183,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723,441.6628723
DZA,619.8674316,619.6362915,619.4052734,619.1741333,618.9430542,618.7119141,618.7119141,618.7119141,618.7119141,618.7119141,618.7119141,618.7119141,618.7119141,618.7119141,618.7119141,618.7119141,618.4328003,618.1535645,617.8743896,617.5952148,617.315979,617.0368042,616.7576294,616.4784546,616.1992798,615.9199829,615.9199829,615.9197998,615.9197388,615.9196167,615.9194946,615.9193726,615.9193115,615.9192505,615.9190674,615.9190063,615.9190063,615.9190063,615.9190063,615.9190063,615.9190063,615.9190063,615.9190063,615.9190063,615.9190063,615.9190063,615.9182739,615.9175415,615.9168701,615.9161987,615.9154663,615.9147339,615.9140625,615.9133911,615.9125977,615.9119263,615.6687012,615.4254761,615.182251,614.9389648,614.6956787,614.4524536,614.2091675,613.9659424,613.7225952,613.4794312,611.8557129,610.2318115,608.6080322,606.984314,605.3605347,603.7367554,602.1129761,600.4891968,598.8654175,597.2416382,597.2416382,597.2416382,597.2416382,597.2416382,597.2416382,597.2416382,597.2416382,597.2416382,597.2416382,597.2416382
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,19658.83789,19657.5332,19656.23438,19654.93359,19653.63477,19652.33398,19652.30078,19652.26758,19652.23828,19652.20313,19652.17188,19652.13867,19652.10547,19652.07227,19652.03906,19652.00586,19652.00586,19652.00586,19652.00586,19652.00586,19652.00586,19652.00586,19652.00586,19652.00586,19652.00586,19652.00586,19663.93164,19675.84961,19687.77148,19699.69336,19711.61328,19723.53516,19735.45508,19747.37891,19759.30078,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,19771.22266,18989.94727,18208.67383,17426.2793,16638.6582,15824.84961,14998.74512,14195.46875,13398.44824,12606.35352,11815.65723,11815.65625,11815.65625,11815.65625,11815.65625,11815.65625,11815.65625,11815.65625,11815.65625,11815.65625,11815.65625
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,6984.24707,6984.24707,6986.399902,6991.365234,6996.29541,7001.553223,7001.529297,7001.505859,7001.48291,7001.459473,7001.4375,7001.414063,7001.390625,7001.367188,7001.344238,7008.44873,7008.304199,7008.159668,7008.01416,7007.870605,7007.725098,7007.580566,7007.436035,7007.290527,7007.145996,7007.001465,7006.219238,7005.436035,7004.653809,7003.87207,7003.088867,7002.307129,7001.523926,7000.741699,6999.958496,6999.17627,6996.912598,6994.648438,6992.384766,6990.121094,6987.85791,6985.594727,6983.330566,6981.066895,6978.802734,6976.539063,6976.316895,6976.097168,6975.875,6975.653809,6975.433105,6975.211426,6974.990234,6974.769043,6974.547363,6974.32666,6972.963379,6971.600098,6970.23584,6968.873535,6967.509277,6966.146973,6964.783203,6963.418945,6962.056152,6960.691895,6960.691895,6960.691895,6960.691895,6960.691895,6960.691895,6960.691895,6960.691895,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406,6960.691406
ARM,610.3113403,610.2078247,610.1043701,610.0008545,609.8972778,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937622,609.7937012,609.7935791,609.793457,609.793335,609.7932129,609.7930908,609.7930298,609.7927856,609.7926636,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7925415,609.7924805,609.7924805,609.7924805,609.7924805,609.7924805,609.7924805,609.7924805,609.7924194,609.7924194,609.7924194,609.7924194,609.7924194,609.7924194,609.7924194,609.7924194,609.7924194,609.7924194,609.7924194,607.9888916,606.1853638,604.3818359,602.5782471,600.7746582,598.9711914,597.1676636,595.3641968,593.5605469,591.757019,591.757019,591.757019,591.757019,591.757019,591.757019,591.757019,591.757019,591.757019,591.757019,591.757019
