"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,13224.45508,13290.25,13355.59375,13420.48438,13484.92188,13548.90918,13528.7002,13508.47266,13488.23633,13467.98438,13447.71973,13474.63379,13501.47754,13528.29492,13555.08398,13581.84668,13660.83789,13739.75879,13818.61621,13897.41211,13976.1582,13995.19238,14014.37207,14033.69824,14053.16699,14072.77539,14085.15527,14097.55566,14109.98145,14122.43555,14134.91895,14151.05273,14166.92188,14182.53418,14197.89063,14212.99219,14277.12207,14341.49219,14406.1123,14470.99121,14536.125,14579.2002,14622.32813,14665.51172,14708.75195,14752.04785,14781.44434,14811.25488,14841.49121,14872.11133,14902.98438,14936.84375,14970.87305,15005.06641,15039.41992,15073.93262,15104.23828,15134.625,15165.09082,15195.63086,15226.25,15247.8252,15268.15625,15288.44238,15308.68359,15328.88086,15342.51074,15356.11426,15369.69141,15383.24121,15396.76855,15408.41895,15420.08594,15431.76855,15443.46875,15455.18945,15470.94434,15486.71582,15502.50879,15518.32227,15534.15527,15583.40625,15629.91113,15676.35938,15722.75293,15769.09961
ALB,1120.544922,1118.345459,1116.1427,1113.936768,1111.727173,1109.51416,1104.942627,1100.370972,1095.799316,1091.227905,1086.656128,1079.737793,1072.819336,1065.900635,1058.981934,1052.06311,1047.803101,1043.542725,1039.28186,1035.02063,1030.759033,1031.040771,1031.321167,1031.600586,1031.878906,1032.156006,1024.119141,1016.077759,1008.031738,999.9811401,991.9262085,989.52948,987.1314087,984.7322998,982.3317871,979.9300537,981.7463379,983.5649414,985.3860474,987.2094727,989.0350952,990.7962036,992.5579834,994.3203125,996.0831909,997.8466797,999.5988159,1001.348633,1003.096313,1004.841614,1006.584534,991.2411499,975.8981323,960.5558472,945.2142334,929.8731079,924.3053589,918.7138672,913.0996094,907.4630737,901.8049927,901.4355469,901.0661011,900.6967163,900.3271484,899.9576416,899.3706055,898.7833862,898.1962891,897.6091919,897.0220337,893.6536865,890.2852783,886.9168091,883.5483398,880.1798706,879.1898804,878.1998291,877.2097778,876.2196045,875.2295532,872.5661621,869.902771,867.2393799,864.5758667,861.9124756
DZA,8865.700195,8760.680664,8655.65625,8550.625977,8445.587891,8340.546875,8287.385742,8234.381836,8182.125977,8130.399902,8078.796875,8129.701172,8182.012695,8234.932617,8287.522461,8339.814453,8490.369141,8640.629883,8790.325195,8939.594727,9088.706055,9133.982422,9179.301758,9224.671875,9270.09668,9315.583008,9344.366211,9373.095703,9401.772461,9430.398438,9458.972656,9491.555664,9524.110352,9556.633789,9589.129883,9621.598633,9671.34668,9721.083984,9770.811523,9820.533203,9870.24707,9885.158203,9900.075195,9914.995117,9929.919922,9944.847656,9961.378906,9977.910156,9994.441406,10010.97266,10027.50293,10044.72461,10061.94531,10079.16992,10096.39453,10113.62109,10136.0791,10158.53711,10180.99512,10203.45215,10225.91113,10245.50098,10265.08887,10284.67969,10304.2666,10323.8584,10344.71777,10365.57715,10386.43555,10407.29492,10428.15527,10450.06152,10471.96973,10493.88184,10515.79492,10537.70996,10603.95605,10670.20508,10737.04199,10803.8916,10870.74902,10881.21094,10891.71094,10902.21484,10912.72656,10923.27832
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,25779.59375,26644.25586,27509.05664,28373.98828,29239.05664,30104.25391,30795.77734,31485.10938,32173.84375,32862.21094,33550.18359,33970.24219,34391.81641,34814.71875,35238.77344,35663.82813,36109.80859,36559.04688,37011.01563,37465.13672,37920.60156,38225.62109,38530.64844,38835.66797,39140.68359,39445.69922,39808.32031,40170.88672,40499.68359,40821.32422,41142.71094,41507.99219,41872.5625,42235.95313,42598.55078,42954.69922,43308.53125,43662.76953,44017.45703,44372.62109,44728.29297,45063.75391,45398.94922,45732.73828,46048.28125,46362.66797,46559.82422,46757.05078,46954.54297,47152.42188,47350.70703,47483.75781,47617.01953,47743.62109,47870.43359,47998.14453,48065.24219,48132.48438,48199.875,48265.94141,48329.90625,48357,48383.95313,48410.71094,48437.36328,48463.70703,48484.71875,48505.66406,48526.55078,48547.36328,48568.11719,48575.19141,48583.83594,48592.48828,48601.14063,48609.79297,48615.66016,48621.51953,48627.38672,48633.26172,48639.125,48648.02734,48656.93359,48665.83594,48674.73828,48683.64844
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,53597.30078,53629.5,53661.72266,53693.97656,53726.24609,53758.55469,53814.84766,53871.15234,53927.51953,53983.92578,54040.35156,54232.19922,54425.8125,54619.57422,54813.41016,55007.1875,55178.26563,55349.125,55519.8125,55690.00781,55859.375,56087.42578,56315.48828,56543.56641,56771.67578,57001.11328,57074.07813,57146.875,57219.53516,57292.02344,57364.35156,57438.44922,57512.48828,57586.46875,57660.38672,57734.24609,57844.40625,57954.53125,58064.63281,58174.69922,58284.73438,58394.19922,58515.84766,58632.97656,58749.69922,58866.01953,59029.07813,59191.92578,59354.5625,59516.98828,59679.21875,59765.86719,59852.51172,59939.13672,60025.76953,60112.39063,60248.41016,60383.875,60518.8125,60653.23047,60787.17578,60879.15625,60971.06641,61062.83203,61154.45703,61245.92578,61278.98047,61311.96875,61344.73047,61377.30078,61409.65625,61534.25781,61658.84375,61783.44531,61908.03125,62032.625,62135.70703,62238.8125,62341.94531,62445.12109,62548.3125,62684.49219,62820.63672,62956.71875,63092.75391,63228.72266
ARM,1079.847412,1080.586548,1081.325317,1082.063599,1082.801514,1083.53894,1083.795532,1084.052124,1084.308594,1084.564941,1084.821533,1069.884644,1054.947388,1040.01001,1025.072632,1010.134949,1006.203125,1002.270142,998.3363037,994.4015503,990.4658203,988.1156006,985.7654419,983.4152222,981.0650635,978.7149048,978.0568237,977.3988037,976.7409668,976.0829468,975.4249878,975.1255493,974.8261719,974.5267334,974.227356,973.9281006,973.6853638,973.4425659,973.1998901,972.9571533,972.7143555,972.34375,971.9731445,971.6025391,971.2319946,970.8613281,970.9933472,971.1253662,971.2574463,971.3894653,971.5214844,971.6820068,971.8423462,972.0029297,972.163208,972.3236084,972.3734131,972.4233398,972.4732666,972.5229492,972.572876,972.3010254,972.0291138,971.7573242,971.4854126,971.213562,970.4151001,969.6168823,968.8185425,968.0202026,967.2218628,965.7832031,964.3442993,962.9057007,961.46698,960.0281372,958.4393921,956.8505859,955.2618408,953.6730347,952.0841675,950.9805298,949.87677,948.7731323,947.6694946,946.5657349
