"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,13224.45508,13190.86426,13157.27832,13123.69238,13090.10938,13056.53027,13016.30469,12976.08301,12924.54688,12864.94824,12797.87695,12756.12793,12714.38574,12672.64746,12630.91602,12589.18945,12588.96582,12588.76074,12588.57227,12588.39844,12588.24121,12559.05859,12529.93555,12500.86914,12471.86133,12442.91602,12350.70801,12258.61914,12166.64941,12074.79883,11983.07031,11935.08008,11887.19141,11839.40137,11791.71191,11744.12207,11727.60547,11708.35547,11688.51758,11668.81055,11649.23145,11613.02344,11577.03809,11541.27441,11505.73438,11470.41602,11460.83594,11450.47852,11440.1123,11429.73535,11419.35156,11410.27344,11401.1748,11392.05859,11382.92285,11373.77148,11370.68262,11363.43457,11356.18457,11348.92969,11341.67285,11337.93066,11334.18848,11330.44531,11326.70215,11322.95898,11323.87305,11324.79492,11324.87207,11324.12695,11323.38574,11324.37109,11325.35547,11326.34082,11327.32617,11328.31152,11326.83203,11325.38574,11323.97754,11322.60645,11321.27539,11317.64355,11314.00977,11310.37695,11306.74121,11303.10547
ALB,1120.544922,1120.035889,1119.526855,1119.017822,1118.508911,1117.999756,1115.754272,1113.508667,1111.262817,1109.01709,1106.826538,1105.390137,1103.953735,1102.517334,1101.080933,1099.644531,1098.084961,1096.525024,1094.964966,1093.404785,1091.844238,1090.832275,1089.820068,1088.807983,1087.795898,1086.783691,1090.397583,1093.986694,1097.550659,1101.088623,1104.598633,1105.17749,1105.747681,1106.308594,1106.860352,1107.403809,1107.568115,1107.729858,1107.888672,1108.044434,1108.197266,1107.798584,1107.395752,1106.988647,1106.577026,1106.161499,1107.018066,1107.868164,1108.712036,1109.549194,1110.379883,1111.37146,1112.358032,1113.338623,1114.313477,1115.282471,1118.096924,1120.907227,1123.713379,1126.515259,1129.312988,1136.15625,1142.96936,1149.74939,1156.910156,1164.797729,1166.395264,1167.990845,1169.584961,1171.17749,1172.768311,1173.159058,1173.548218,1173.935791,1174.321777,1174.706177,1174.913574,1175.121338,1175.328857,1175.536499,1175.744019,1170.509033,1165.274048,1160.039185,1154.804199,1149.569702
DZA,8865.700195,8874.461914,8883.226563,8891.998047,8900.772461,8909.549805,8927.868164,8946.194336,8964.52832,8982.873047,9001.486328,9014.337891,9027.192383,9040.047852,9052.908203,9065.769531,9179.981445,9292.605469,9404.366211,9516.133789,9627.90625,9854.430664,10080.96191,10309.71387,10538.90918,10768.18652,10907.35938,11048.76172,11192.41602,11336.15332,11479.97461,11571.78906,11663.80273,11755.88379,11848.15332,11940.59473,12095.01953,12249.45898,12403.94336,12560.74805,12717.74121,12717.5918,12717.44336,12717.29199,12717.14258,12717.01074,12716.97363,12716.93848,12716.90039,12716.86621,12716.83594,12722.18066,12727.53027,12732.87891,12738.2168,12743.55469,12746.42871,12749.30078,12752.16992,12755.04102,12757.9082,12764.16113,12770.41211,12776.66602,12782.92285,12789.17969,12795.47754,12801.77148,12808.06055,12814.35352,12820.64844,12827.07031,12833.49512,12839.91992,12846.34473,12852.77148,12860.82715,12868.88184,12876.93945,12884.99512,12893.03613,12901.07422,12909.11426,12917.1582,12925.20313,12933.25195
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,25779.59375,25642.74609,25505.43359,25367.24609,25228.86328,25086.58789,25001.46484,24915.73828,24836.41016,24764.19141,24690.86523,24741.07617,24791.30078,24841.5332,24891.77734,24942.03516,24946.91797,24951.80859,24956.70508,24961.61328,24966.5332,24847.85938,24729.1875,24610.51172,24491.83789,24373.16211,24190.20508,24007.25,23824.29297,23641.33789,23458.37891,23323.58789,23188.79883,23054.54297,22920.41797,22786.32422,22484.48047,22182.29883,21872.37695,21563.44727,21255.06836,21342.60547,21446.36133,21554.24414,21652.31836,21752.0957,21742.62305,21733.18359,21730.95703,21756.34375,21780.66211,21908.26367,22035.91016,22163.61133,22298.08398,22446.28125,22557.88477,22669.48438,22781.08984,22892.68945,23004.29492,23256.58789,23509.20508,23762.57227,24015.93945,24269.31055,24456.28125,24643.28906,24830.33398,25017.41406,25204.53125,25221.78906,25239.05469,25256.31641,25273.58789,25290.85742,25213.74805,25136.63477,25059.51563,24982.39063,24905.28516,24688.17383,24472.24219,24250.41406,24025.22461,23799.74805
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,53597.30078,53483.35547,53369.42188,53254.42578,53132.02344,53008.0625,52803.25781,52598.52344,52393.3125,52188.45313,51984.48047,51803.30078,51621.87891,51440.17969,51258.00781,51075.75781,51011.84766,50947.80469,50883.56641,50820.42188,50757.09375,50806.0625,50854.27734,50903.54297,50953.23828,51003.53516,50906.56641,50809.59766,50712.62109,50615.63281,50518.93359,50551.57813,50582.89453,50612.66797,50640.68359,50666.87891,50718.89063,50770.07031,50820.44922,50870.0625,50918.94141,50951.84375,50984.3125,51016.37109,51048.04688,51079.30859,51119.37891,51159.33203,51199.10938,51238.76563,51278.32031,51295.05469,51311.61328,51327.98828,51344.17969,51360.1875,51508.89063,51657.0625,51804.73047,51951.95313,52098.75391,52835,53571.53516,54308.23438,55045.43359,55783.01953,56065.96484,56348.73047,56631.33203,56913.78906,57196.06641,57280.46875,57364.25781,57447.43359,57530.10156,57612.33594,57609.35547,57606.27734,57603.12109,57600.38672,57597.63281,57042.98828,56488.27734,55933.50781,55378.67969,54823.82031
ARM,1079.847412,1071.112793,1062.378296,1053.643555,1044.908447,1036.173462,1034.6521,1033.131104,1031.609985,1030.088867,1028.324829,1026.666748,1025.009521,1023.353333,1021.698059,1020.043396,1018.19928,1016.355896,1014.513184,1012.671021,1010.828674,1010.759766,1010.690063,1010.61908,1010.547058,1010.473999,1010.859924,1011.247864,1011.637329,1012.028503,1012.416992,1012.67511,1012.932495,1013.18927,1013.444946,1013.700012,1011.099487,1008.499023,1005.898438,1003.297852,1000.697388,1000.804504,1000.912109,1001.019958,1001.128113,1001.23645,1000.856995,1000.478638,1000.101074,999.7250977,999.3543091,998.7874756,998.2210083,997.65448,997.0882568,996.5222168,994.7489624,992.9755859,991.2022705,989.428894,987.6555176,989.192749,990.7318115,992.2722778,993.814209,995.3574219,996.8638916,998.37323,999.885376,1001.400391,1002.919434,1002.909729,1002.900146,1002.890442,1002.88092,1002.871582,999.4889526,996.102417,992.7120972,989.3184204,985.9225464,986.9533081,988.0472412,989.201355,990.4130859,991.6687622
