"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,7966.89209,7947.145508,7927.398438,7907.651367,7887.905273,7868.161133,7842.855469,7817.552734,7792.25,7766.94873,7741.240234,7719.655273,7698.071777,7676.48877,7654.905273,7633.321777,7635.987305,7638.671875,7641.373535,7644.094238,7646.831055,7644.548828,7642.311035,7640.117188,7637.970703,7635.873535,7632.12207,7628.43457,7624.806152,7621.23877,7617.730469,7632.254395,7646.879395,7661.601074,7676.421875,7691.337402,7708.458008,7725.667969,7742.972168,7760.369141,7777.859375,7779.049805,7780.339844,7781.726563,7783.20459,7784.771973,7772.911133,7761.05127,7749.191895,7737.333008,7725.473633,7721.524902,7717.582031,7713.64209,7709.707031,7705.776367,7700.17334,7694.570313,7688.966797,7683.36377,7677.76123,7677.777832,7677.794434,7677.811523,7677.829102,7677.847168,7679.780762,7681.720703,7683.666992,7685.619629,7687.577637,7691.664063,7695.750977,7699.838379,7703.928223,7708.018066,7713.299805,7718.612305,7723.960938,7729.341797,7734.761719,7728.863281,7722.963867,7717.06543,7711.166992,7705.268066
ALB,678.7650146,678.3978882,678.0308838,677.6637573,677.2966309,676.9295654,675.72229,674.5150757,673.3078003,672.1005859,670.8934326,670.4208374,669.9481201,669.4755249,669.0028076,668.5301514,668.748291,668.9661865,669.1837158,669.401001,669.6181641,671.5244141,673.430603,675.336731,677.2429199,679.1489868,684.289917,689.406189,694.4974365,699.5626221,704.5996704,706.1781616,707.7476807,709.3081055,710.8596802,712.4022827,712.967041,713.5288086,714.0877686,714.6438599,715.1968994,716.7032471,718.2052612,719.703125,721.1966553,722.6859131,724.6610718,726.6296997,728.5918579,730.5476074,732.4967651,734.4610596,736.4193115,738.3717041,740.3181152,742.2587891,745.9266968,749.5906372,753.2504272,756.9059448,760.5571899,768.8029175,777.0184326,785.2008667,793.7641602,803.0541382,805.4589844,807.8621826,810.2636719,812.6635742,815.0618896,816.2249756,817.3864136,818.5462036,819.7043457,820.8609619,821.680481,822.4998169,823.3191528,824.1383667,824.9577026,820.8982544,816.8388672,812.779541,808.720459,804.6613159
DZA,8245.833008,8257.529297,8269.229492,8280.93457,8292.644531,8304.358398,8328.643555,8352.94043,8377.244141,8401.55957,8426.140625,8443.624023,8461.109375,8478.595703,8496.084961,8513.577148,8632.15625,8749.150391,8865.27832,8981.416016,9097.554688,9326.80957,9556.072266,9787.362305,10019.06836,10250.8584,10389.68555,10530.74609,10674.05664,10817.45215,10960.92969,11050.61133,11140.58105,11230.61719,11320.8418,11411.24121,11560.76953,11710.31445,11859.90332,12011.81152,12163.90918,12160.36426,12156.82031,12153.27441,12149.72754,12146.18262,12145.14355,12144.10254,12143.06348,12142.02734,12140.99219,12146.33594,12151.68066,12157.02832,12162.36426,12167.7002,12171.58594,12175.47266,12179.35938,12183.24316,12187.12695,12195.7041,12204.28125,12212.86133,12221.44141,12230.02441,12239.70313,12249.37988,12259.05371,12268.73047,12278.40625,12288.55859,12298.71387,12308.86914,12319.02344,12329.17969,12341.42676,12353.67676,12365.92969,12378.17871,12390.41406,12403.26074,12416.10938,12428.95898,12441.81152,12454.66699
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,6120.757813,5974.966797,5828.70459,5681.558594,5534.207031,5382.952637,5286.463379,5189.369141,5098.672363,5015.084473,4931.209473,4967.752441,5004.29541,5040.838867,5077.382324,5113.925781,5119.789551,5125.662598,5131.547363,5137.442871,5143.349121,5144.42627,5145.503418,5146.580566,5147.657715,5148.734863,5157.388672,5166.041016,5174.695313,5183.348633,5192.000977,5316.547852,5441.095703,5566.17627,5691.389648,5816.633301,6053.127441,6290.824219,6529.828613,6769.858398,7010.476563,7611.709473,8213.382813,8815.441406,9418.069336,10020.72656,10452.26563,10883.73828,11315.15918,11746.49902,12174.85938,12538.24805,12901.62305,13264.9834,13628.33105,13991.66895,14108.94531,14226.22168,14343.49805,14460.77539,14578.0498,14844.13379,15110.21875,15376.2998,15642.38379,15908.46875,16129.1084,16349.74805,16570.38867,16791.02734,17011.66797,17071.32031,17130.97461,17190.62305,17250.27539,17309.92383,17285.14648,17260.36133,17235.57422,17210.77734,17185.97656,17034.55273,16883.01758,16725.49219,16564.49414,16403.10547
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,46613.04688,46587.57813,46562.10547,46536.62891,46511.15234,46485.67969,46369.28125,46252.875,46136.48047,46020.07813,45903.67969,45802.19141,45700.5,45598.54297,45496.13281,45393.24609,45366.64844,45339.89844,45312.9375,45286.82422,45260.55469,45331.60156,45402.10156,45472.99609,45544.76953,45616.94141,45546.23438,45475.53125,45404.82031,45334.11719,45263.40625,45319.03125,45373.32031,45426.0625,45477.04688,45526.21094,45610.48828,45693.95313,45776.625,45858.55078,45939.76563,46006.98438,46073.73438,46140.04297,46205.92188,46271.33984,46325.66797,46379.73438,46433.60938,46487.35547,46540.99609,46563.83594,46586.50781,46609.00781,46631.33594,46653.47266,46817.40234,46980.80859,47143.70703,47306.15625,47468.19141,48209.51953,48950.82422,49692.07813,50433.30078,51174.46484,51469.29297,51763.92969,52058.38672,52352.66016,52646.76563,52741.16797,52834.95313,52928.13672,53020.80078,53113.0625,53118.62109,53124.07813,53129.46484,53134.78906,53140.03516,52595.5625,52051.00781,51506.41016,50961.78125,50417.12109
ARM,469.5360413,462.467865,455.3994751,448.3309021,441.262207,434.1932373,434.9770508,435.7610168,436.5449524,437.3289795,437.8515015,438.453064,439.0555725,439.6590881,440.2634583,440.8684998,442.1190796,443.3703003,444.6223145,445.8748474,447.1272583,448.7004395,450.272644,451.8439331,453.4140625,454.9831543,457.7088318,460.4363708,463.1656189,465.8966064,468.625,471.7243042,474.822998,477.9208984,481.0179749,484.1141663,483.2553101,482.3965454,481.5376587,480.6788025,479.8199463,481.5300598,483.2405396,484.9512939,486.662323,488.3736267,491.865448,495.3582458,498.8519287,502.347168,505.8475952,506.3364258,506.8252869,507.3143311,507.8035583,508.2929688,507.667572,507.0420837,506.4165649,505.7909851,505.1653748,507.9497375,510.7355957,513.5229492,516.3118286,519.1019287,521.5683594,524.0374756,526.5095215,528.984375,531.4633179,532.8286743,534.1940918,535.5595093,536.9251099,538.2907715,540.3364868,542.3783569,544.4165039,546.4512329,548.4838867,560.7972412,573.1737671,585.6105957,598.1050415,610.6433716
