"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,5257.561523,5235.753906,5213.946289,5192.13916,5170.332031,5148.524902,5133.890137,5119.254395,5104.620117,5089.984863,5075.351074,5060.717773,5046.084473,5031.45166,5016.818848,5002.186523,4987.219238,4972.250977,4957.283203,4942.31543,4927.348633,4912.381348,4897.415039,4882.447266,4867.481445,4852.515137,4839.69873,4826.881836,4814.06543,4801.249023,4788.433105,4775.616699,4762.800293,4749.983398,4737.166992,4724.351074,4715.336914,4706.322266,4697.308594,4688.294434,4679.280273,4670.26709,4661.251953,4652.238281,4643.224121,4634.209961,4623.39209,4612.574707,4601.756348,4590.938477,4580.120605,4569.303223,4558.484863,4547.667969,4536.849609,4526.032227,4518.770508,4511.507813,4504.246094,4496.983887,4489.722168,4482.459961,4475.198242,4467.936523,4460.673828,4453.412109,4450.42041,4447.428223,4444.436523,4441.444336,4438.453125,4435.460938,4432.469727,4429.477539,4426.486328,4423.494629,4420.650879,4417.807129,4414.963867,4412.120605,4409.277344,4406.433594,4403.590332,4400.74707,4400.945313,4396.393555
ALB,441.7797852,438.1891479,434.5986328,431.0080566,427.4174805,423.8269043,422.337677,420.8484497,419.3591919,417.8699646,416.3807373,414.89151,413.4022522,411.9130859,410.4237976,408.9346313,407.8942261,406.8537903,405.813385,404.7730103,403.732605,402.6921997,401.6517639,400.6113586,399.5709229,398.5305176,397.8368225,397.1431274,396.4494019,395.7556763,395.0620117,394.3682556,393.67453,392.980835,392.2871399,391.5934143,390.9457092,390.2980652,389.6503296,389.0026855,388.355011,387.7073059,387.0596313,386.4119568,385.7642517,385.1166077,384.4775085,383.8796387,383.2200623,382.5604248,381.938446,381.2787476,380.6189575,379.959137,379.2992859,378.6394043,378.0135193,377.2708435,376.5281067,375.7853088,375.4293213,374.6863708,373.9434204,373.2003784,372.6026306,372.1821899,370.1871643,368.1921997,366.1971436,364.2021484,362.2071533,360.2121277,358.2171326,356.2221375,354.2271118,352.2321167,348.5482788,344.9190369,341.2352295,337.5513916,333.8675537,330.1837463,326.4999084,322.8161316,319.1323242,315.4484253
DZA,619.8674316,623.1282959,626.3869629,629.6401367,632.8882446,636.1342163,640.3735962,644.6119995,648.8492432,653.0854492,657.3204956,661.5545044,665.7872925,670.019104,674.2498169,678.4794922,681.4914551,684.5027466,687.5134888,690.5235596,693.5331421,696.5419312,699.5501709,702.6890259,705.835022,708.9802856,711.1383667,713.2960205,715.4533691,717.6101074,719.7666016,721.9227905,724.0784912,726.2340088,728.3850708,730.5293579,732.5855713,734.6413574,736.6970825,738.7524414,740.8076172,742.8623657,744.9170532,746.9715576,749.0256348,751.0793457,752.9626465,754.8480835,756.7325439,758.614624,760.4949951,762.3743286,764.2526245,766.1270752,767.9920044,769.8447876,771.9926758,774.1303711,776.2670288,778.4025879,780.5370483,782.6704102,784.8027954,786.934082,789.0601196,791.1812744,792.2130737,793.2437744,794.2733154,795.3018799,796.3331909,797.366333,798.3984375,799.4294434,800.4591675,801.491333,804.114624,806.7384033,809.3622437,811.9864502,814.6105957,817.2350464,819.8597412,822.4845581,825.1077881,827.7302246
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,19658.83789,19668.6875,19677.9082,19685.92969,19693.87891,19701.82422,19720.67383,19739.55078,19758.4707,19777.39648,19796.38086,19815.36719,19834.38477,19853.41602,19872.44531,19891.48242,19903.10938,19914.55078,19925.98438,19937.37305,19948.75,19960.10938,19971.36328,19982.58203,19993.79883,20005.01758,19995.26953,19985.52344,19975.77734,19966.00586,19956.18945,19946.31836,19936.45313,19926.58594,19916.71289,19906.7207,19883.85742,19860.99805,19838.14063,19815.2793,19792.41992,19769.56055,19746.69727,19723.83984,19700.98047,19678.11914,19648.47266,19618.82422,19589.17383,19559.52344,19529.87695,19500.22852,19470.58203,19440.93164,19411.2832,19381.63477,19343.43555,19305.23633,19267.03516,19228.83789,19190.64063,19152.43945,19114.24023,19076.04297,19037.8418,18999.64258,18945.90234,18892.15625,18838.41602,18784.67188,18730.92969,18677.1875,18623.44336,18569.70117,18515.96094,18462.21875,18405.58984,18348.96094,18292.33008,18235.70117,18179.07227,18122.44141,18065.81445,18009.18164,17952.55664,17895.92578
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,6984.24707,6998.887695,7011.286621,7042.631836,7063.320801,7078.609375,7111.429688,7141.691895,7175.755371,7205.933594,7224.231934,7239.533691,7257.094727,7274.969727,7290.13623,7301.92334,7295.262695,7286.859863,7298.196777,7291.376465,7292.899902,7293.69873,7288.150879,7297.613281,7291.765137,7286.012695,7275.530762,7265.05127,7254.57666,7244.100098,7233.625,7223.152832,7212.682129,7202.210938,7191.742188,7181.273438,7153.67627,7126.07959,7098.481934,7070.880859,7043.276367,7015.668945,6988.052734,6960.429199,6932.803223,6905.175781,6867.752441,6830.32666,6792.904297,6755.479492,6718.054688,6680.629395,6643.205566,6605.780762,6568.356934,6530.932617,6486.124023,6441.315918,6396.507813,6351.700684,6306.89209,6262.084473,6217.275391,6172.467773,6127.65918,6082.851074,6039.125977,5995.400879,5951.674316,5907.945313,5864.205078,5820.465332,5776.722168,5732.978516,5689.234375,5645.490723,5607.020996,5568.548828,5530.055664,5491.552734,5453.040039,5414.525879,5376.012695,5337.499023,5298.985352,5260.472656
ARM,610.3113403,612.5148926,614.7183838,616.921814,619.1253662,621.3288574,622.8340454,624.3391724,625.8442993,627.3493042,628.8543091,630.359436,631.8643799,633.3693237,634.8742676,636.3791504,636.8626099,637.3460083,637.8295288,638.3128662,638.7963867,639.2797852,639.7632446,640.2467651,640.7301636,641.213623,640.9923706,640.7711792,640.5499268,640.3286743,640.1074219,639.8861084,639.664856,639.4435425,639.222229,639.0009766,638.1398926,637.2786865,636.4176025,635.5565796,634.6954346,633.8342896,632.9732666,632.1121826,631.2510376,630.3899536,629.4157715,628.4414673,627.4672241,626.492981,625.5186768,624.5444336,623.5701294,622.5958862,621.621582,620.6473999,619.3860474,618.1248169,616.8635254,615.6022339,614.3409424,613.0797119,611.8184204,610.5571899,609.2958984,608.034668,606.3947754,604.7549438,603.1150513,601.4751587,599.8353882,598.1954956,596.5556641,594.9157715,593.2758789,591.6360474,589.213501,586.7909546,584.3683472,581.9458618,579.6467285,577.2242432,574.8016968,572.3792114,570.7581177,568.3356323
