"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,49715.19531,49804.51172,49893.84766,49983.19922,50072.56641,50161.95703,50201.83594,50241.73438,50281.64844,50321.58984,50361.53516,50407.49609,50453.42188,50499.31641,50545.17969,50591.01953,50597.9375,50604.84375,50611.76172,50618.67578,50625.59375,50621.24609,50616.90625,50612.5625,50608.22266,50603.87891,50579.96875,50556.05859,50532.15234,50508.23828,50484.32813,50442.63281,50400.9375,50359.23828,50317.54297,50275.84766,50265.5625,50255.28125,50244.98828,50234.69141,50224.39453,50182.64844,50140.89844,50099.15234,50057.40234,50015.66016,49938.13281,49860.60938,49783.08984,49705.5625,49628.04297,49539.00781,49449.97656,49360.94531,49271.90625,49182.875,49095.44531,49008.00781,48920.57422,48833.13672,48745.70703,48659.70703,48573.70313,48487.69922,48401.70703,48315.71094,48227.60938,48139.51172,48051.41016,47963.31641,47875.21484,47789.80859,47704.39844,47619.00781,47533.61328,47448.22266,47361.29297,47274.35938,47187.43359,47100.5,47013.56641,46923.5,46833.46484,46743.87891,46654.23047,46564.625
AUT,1397.348511,1396.725952,1396.103638,1395.481079,1394.858643,1394.236084,1410.490967,1426.742432,1442.990356,1459.234741,1475.475586,1469.927124,1464.378784,1458.830444,1453.281982,1447.733765,1439.372681,1431.011719,1422.650757,1414.289795,1405.928711,1401.191162,1396.453369,1391.715576,1386.977905,1382.23999,1386.540771,1390.858276,1395.192383,1399.54126,1403.890015,1402.231934,1400.573853,1398.915894,1397.25769,1395.599731,1409.704224,1423.816406,1437.936279,1452.063599,1466.19873,1467.792725,1469.386353,1470.980347,1472.574219,1474.168091,1471.006714,1467.845215,1464.683716,1461.522095,1458.360474,1456.549316,1454.738281,1452.927124,1451.115845,1449.304565,1448.68396,1448.063477,1447.442993,1446.822266,1446.201538,1441.99292,1437.784058,1433.575317,1429.366455,1425.157715,1420.267212,1415.376465,1410.485962,1405.595459,1400.704834,1392.342651,1383.980469,1375.618164,1367.255859,1358.893555,1349.406738,1339.9198,1330.432983,1320.946167,1311.459106,1304.21228,1296.965332,1289.718506,1282.471191,1275.224243
AZE,2332.843262,2329.968018,2327.093018,2324.218018,2321.343018,2318.468018,2309.897949,2301.327881,2292.757813,2284.1875,2275.617188,2267.231689,2258.845947,2250.460449,2242.074463,2233.688965,2219.866211,2206.043701,2192.220703,2178.397949,2164.575439,2164.575195,2164.575195,2164.575195,2164.575195,2164.575195,2156.516113,2148.45752,2140.398438,2132.3396,2124.280518,2106.951172,2089.622314,2072.292969,2054.964111,2037.63501,2034.180542,2030.725952,2027.271118,2023.816772,2020.362183,2020.209717,2020.057007,2019.904785,2019.751953,2019.599609,2019.602051,2019.604492,2019.607056,2019.609375,2019.611816,2018.562744,2017.513306,2016.463989,2015.414917,2014.365601,2014.363892,2014.362305,2014.360718,2014.359131,2014.357666,2014.063477,2013.769409,2013.47522,2013.180908,2012.886841,2020.309082,2027.722534,2035.126953,2042.522583,2049.909668,2049.909668,2049.909668,2049.909668,2049.909668,2049.909668,2049.10376,2048.297607,2047.491577,2046.685547,2045.879761,2045.894897,2045.9104,2045.925659,2045.94104,2045.956299
BHS,3.303466082,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303468704,3.303466082,3.303468227,3.303466082,3.303468227,3.303466082,3.303468227,3.303466082,3.303468227,3.303466082,3.303471565,3.303469419,3.303471565,3.303469419,3.303471565,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303471565,3.303469419,3.303471565,3.303469419,3.303471565,3.29430747,3.272123098,3.249735594,3.227147818,3.204342842,3.18327713,3.161439419,3.138769627,3.11517477,3.090571404,3.062910318,3.034706116,3.00591588,2.976510286,2.946437597,2.946439505,2.94643712,2.946439505,2.94643712,2.946439505,2.871252298,2.749071121,2.626801252,2.5044415,2.381968975,2.381970882,2.381968737,2.381970882,2.381968737,2.381970882,2.381969452,2.38196969,2.381968021,2.38196969,2.381968021,2.381970167,2.381968021,2.381970167,2.381968021,2.381970167,2.38196826,2.381970644,2.38196826,2.381970644,2.38196826,2.381970882,2.381967306,2.381969213,2.381967306,2.381969452,2.381968737,2.381970882,2.381968737,2.381970882,2.381968737
BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BGD,8098.720703,8129.828125,8160.936523,8192.046875,8223.158203,8254.267578,8277.240234,8300.225586,8323.227539,8346.245117,8369.28125,8383.016602,8396.754883,8410.491211,8424.226563,8437.964844,8480.633789,8523.337891,8566.077148,8608.833984,8651.612305,8651.612305,8651.612305,8651.612305,8651.612305,8651.612305,8693.126953,8734.643555,8776.15918,8817.674805,8859.191406,8863.057617,8866.928711,8870.801758,8874.679688,8878.558594,8895.805664,8913.054688,8930.304688,8947.552734,8964.803711,8980.03418,8995.283203,9010.550781,9025.836914,9041.140625,9041.140625,9041.140625,9041.140625,9041.140625,9041.140625,9041.140625,9041.140625,9041.140625,9041.140625,9041.140625,9042.953125,9044.763672,9046.576172,9048.387695,9050.200195,9053.307617,9056.416016,9059.523438,9062.632813,9065.740234,9069.213867,9072.688477,9076.162109,9079.635742,9083.110352,9086.666992,9090.227539,9093.791992,9097.361328,9100.932617,9112.568359,9124.203125,9135.836914,9147.469727,9159.106445,9171.273438,9183.44043,9195.606445,9207.775391,9219.941406
BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLR,5787.532227,5787.532227,5787.532227,5787.530762,5787.530762,5787.530762,5786.451172,5785.370605,5784.290039,5783.209961,5782.129395,5776.038574,5769.946777,5763.855469,5757.76416,5751.672363,5718.993652,5686.313477,5653.634277,5620.95459,5588.274902,5550.577637,5512.879395,5475.183105,5437.485352,5399.788574,5353.651367,5307.515137,5261.37793,5215.241699,5169.104492,5163.523438,5157.941895,5152.360352,5146.779297,5141.197266,5135.669434,5130.141113,5124.612305,5119.083496,5113.554688,5122.290039,5131.024902,5139.759766,5148.495605,5157.229492,5180.974121,5204.716797,5228.461426,5252.205566,5275.949707,5280.771973,5285.594727,5290.41748,5295.240234,5300.062988,5325.241699,5350.42041,5375.598633,5400.776855,5425.956055,5453.310059,5480.664551,5508.019043,5535.373535,5562.727539,5612.312988,5661.898438,5711.483887,5761.068848,5810.654297,5838.313477,5865.971191,5893.629395,5921.286621,5948.945313,5989.141602,6029.337402,6069.533691,6109.72998,6149.925781,6201.48291,6253.040039,6304.597168,6356.153809,6407.710938
BEL,779.4032593,779.4031372,779.4031372,779.4031372,779.4031372,779.4031372,779.8282471,780.2532959,780.6784668,781.1035156,781.5286255,785.9619141,790.3596802,794.7216797,799.0479126,803.338501,805.4191284,807.4882202,809.5462036,811.5927124,813.6279297,814.6887207,815.7463989,816.8009033,817.8521118,818.9003296,826.4990234,834.0904541,841.6744385,849.2509766,856.8197632,871.6273804,886.4402466,901.2581787,916.081543,930.9100952,931.1204834,931.3311157,931.541687,931.7523804,931.9628906,931.9578247,931.9529419,931.947876,931.942749,931.9376831,931.2722168,930.6066284,929.9411011,929.2755737,928.6099243,927.5994263,926.5888672,925.5783081,924.567749,923.557251,920.706604,917.8562622,915.0058594,912.1555176,909.3050537,906.1557007,903.0063477,899.8569946,896.7076416,893.5582886,890.2923584,887.0263672,883.760376,880.4944458,877.2284546,872.7310791,868.2337036,863.7363281,859.2388916,854.7415161,849.4867554,844.2319336,838.9771118,833.7224121,828.4675903,822.6412964,816.8149414,810.9885864,805.1621704,799.3358154
BLZ,125.5719833,125.5719681,125.5719681,125.5719681,125.5719681,125.5719681,125.5719833,125.5719833,125.5719833,125.5719833,125.5719833,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,125.5719986,137.5603027,149.5428925,161.5197449,173.4908447,185.4561615,185.4561768,185.4561768,185.4561768,185.4561768,185.4561768,185.4561462,185.4561462,185.4561462,185.4561462,185.4561462,185.4561462,185.4561462,185.4561462,185.4561462,185.4561462,184.8129578,184.1697235,183.526535,182.883316,182.2401123,182.2022705,182.1643982,182.1265259,182.0886841,182.050827,182.050827,182.050827,182.050827,182.050827,182.050827,181.6891479,181.3274536,180.9657593,180.6040802,180.2423859,180.2423706,180.2423706,180.2423706,180.2423706,180.2423706
BEN,3328.4104,3408.716064,3482.853516,3548.735352,3624.031982,3700.472168,3564.271484,3428.070313,3291.870117,3155.669189,3019.468262,2981.03418,2942.674316,2904.38916,2866.179199,2828.044922,2822.010254,2815.97583,2809.941162,2803.906738,2819.9021,2811.49585,2803.089844,2794.684082,2786.277832,2777.87207,2769.637939,2761.404053,2753.169922,2744.935547,2736.70166,2736.70166,2736.70166,2746.330811,2766.69165,2787.230469,2853.627441,2951.749023,3047.279785,3140.828369,3237.865234,3368.685303,3496.99707,3622.810303,3746.135986,3866.987549,3980.490479,4099.507324,4216.523438,4332.210938,4446.671875,4634.855957,4820.054688,5026.317871,5262.157227,5511.078125,5721.734863,5930.298828,6136.914063,6341.64209,6559.241699,6689.844727,6819.88916,6949.415527,7078.460938,7207.075195,7499.666992,7781.423828,8054.540039,8323.103516,8571.998047,8702.307617,8832.94043,8964.438477,9099.359375,9249.536133,9289.039063,9328.264648,9367.201172,9405.834961,9444.152344,9508.870117,9573.396484,9637.767578,9702.064453,9766.555664
BTN,160.0832367,161.9731903,163.8631439,165.7530975,167.6430511,169.5330048,221.8149872,274.0960999,326.3763428,378.6557617,430.9342957,448.9721375,467.0099792,485.047821,503.0856628,521.1234131,521.1234131,521.1234131,521.1234131,521.1234131,521.1234131,521.2683716,521.413208,521.5579834,521.7029419,521.8477783,521.8477783,521.8477783,521.8477783,521.8477783,521.8477783,532.1171265,542.3865356,552.6560669,562.925354,573.1947632,573.1816406,573.168457,573.1552734,573.1420288,573.1287842,573.2909546,573.4530029,573.6151733,573.7772217,573.9393921,573.9393921,573.9393921,573.9393921,573.9393921,573.9393921,574.7435303,575.5475464,576.3515625,577.1557007,577.9597168,583.3011475,588.642395,593.9835815,599.324585,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663,604.6654663
