"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,5257.561523,5247.564453,5251.10791,5254.487305,5259.728027,5264.478027,5298.868652,5320.248535,5331.134766,5354.119141,5370.772949,5387.407715,5410.120605,5423.709473,5446.208496,5485.399902,5500.660645,5522.173828,5545.019043,5579.058594,5593.632813,5617.569824,5626.402344,5647.678223,5661.250488,5670.762695,5677.037598,5689.547852,5723.019043,5731.993164,5752.249512,5769.036621,5778.181152,5794.171875,5813.09082,5826.903809,5817.645996,5825.277344,5809.027832,5813.597656,5819.273926,5803.369141,5808.199707,5811.515625,5813.472656,5818.82373,5820.039063,5798.672363,5784.402832,5755.767578,5737.011719,5731.755371,5726.066895,5710.822266,5699.381836,5681.195801,5650.547363,5590.02002,5574.266113,5555.277344,5510.468262,5496.000977,5480.466309,5465.601074,5408.861816,5397.755371,5366.4375,5339.749023,5319.362305,5277.443359,5256.295898,5214.070313,5186.429688,5122.070801,5056.564941,5013.084473,4984.417969,4910.730957,4876.609863,4831.692871,4794.440918,4762.435547,4720.987793,4683.117676,4612.683105,4578.255859
ALB,441.7797852,432.176178,435.7000122,438.1949768,437.3181458,435.3088684,435.7836914,435.2949829,434.8062439,434.3175659,433.8288269,430.2686462,426.3591003,425.5371399,424.6958923,423.8544006,420.5671997,419.7511902,419.6633606,419.5753784,418.6533203,418.7225647,418.000061,413.6583252,409.7003784,408.8278809,405.0231628,402.9959106,400.7546387,394.4739685,392.8223877,388.518219,386.6126709,385.3952026,381.3103027,381.9254456,380.0487061,378.6726074,376.9549866,375.3491821,373.5190125,372.0935059,370.4665527,368.8432312,367.2552185,365.6581726,364.3424377,363.0232849,361.685791,360.39151,359.1305237,358.2739563,356.7865601,355.2434998,353.5820007,351.8955994,350.065979,348.1889648,346.319519,344.4701538,342.6463623,340.9672852,339.234314,337.4991455,335.7624512,334.0386963,332.5110474,330.9812012,329.3257141,327.6864929,326.085907,324.558197,323.1120605,321.6829834,320.2750854,318.9046326,317.5731812,316.3449097,315.1436768,313.9499817,312.7701416,311.7966309,310.8809204,309.9625854,309.0603333,308.1677246
DZA,619.8674316,620.022583,620.3214722,620.3513794,620.1571045,619.9619751,619.5656738,619.0668335,618.5700073,618.072937,617.5440674,616.4436646,615.3387451,614.2400513,613.1416626,612.0387573,610.046875,608.0806274,606.1149292,604.1455078,602.1704712,599.6472168,597.1321411,594.6518555,592.7077026,590.2966309,587.3798218,584.5063477,581.6992798,579.0302124,576.1730957,572.9689331,569.7744141,566.5780029,563.3674927,560.2145996,556.3043213,552.293396,548.3087158,545.6661987,541.7020264,537.2685547,533.263916,529.1398315,524.925354,520.4944458,515.7666626,511.0834045,506.4104309,501.7357483,497.0613098,491.7724609,486.505188,481.2664185,476.0392456,470.819519,465.3415833,459.8798523,454.4551392,449.0304565,449.2131348,443.9135742,438.6201477,433.3659973,429.9953003,451.1365356,449.0866394,454.1364746,457.3001709,455.1384583,463.4320984,464.2673645,459.8629456,455.4612122,461.6723022,457.1311951,453.2102051,449.1398926,445.0752869,441.021698,436.9676208,433.4244995,429.8853455,426.3533936,422.8256836,419.2997131
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,19658.83789,19800.01758,19969.05859,20099.83984,20262.13672,20418.97656,20562.44336,20799.57617,21048.00586,21268.72852,21434.0957,21660.82422,21933.86328,22268.02148,22437.3125,22576.9043,22750.55664,22985.93164,23215.42188,23473.09375,23746.3457,23995.27734,24188.21094,24379.16602,24576.16211,24727.47461,24851.4707,24974.24609,25109.82031,25213.22656,25348.97266,25508.27539,25678.51367,25939.72461,26120.85938,26285.70508,26527.55078,26739.31836,27025.66797,27298.86719,27547.69336,27842.83203,28078.52344,28336.74023,28669.01563,28933.03906,29235.00977,29454.80078,29802.05469,30082.21875,30355.77539,30720.36133,31007.50586,31300.48242,31632.07813,31924.70508,32191.52148,32370.39063,32571.08789,32779.21094,33034.68359,33230.94141,33401.86719,33617.63672,33810.28125,33959.35156,34007.49609,34134.04688,34324.73438,34442.99609,34549.48047,34591.16406,34618.63672,34645.76563,34671.375,34695.70313,34708.07813,34726.63672,34739.20703,34738.79297,34739.73438,34731.59375,34723.48047,34715.125,34705.83203,34695.57422
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,6984.24707,6979.036621,6961.991699,6949.479004,6938.341797,6926.694336,6928.098633,6931.345703,6931.19043,6935.096191,6935.11377,6936.379395,6949.98877,6953.04834,6943.867188,6955.099121,6953.179688,6962.112305,6969.507813,6971.205566,6980.115723,6995.180664,7002.338867,7016.154297,7003.696777,7001.136719,7016.709473,7029.411133,7040.54541,7054.654297,7074.553223,7074.722168,7092.048828,7096.484375,7106.543945,7117.220703,7123.908691,7109.8125,7108.058594,7112.99707,7108.585938,7117.921875,7129.884277,7121.380371,7118.311035,7108.652344,7115.731934,7117.933594,7118.813477,7118.143066,7118.855957,7114.390625,7115.036133,7116.179688,7115.723633,7114.451172,7116.569336,7115.346191,7102.668945,7097.094727,7093.847168,7096.845703,7091.488281,7089.536133,7078.072266,7059.959473,7053.740234,7047.48291,7041.022461,7034.42041,7027.55957,7022.959961,7018.384766,7013.922363,7009.158691,7004.144043,7000.648926,6997.154297,6993.630859,6989.875,6986.105957,6982.983398,6979.734375,6976.219238,6972.890137,6969.553223
ARM,610.3113403,610.7258911,609.9026489,609.2451782,607.1512451,608.0546265,608.6708984,609.2849121,608.0653076,608.666626,607.6951904,608.1264038,608.5319824,608.9386597,609.3376465,609.6937866,609.6728516,609.6531372,609.0853882,608.5344849,608.5241089,607.5458984,606.5784912,606.5812378,605.3125,604.6923828,602.5761719,602.1915283,602.1645508,601.2503662,601.2197876,600.7218018,599.9760132,599.0308838,598.1001587,597.1967773,596.204834,595.2351074,594.2737427,592.8925781,591.6211548,590.1792603,588.8121338,587.4457397,586.0791626,584.6890259,583.1071167,581.5861206,580.0860596,578.6148682,577.1438599,575.2012329,573.3536987,571.394165,569.4474487,567.5249023,564.3959961,561.1967773,557.975769,554.795166,551.6519165,548.0375366,544.4345093,540.888916,537.3980713,533.9493408,530.1884766,526.5087891,522.8753662,519.1780396,515.4486694,511.2604065,507.1094666,502.8780518,498.546936,494.2309875,489.6200256,485.1031189,480.5819397,476.0536194,471.4846191,466.8308105,462.2773438,457.7601624,453.2635498,448.7860413
