"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,13224.45508,13178.24414,13132.05762,13085.89941,13039.76172,12993.51855,12956.02832,12902.83984,12843.74707,12784.72656,12725.78418,12666.91992,12608.13477,12549.43555,12490.82031,12432.29297,12384.83984,12337.44531,12290.11133,12242.84082,12195.63086,12148.48828,12101.41016,12054.40234,12007.46289,11960.59473,11924.85156,11889.16211,11853.53027,11817.95117,11782.43164,11746.96973,11711.57031,11676.23145,11640.95605,11605.74609,11574.85254,11544.04785,11513.33301,11482.70703,11452.1748,11421.73828,11391.39844,11361.15625,11331.0166,11300.9834,11274.84082,11248.78125,11222.80469,11196.91309,11171.10938,11145.39453,11119.76953,11094.23926,11068.80273,11043.46387,11030.35059,11017.25879,11004.19141,10991.14355,10978.12012,10965.12012,10952.14355,10939.18652,10926.23633,10913.30762,10909.31543,10905.32129,10901.32813,10897.33594,10893.34277,10889.34961,10885.3584,10881.36719,10877.375,10873.38379,10870.74512,10868.10742,10865.46875,10862.83105,10860.19434,10857.55762,10854.9209,10852.28418,10852.69141,10848.3457
ALB,1120.544922,1118.25415,1115.961426,1113.666382,1111.369385,1109.070068,1106.016968,1102.963501,1099.909668,1096.855225,1093.800781,1090.745728,1087.69043,1084.634644,1081.578491,1078.522095,1074.556641,1070.590942,1066.625,1062.658691,1058.692505,1054.72583,1050.759155,1046.791992,1042.824829,1038.8573,1034.68335,1030.509399,1026.335205,1022.16095,1017.986633,1013.812134,1009.637512,1005.46283,1001.287903,997.112854,992.6885376,988.2640381,983.8395996,979.4152222,974.9907227,970.5661621,966.1416016,961.71698,957.2924805,952.8677368,949.7706909,946.7149048,943.597229,940.4794922,937.399292,934.2815552,931.1636963,928.0457153,924.9277344,921.8095703,918.7126465,915.4985962,912.284668,909.0706787,906.2433472,903.0291138,899.8149414,896.600708,893.5317383,890.6399536,889.3757324,888.1100464,886.8425903,885.5732422,884.302124,883.0292969,881.7548828,880.4785156,879.2005615,877.9208374,877.6685791,877.4649658,877.2008667,876.9308472,876.6550903,876.3735962,876.0862427,875.7932739,875.4945068,875.1902466
DZA,8865.700195,8921.364258,8977.016602,9032.658203,9088.291016,9143.917969,9174.02832,9204.139648,9234.254883,9264.393555,9294.712891,9325.113281,9355.523438,9385.935547,9416.476563,9447.018555,9465.224609,9483.429688,9501.629883,9519.827148,9538.038086,9556.273438,9574.561523,9595.339844,9616.311523,9637.294922,9659.314453,9681.338867,9703.373047,9725.416016,9747.463867,9769.564453,9791.697266,9813.833984,9835.897461,9858.316406,9864.208008,9870.245117,9876.396484,9882.564453,9888.745117,9894.928711,9901.116211,9907.304688,9913.499023,9919.691406,9902.786133,9885.955078,9869.123047,9852.258789,9835.381836,9818.501953,9801.620117,9784.736328,9767.84375,9751.216797,9718.338867,9685.273438,9652.205078,9619.135742,9586.066406,9552.995117,9519.919922,9486.844727,9453.764648,9420.676758,9382.245117,9343.811523,9305.379883,9266.944336,9228.583984,9190.28418,9151.986328,9113.689453,9075.432617,9037.28418,8960.648438,8883.933594,8807.21582,8730.498047,8653.780273,8577.063477,8500.679688,8424.402344,8348.189453,8272.174805
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,25779.59375,25852.35938,25924.49805,25995.43555,26066.30078,26137.16211,26218.19336,26299.25,26380.31055,26461.27539,26542.29492,26623.31836,26704.36719,26785.43164,26866.48828,26947.55078,27023.14453,27098.54688,27173.94336,27249.30469,27324.65039,27399.97656,27475.19922,27550.38867,27625.57813,27700.77148,27800.15625,27899.56055,27998.96289,28098.34961,28197.69922,28297.00586,28396.32422,28495.64648,28594.97656,28694.1875,28769.16211,28844.15039,28919.14648,28994.15039,29069.16211,29144.18359,29219.21875,29294.25977,29369.31055,29444.36719,29516.38867,29588.41602,29660.44922,29732.49414,29804.55078,29876.61133,29948.6875,30020.76758,30092.85938,30164.96094,30215.52734,30266.10938,30316.70313,30367.30664,30417.91797,30468.54492,30519.17773,30569.82813,30620.48828,30671.15625,30707.60547,30744.08203,30780.58203,30817.10352,30853.65039,30890.22266,30926.8125,30963.42773,31000.06641,31036.72266,31042.11719,31047.55078,31053.01563,31058.51563,31064.04688,31069.61133,31075.21094,31080.83398,31086.48438,31092.16211
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,53597.30078,53897.16797,54194.83594,54512.23438,54820.57422,55125.52344,55355.50781,55584.0625,55819.14453,56049.76563,56268.71094,56485.375,56703.5,56921.875,57137.09375,57348.64844,57575.3125,57800.0625,58044.33594,58274.90625,58520.41016,58765.51172,59004.53125,59253.62109,59494.84375,59750.36719,59981.48828,60212.61328,60443.78125,60674.98047,60906.21094,61142.97656,61385.0625,61626.98047,61868.74219,62110.36328,62251.03125,62391.17578,62530.80859,62669.96484,62808.69141,62947,63084.91016,63222.46484,63359.66797,63496.53516,63635.75781,63774.66797,63913.26953,64051.58984,64189.63672,64327.42578,64464.98828,64602.30078,64739.40625,64876.30078,65246.94531,65617.19531,65987.07031,66356.58594,66725.74219,67094.55469,67463.01563,67831.08594,68198.58594,68565.75781,68974.28125,69382.60938,69790.73438,70198.82031,70606.6875,71014.33594,71421.78125,71829.01563,72236.03906,72642.88281,72882.60156,73122.24219,73361.78125,73601.23438,73840.58594,74079.86719,74319.07031,74558.1875,74797.24219,75036.21094
ARM,1079.847412,1087.239258,1094.630981,1102.022705,1109.414551,1116.806396,1123.406006,1130.005615,1136.605225,1143.204712,1149.804199,1156.403809,1163.003174,1169.602417,1176.201782,1182.801025,1188.928955,1195.057007,1201.185181,1207.31311,1213.44104,1219.56897,1225.696899,1231.824707,1237.952637,1244.080444,1249.757202,1255.43396,1261.110718,1266.787231,1272.463867,1278.140381,1283.816772,1289.493164,1295.169556,1300.845703,1306.078857,1311.311768,1316.544434,1321.776489,1327.008789,1332.240356,1337.471802,1342.702881,1347.933716,1353.164551,1358.325439,1363.486206,1368.646606,1373.806519,1378.966309,1384.12561,1389.28479,1394.443359,1399.601807,1404.759766,1409.716675,1414.672974,1419.628906,1424.584351,1429.539429,1434.493896,1439.447998,1444.401489,1449.354736,1454.307373,1459.451172,1464.594482,1469.736816,1474.878784,1480.019775,1485.160034,1490.299805,1495.438599,1500.576782,1505.714478,1511.731567,1517.747559,1523.762451,1529.776123,1535.911865,1541.923218,1547.933228,1553.942261,1560.751709,1566.758545
