"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,7966.89209,8044.686523,8122.481934,8200.279297,8278.076172,8355.799805,8355.838867,8355.879883,8355.918945,8355.958008,8355.99707,8361.978516,8367.963867,8373.949219,8379.93457,8385.925781,8452.619141,8519.314453,8586.007813,8652.733398,8719.458008,8838.760742,8958.068359,9077.37793,9196.683594,9315.992188,9457.820313,9599.649414,9741.469727,9887.325195,10052.32422,10237.14063,10429.94531,10614.08496,10798.125,10979.22559,11233.54004,11491.4668,11738.17676,11992.50879,12248.05176,12560.55273,12864.9668,13166.15039,13467.75586,13771.52246,14091.70508,14408.50781,14725.21191,15054.40234,15379.21875,15761.72754,16144.64844,16519.94922,16898.74414,17278.34961,17689.84961,18101.41602,18514.01758,18922.14453,19314.57031,19700.06836,20080.82422,20445.56445,20837.02344,21217.94336,21641.22852,22029.50391,22433.23633,22807.10156,23172.92383,23526.76758,23895.26563,24250.21094,24597.07617,24964.63477,25252.4668,25549.65039,25824.33203,26109.88867,26391.01172,26616.63477,26852.44922,27081.59961,27304.9375,27539.31836
ALB,678.7650146,686.0517578,693.338501,700.6230469,707.8942871,715.1519165,712.0319214,708.9117432,705.791626,702.6713257,699.5509644,695.5791626,691.6072388,687.6351318,683.6628418,679.6903076,680.7446899,681.7976074,682.8503418,683.9025879,684.9543457,680.6112671,676.2678223,671.9242554,667.5800171,663.2353516,653.5797729,643.9240112,634.2682495,624.6123657,614.9563599,601.4329834,587.909668,574.3862305,560.862854,547.3394165,551.7733154,556.2058716,560.6360474,565.0652466,569.493103,574.8418579,580.1896362,585.536499,590.8822632,596.2271118,601.3414307,606.4550171,611.567749,616.6798706,621.7911987,630.7319946,639.6699829,648.6051636,657.5374756,666.4668579,676.9765625,687.4836426,697.987793,708.4891968,718.987793,728.8609009,738.7314453,748.5993042,758.4645386,768.3272705,777.5545044,786.7796021,796.0023804,805.2229004,814.44104,824.2885742,834.1339722,843.9772339,853.8183594,863.6572876,872.7724609,881.8857422,890.9970703,900.1067505,909.2144165,915.2709961,921.3265381,927.3809204,933.4343872,939.4869385
DZA,8245.833008,8285.380859,8324.94043,8364.509766,8404.09082,8443.667969,8495.78125,8547.90332,8600.03418,8652.176758,8704.327148,8789.879883,8875.448242,8961.030273,9046.623047,9132.232422,9264.972656,9397.789063,9530.677734,9663.601563,9796.591797,9960.226563,10123.98438,10287.86523,10451.87598,10616.38672,10815.19531,11014.22559,11213.50977,11409.10352,11595.68848,11781.91113,11968.60742,12155.51172,12341.94141,12527.91602,12749.01074,12974.60938,13200.22266,13423.79785,13645.79688,13884.50488,14119.08887,14352.75293,14583.87012,14814.89355,15069.2998,15331.31152,15601.07227,15871.33398,16142.1582,16445.21875,16750.12305,17055.49023,17361.36719,17667.73633,17983.99609,18300.74023,18618.13477,18936.23242,19255.06836,19559.08203,19863.72461,20169.53516,20478.17188,20785.51563,21053.35352,21319.59961,21586.4707,21853.9668,22122.0957,22386.89453,22654.49609,22922.62695,23189,23455.97461,23697.35547,23936.81055,24176.68164,24425.37695,24680.56641,24888.39844,25096.10352,25303.81055,25511.5332,25719.25391
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,6120.757813,6298.354004,6475.976074,6653.608398,6831.240723,7008.918945,7261.750977,7514.608398,7767.466309,8020.324219,8268.704102,8436.733398,8604.71582,8773.036133,8941.370117,9109.71582,9299.587891,9489.455078,9679.314453,9869.178711,10059.03418,10302.10059,10545.16406,10786.89844,11029.95313,11272.99512,11594.01855,11914.49609,12235.78809,12557.12207,12878.42773,13323.4834,13768.5,14213.41406,14658.22461,15103.03906,15514.38867,15925.32031,16336.41113,16747.33398,17157.08594,17625.60547,18094.03711,18561.38281,19027.92578,19494.64648,19960.06445,20425.39648,20889.76563,21353.67578,21817.42969,22275.96875,22734.88281,23194.06445,23647.81641,24108.35352,24539.74023,24971.58984,25403.59961,25835.5293,26266.09961,26725.7168,27184.22266,27638.44336,28092.38867,28544.76758,28960.75977,29383.88867,29807.51172,30222.86719,30639.88281,31018.19336,31393.93359,31768.72461,32140.17188,32508.45313,32855.46094,33202.08203,33548.10547,33893.48438,34238.21875,34612.15234,34985.09375,35357.00391,35728.95703,36095.85547
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,46613.04688,47074.01563,47534.96484,47998.01172,48463.03516,48927.98438,48865.83594,48803.64844,48741.4375,48679.19531,48616.92188,48488.4375,48359.9375,48231.42969,48102.90625,47974.37109,47821.42188,47668.45703,47515.5,47362.54297,47209.58984,46916,46622.41406,46328.83594,46035.24609,45741.66406,45287.69141,44833.71875,44379.75781,43925.79688,43471.82422,43079.79297,42687.74219,42295.69922,41903.49219,41511.94531,41612.89453,41713.83984,41814.80859,41915.82031,42016.71875,42139.27734,42261.97656,42384.70703,42507.56641,42630.49219,42747.375,42864.32031,42981.29297,43098.05469,43214.89063,43445.89453,43676.96484,43908.10938,44139.23438,44370.33594,44647.87891,44924.96484,45201.25781,45477.49219,45753.58594,46011.76563,46269.84766,46527.36328,46784.89453,47042.19141,47275.07813,47507.92188,47740.75781,47973.62109,48206.41016,48378.65625,48550.875,48722.89844,48894.47656,49066.01953,49188.15234,49310.28125,49432.37891,49554.46484,49676.51953,49792.58984,49908.63281,50024.66797,50140.6875,50256.68359
ARM,469.5360413,476.2409058,482.9456482,489.6498108,496.3555603,503.0606995,509.232666,515.4041138,521.5750732,527.7454834,536.3761597,542.3257446,548.2763062,554.2277832,560.1798706,566.1383057,578.855957,591.5895996,604.3360596,617.095459,629.8660278,645.5106201,661.1624146,676.8188477,692.4796753,708.1472168,721.7842407,735.4107666,749.0264893,762.6304932,776.2201538,793.1308594,810.0184937,826.8529663,843.6826172,860.3081665,885.1617432,910.0789795,935.2918091,960.8411255,986.8256836,1018.401428,1050.212036,1082.228394,1114.510986,1146.94751,1180.519531,1214.373535,1248.728149,1285.068604,1313.532715,1343.18689,1373.143555,1404.044067,1435.489014,1467.68103,1502.016602,1537.087891,1573.421265,1610.540405,1647.006592,1682.750732,1717.935181,1752.499634,1769.980103,1777.954224,1786.399292,1794.725708,1802.977417,1811.319824,1819.721924,1828.578491,1837.360718,1846.272583,1855.353882,1864.417603,1873.518066,1882.420898,1891.307617,1900.196533,1909.150757,1917.904297,1926.509033,1935.050293,1943.552734,1952.024292
