"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,54204,55681.86328,57154.46875,58634.125,60107.32031,61590.85547,62399.35156,63224.52344,64045.3125,64875.04297,65699.70313,66416.22656,67123.20313,67823.78125,68523.48438,69221.42188,69434.39844,69640.96094,69847.46875,70055.10156,70262.84375,70376.26563,70488.53125,70602.4375,70718.90625,70833.69531,70855.375,70877.42188,70895.78125,70922.54688,70941.85156,70788.46875,70636.64063,70483.59375,70331.66406,70179.79688,70088.47656,70002.27344,69915.11719,69820.71094,69734.47656,69538.35938,69337.89063,69133.79688,68929.34375,68727.4375,68415.53125,68105.875,67794.01563,67481.42188,67171.13281,66811.15625,66443.90625,66066.35156,65704.79688,65345.75391,64924.86328,64511.78906,64097.60156,63681.13281,63266.52344,62760.66406,62255.89844,61754.78906,61255.01953,60753.96875,60193.76563,59641.82422,59090.43359,58540.65625,57982.76953,57388.51172,56794.84375,56192.625,55606.58984,55014.06641,54421.59375,53843.80078,53244.39063,52660.36328,52076.63672,51570.85547,51057.59375,50550.63672,50032.98047,49526.42188
AUT,2592.978027,2632.516602,2641.696045,2642.750244,2651.348633,2643.137695,2635.3125,2631.802734,2615.55542,2605.081055,2604.23877,2584.73877,2565.673096,2554.507813,2551.176514,2539.501465,2528.721436,2513.416016,2503.840576,2491.352295,2488.512939,2474.193848,2464.258301,2455.656738,2444.035889,2433.852295,2419.471436,2418.021484,2409.948242,2401.874512,2393.80127,2382.463867,2372.477783,2362.490967,2352.503906,2342.516846,2346.563965,2352.024414,2353.843262,2359.30127,2359.056641,2357.476318,2359.106201,2360.737549,2362.370117,2364.003418,2361.132568,2358.261963,2349.913818,2345.688721,2342.830566,2341.844482,2340.860107,2339.876465,2338.894531,2337.913818,2337.06543,2332.474609,2330.650879,2328.828369,2323.317139,2319.936768,2313.987549,2315.378418,2311.942139,2308.506836,2302.760254,2297.013428,2291.266602,2283.2146,2277.463867,2272.063232,2263.489746,2256.94165,2246.636963,2240.193115,2233.396973,2225.078613,2219.122314,2209.579346,2200.394287,2199.627441,2197.181641,2195.099365,2194.329102,2193.239502
AZE,3462.05957,3483.487061,3504.104248,3524.666016,3543.531982,3564.829346,3558.055664,3549.800049,3542.938232,3534.311035,3527.424316,3528.404053,3529.298828,3530.202881,3531.109863,3532.028076,3550.165283,3568.297852,3586.430664,3604.563965,3622.708984,3631.102051,3640.893799,3650.683594,3660.479004,3670.282715,3676.826416,3683.370361,3692.913086,3702.711914,3712.530029,3720.44873,3728.361816,3736.294434,3744.243652,3752.207764,3766.003418,3779.819336,3793.649902,3807.495361,3821.356201,3838.449951,3855.556885,3872.677246,3889.811768,3906.960205,3913.258545,3919.55957,3925.862549,3932.16748,3938.475098,3951.721436,3964.973389,3978.232666,3991.500488,4004.773438,4021.926514,4039.079834,4056.232666,4073.387451,4090.542236,4105.663086,4120.786133,4135.911621,4151.038574,4166.167969,4182.552734,4198.92041,4215.288086,4231.656738,4248.025879,4266.558594,4284.227051,4303.419434,4323.028809,4342.640137,4365.368164,4386.05957,4409.76123,4433.467773,4457.644043,4494.411133,4530.369141,4567.436523,4605.133301,4642.761719
BHS,3.830334902,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830336332,3.830338478,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830335855,3.830338001,3.830317497,3.830066681,3.830064774,3.8288064,3.828620672,3.827450991,3.827440262,3.827436447,3.82743454,3.827436447,3.82743454,3.827436447,3.82743454
BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BGD,8602.576172,8614.206055,8625.839844,8638.655273,8652.394531,8663.99707,8674.191406,8685.614258,8695.692383,8704.986328,8715.702148,8730.179688,8743.433594,8767.433594,8779.101563,8790.689453,8810.314453,8820.157227,8829.999023,8839.84082,8849.683594,8855.144531,8861.727539,8868.21582,8871.191406,8877.62207,8881.113281,8884.601563,8888.214844,8891.701172,8873.947266,8881.051758,8898.341797,8902.677734,8907.022461,8920.991211,8918.476563,8915.823242,8913.169922,8910.515625,8910.916992,8909.567383,8908.216797,8906.868164,8912.175781,8910.754883,8911.141602,8911.638672,8922.206055,8922.491211,8922.775391,8922.452148,8922.125977,8921.801758,8921.474609,8921.151367,8920.555664,8919.960938,8919.362305,8918.760742,8918.160156,8917.120117,8915.898438,8914.675781,8913.631836,8912.407227,8911.007813,8908.755859,8907.519531,8906.28418,8905.048828,8903.870117,8902.691406,8901.511719,8900.333008,8899.154297,8899.019531,8898.883789,8898.749023,8898.614258,8898.478516,8899.722656,8900.967773,8902.212891,8903.458008,8904.703125
BRB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BLR,8687.081055,8808.362305,8899.754883,9018.489258,9124.75,9258.435547,9212.928711,9167.03418,9122.208984,9076.313477,9030.418945,9014.202148,8990.883789,8965.416016,8943.318359,8916.869141,8928.921875,8941.657227,8952.657227,8964.205078,8971.243164,8972.206055,8978.078125,8971.831055,8977.177734,8981.833008,8971.519531,8962.455078,8947.801758,8930.546875,8915.006836,8882.419922,8856.483398,8830.739258,8811.922852,8791.361328,8798.851563,8813.588867,8823.955078,8833.993164,8841.623047,8847.092773,8852.541992,8857.498047,8863.313477,8867.640625,8844.305664,8820.97168,8797.637695,8774.302734,8750.623047,8729.182617,8709.174805,8683.185547,8658.304688,8635.890625,8609.052734,8572.577148,8547.385742,8512.722656,8484.787109,8439.605469,8395.879883,8351.861328,8307.115234,8258.841797,8208.261719,8152.027832,8090.398926,8029.0625,7972.363281,7906.81543,7846.60791,7778.918945,7702.719238,7636.279297,7564.44873,7500.978027,7428.768066,7364.363281,7293.679688,7253.716797,7206.686035,7177.405762,7148.029297,7118.654297
BEL,1270.58374,1273.207886,1275.863403,1278.580322,1281.297363,1284.014526,1280.330444,1276.646362,1272.962524,1269.278442,1265.594482,1262.221069,1258.847534,1255.473999,1252.100464,1248.727051,1246.346069,1243.965332,1241.584717,1239.203857,1236.823242,1234.74353,1232.663818,1230.584106,1228.503418,1226.421631,1223.314453,1220.207397,1217.100342,1213.993164,1210.886108,1206.48584,1202.085449,1197.685181,1193.284912,1188.885132,1190.730469,1192.575317,1194.419922,1196.264526,1198.113892,1198.634277,1199.154785,1199.675049,1200.196167,1200.719116,1197.49231,1194.265259,1191.038208,1187.811401,1184.584473,1183.478271,1182.37207,1181.266113,1180.165039,1179.07019,1178.075195,1177.080566,1176.086426,1175.092651,1174.099243,1172.047974,1169.99707,1167.946655,1165.895752,1163.844849,1160.211792,1156.578857,1152.946289,1149.313965,1145.682251,1141.706055,1133.062744,1129.156128,1125.25,1121.344238,1117.182373,1113.020874,1108.859741,1104.749756,1100.64209,1097.667725,1094.693481,1089.119629,1083.70874,1080.791504
BLZ,159.9281311,160.7863464,161.2905884,161.9062195,162.7233582,163.5738525,174.7238159,185.8740082,197.024292,208.1745758,219.3249054,219.1047363,218.8605042,218.6162415,218.3719635,218.1277313,220.2616272,222.3953857,224.5290833,226.6626892,228.7962341,240.8676605,252.9380951,265.0077515,277.0773621,289.146698,292.0536194,294.9592285,297.864563,300.7694397,303.6737671,304.0981445,304.5224609,304.9460144,305.3695068,305.7929688,305.6566162,305.5203247,305.3840027,305.2476501,305.1113892,303.1768188,301.2418213,299.3068542,297.3718567,295.4369202,294.4564209,293.4759827,292.4956055,291.5159607,290.5366211,289.6170349,288.6972961,287.7738647,286.8388367,285.90802,284.911438,283.9149475,282.9184875,281.9221802,280.9259338,279.859436,278.7915344,277.7172546,276.6403809,275.5640869,274.4821472,273.4002686,272.3184814,271.2367859,270.1550598,269.0782776,268.0015564,266.9248352,265.8482056,264.7717285,263.4883728,262.2050476,260.9217834,259.6386108,258.3555298,257.1172485,255.8789825,254.6408691,253.402832,252.1647949
BEN,3938.185547,3993.792969,4074.503906,4146.433594,4208.820801,4303.074219,4361.505371,4430.130859,4510.494141,4604.532227,4688.291992,4784.935059,4867.209961,5000.022949,5101.94873,5188.306152,5298.211426,5326.76416,5403.916992,5572.200684,5675.22168,5718.558594,5805.941406,5942.20166,6039.097656,6193.512207,6280.830566,6396.762695,6523.206055,6659.726563,6720.748535,6777.68457,6946.62793,6982.86377,7021.348633,7070.706055,7211.942871,7280.105957,7342.058105,7413.945313,7502.88916,7732.566895,7866.116699,8023.98877,8180.35791,8292.632813,8388.441406,8642.238281,8788.551758,8844.129883,9062.319336,9170.888672,9223.077148,9339.566406,9430.50293,9453.924805,9478.130859,9479.631836,9481.297852,9492.330078,9507.773438,9514.078125,9520.366211,9559.788086,9567.831055,9560.09375,9558.754883,9552.373047,9551.910156,9551.570313,9547.083984,9540.295898,9533.825195,9531.599609,9529.682617,9529.501953,9525.436523,9522.358398,9520.602539,9518.849609,9518.070313,9516.176758,9514.288086,9512.398438,9510.511719,9508.625977
BTN,298.5640869,302.380127,306.196167,310.012146,313.828186,317.6441956,318.3567505,319.0692749,319.7818298,325.3919678,326.0948486,329.7657471,342.6306152,351.729126,357.8722534,361.5809326,366.4651184,371.3492737,378.9515686,383.8241272,388.6967163,391.8329773,394.9691162,409.2958069,412.427948,415.5593872,417.0991211,418.5991211,422.1259766,423.6190796,432.3826599,451.2823181,457.2904358,463.3091736,469.4396057,488.9179688,491.1358643,493.3538513,495.5716858,497.7893372,500.0070801,502.3059692,504.6047668,506.9036255,509.2024231,511.5012817,513.1522217,514.8031006,516.4539185,518.1046753,519.7554932,538.4480591,541.1659546,543.8838501,546.6017456,554.041626,558.3012695,548.9828491,552.3001099,555.6171265,558.9342041,562.9848633,567.0333862,571.079834,577.878418,581.8873901,586.8400269,583.3579102,572.2282715,575.6228638,579.0159302,566.6635742,568.4211426,570.1777954,556.9685669,557.715332,558.864563,560.0134888,561.2409668,562.3895264,563.5378418,565.2711182,567.0043945,568.7374878,570.470459,572.2033081
BOL,10579.26172,10661.45215,10744.01758,10827.00195,10909.72266,10991.75977,11021.48633,11051.17285,11080.6416,11110.24707,11139.56445,11160.99805,11182.46191,11203.99707,11225.39648,11246.80078,11274.50488,11303.1416,11331.77539,11361.62109,11390.53711,11412.88867,11435.31445,11457.71875,11480.01953,11501.16602,11508.00195,11513.77148,11519.125,11524.24121,11530.67285,11526.98926,11524.97559,11522.28125,11519.58398,11516.82031,11527.44531,11538.90625,11549.53906,11560.17871,11570.99023,11575.45313,11579.84375,11584.04492,11588.01074,11592.12207,11582.24023,11573.4248,11564.48828,11555.4043,11546.45898,11541.08105,11535.66602,11530.28418,11524.95215,11519.76953,11508.59375,11497.0459,11485.17285,11473.22168,11461.14063,11449.45508,11437.23047,11424.88184,11412.49121,11400.35254,11386.54688,11372.8584,11359.55859,11347.34668,11334.6709,11328.33496,11321.38574,11313.94824,11306.54004,11299.03516,11296.89453,11294.61621,11292.36621,11289.82617,11286.50781,11302.23145,11317.87305,11333.26074,11349.42969,11366.02734
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,1836.833984,1851.987183,1866.762817,1886.090332,1909.448975,1921.75415,1913.749756,1905.74585,1897.741943,1889.738281,1881.734741,1877.105103,1872.475342,1867.845825,1863.216675,1858.587158,1857.46106,1856.335083,1855.208984,1854.083252,1852.957031,1850.934692,1848.912109,1846.889648,1844.867432,1842.844849,1838.738159,1834.630981,1830.524292,1826.417358,1822.310547,1817.300049,1812.289551,1807.278931,1802.268433,1797.25769,1800.748291,1804.238892,1807.729858,1811.220825,1811.550415,1812.260986,1806.50415,1807.249268,1807.994507,1808.739868,1805.099976,1801.460083,1797.820068,1794.180298,1790.546509,1787.9552,1785.363892,1774.147827,1768.828491,1766.253784,1756.097656,1751.597656,1747.097656,1742.597656,1735.518066,1729.5448,1723.571533,1717.598267,1711.625,1705.655151,1698.324219,1691.182251,1683.838989,1676.506836,1669.196655,1661.726074,1654.255615,1646.785156,1639.314819,1631.844116,1623.926147,1615.991699,1608.060547,1600.129517,1592.198364,1586.156372,1582.155396,1572.039307,1568.105957,1558.487549
BWA,346.9615173,392.4788208,437.9961548,483.5132141,529.0305176,574.546814,700.4797974,826.4128418,952.3457031,1078.278809,1205.894287,1235.082397,1265.996216,1295.184204,1324.372192,1353.560425,1356.82251,1360.084717,1363.347168,1366.609253,1369.871216,1372.958496,1376.045654,1379.132568,1382.219727,1388.625732,1391.473877,1400.178223,1403.026245,1405.874268,1421.736694,1425.433838,1439.813477,1468.249634,1487.766357,1496.524048,1536.2229,1557.133667,1579.287354,1599.373169,1615.338135,1629.981445,1646.023926,1653.590332,1667.401978,1677.995117,1681.703735,1706.045166,1720.25,1725.491211,1732.133667,1741.353882,1748.896606,1754.498657,1760.604492,1775.097656,1780.068481,1782.096924,1784.125732,1789.692383,1791.720703,1792.997192,1808.540894,1820.998047,1825.503906,1826.776733,1833.740601,1835.179443,1846.162109,1851.002441,1852.441284,1855.735107,1856.728882,1859.479248,1860.477051,1877.688599,1880.583008,1881.695557,1883.869019,1887.37915,1892.811768,1895.871582,1905.227783,1926.460449,1945.219727,1952.125732
BRA,150098.75,150690.625,151304.0938,151915.6875,152542.2031,153161.9375,153088.8125,153022.5625,152932.3594,152834.5781,152757.2813,152502.4219,152237.7813,152000.1094,151732.5156,151451.2813,151024.6094,150596.375,150159.7344,149722.5469,149287.6875,148518.7656,147769.0625,146983.0938,146211.1719,145439.125,144337.0625,143207.9531,142119.2344,141038.0469,139959.0156,138634.6719,137328.0781,136056.6875,134741.9219,133463.75,132678.3594,131859.4063,131085.5313,130304.3047,129520.6484,128503.2734,127499.0859,126483.2031,125482.8672,124478.5625,123254.4922,122050.75,120843.8203,119622.0625,118413.7266,117163.7969,115906.4453,114639.4141,113370.6406,112100.9375,110809.2891,109529.6484,108258.7969,106987.9063,105716.5781,104445.0469,103166.7656,101888.1406,100613.3984,99336.375,98131.84375,96923.72656,95711.89063,94494.38281,93274.98438,92149.15625,91020.9375,89894.70313,88766.49219,87638.00781,86634.34375,85632,84626.73438,83619.92969,82614.71875,81771.19531,80928.36719,80087.64844,79248.51563,78412.53906
