"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,7966.89209,7942.48877,7918.112305,7893.758301,7869.429688,7844.994141,7822.138672,7783.584961,7739.126465,7694.740723,7650.432129,7606.20166,7562.05127,7517.984375,7474.001465,7430.105957,7397.621094,7365.195313,7332.829102,7300.523438,7268.283203,7236.105957,7203.996094,7171.953125,7139.980957,7108.080566,7085.152832,7062.280762,7039.462402,7016.702637,6993.998535,6971.354492,6948.770508,6926.247559,6903.788574,6881.394531,6859.51709,6837.726074,6816.023926,6794.411621,6772.894531,6751.470703,6730.144531,6708.917969,6687.792969,6666.773438,6651.44873,6636.206055,6621.04834,6605.975098,6590.98877,6576.090332,6561.285156,6546.571777,6531.953125,6517.432129,6511.580566,6505.751465,6499.943848,6494.160156,6488.398438,6482.660156,6476.945313,6471.250977,6465.561523,6459.895996,6458.894531,6457.89209,6456.89209,6455.890625,6454.890137,6453.88916,6452.888672,6451.88916,6450.88916,6449.889648,6450.094727,6450.298828,6450.504395,6450.710938,6450.916992,6451.123535,6451.330566,6451.537598,6451.745117,6451.953125
ALB,678.7650146,680.0649414,681.3627319,682.6583862,683.9519043,685.2432251,683.6793823,682.1150513,680.550354,678.9853516,677.4199829,675.854187,674.288147,672.7216187,671.1546631,669.5875244,666.6624146,663.7371826,660.8116455,657.8859253,654.9599609,652.0337524,649.1072998,646.1806641,643.2538452,640.3267212,636.8465576,633.3662109,629.8858032,626.4052734,622.9246216,619.4438477,615.9628906,612.4818726,609.0007324,605.5194702,601.7427368,597.9660645,594.1893311,590.4124756,586.6356812,582.8588257,579.0819702,575.3050537,571.5281372,567.7512207,565.2932129,562.835144,560.3771362,557.9190674,555.4609375,553.0028076,550.5447388,548.0864868,545.628418,543.1702271,540.6989746,538.2277832,535.7565918,533.2853394,530.8140869,528.3428345,525.871582,523.4002686,520.9290161,518.4577637,519.1887817,519.9179688,520.6453857,521.3710938,522.0950317,522.8171997,523.5376587,524.2564087,524.9734497,525.6887207,529.1202393,532.5458984,535.9656372,539.3795166,542.7874756,546.1898193,549.5863647,552.9771118,556.3622437,559.7418213
DZA,8245.833008,8298.236328,8350.630859,8403.016602,8455.40332,8507.78418,8533.655273,8559.52832,8585.407227,8611.308594,8637.391602,8663.557617,8689.737305,8715.916992,8742.226563,8768.538086,8783.734375,8798.926758,8814.116211,8829.304688,8844.503906,8859.730469,8875.011719,8892.651367,8910.477539,8928.313477,8948.174805,8968.043945,8987.919922,9007.804688,9027.698242,9047.640625,9067.617188,9087.599609,9107.511719,9127.786133,9131.623047,9135.605469,9139.698242,9143.80957,9147.936523,9152.066406,9156.198242,9160.333984,9164.472656,9168.613281,9149.823242,9131.105469,9112.390625,9093.644531,9074.885742,9056.126953,9037.369141,9018.609375,8999.850586,8981.373047,8946.345703,8911.141602,8875.938477,8840.734375,8805.529297,8770.323242,8735.119141,8699.912109,8664.703125,8629.496094,8590.03125,8550.570313,8511.105469,8471.640625,8432.251953,8392.916992,8353.585938,8314.258789,8274.973633,8235.794922,8156.532227,8077.195801,7997.853027,7918.51123,7839.168945,7759.829102,7680.820313,7601.916504,7523.080566,7444.443848
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,6120.757813,6183.673828,6246.590332,6309.506348,6372.422363,6435.336914,6497.519531,6559.703125,6621.838379,6683.878906,6745.915039,6807.95166,6869.984375,6932.015625,6994.043945,7056.068848,7120.033691,7183.997559,7247.963867,7311.930664,7375.898438,7439.867188,7503.837402,7567.80957,7631.780762,7695.754395,7804.890625,7914.033691,8023.186035,8132.345703,8241.512695,8350.688477,8459.871094,8569.061523,8678.261719,8787.469727,8885.305664,8983.152344,9081.007813,9178.87207,9276.745117,9374.626953,9472.518555,9570.419922,9668.330078,9766.248047,9867.915039,9969.59082,10071.27539,10172.96875,10274.67285,10376.38379,10478.10742,10579.83691,10681.57813,10783.32715,10872.09473,10960.87305,11049.66504,11138.4668,11227.28027,11316.10547,11404.94043,11493.78711,11582.64453,11671.51172,11761.70508,11851.92188,11942.16406,12032.42871,12122.71973,12213.0332,12303.36816,12393.72656,12484.10547,12574.50488,12636.52832,12698.58984,12760.68555,12822.81641,12884.97754,12947.17188,13009.39453,13071.64844,13133.92773,13196.23633
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,46613.04688,46898.28125,47183.55078,47469.60547,47757.25781,48046.91016,48244.07422,48442.36328,48643.38672,48843.82422,49044.48047,49245.84375,49446.40234,49646.91016,49846.96094,50046.71875,50280.04297,50513.20703,50746.14453,50983.53125,51227.51172,51471.82031,51716.38281,51956,52203.07813,52464.36328,52705.95313,52947.5625,53189.19922,53430.87891,53672.58984,53919.82422,54172.375,54424.76953,54677,54929.07813,55097.36328,55265.10156,55432.32422,55599.07813,55765.42188,55931.33203,56096.86328,56262.03516,56426.86719,56591.35547,56768.01172,56944.33594,57120.36719,57296.10938,57471.57813,57646.79297,57821.76953,57996.51953,58171.04688,58345.375,58760.82031,59175.875,59590.56641,60004.89844,60418.84766,60832.46484,61245.74219,61658.61328,62070.92578,62482.89844,62935.15234,63387.20703,63839.0625,64290.87891,64742.47656,65193.875,65645.05469,66096.03906,66546.80469,66997.375,67275.57813,67553.69531,67831.72656,68109.6875,68387.55469,68665.35156,68943.05469,69220.6875,69498.25,69775.73438
ARM,469.5360413,474.7243652,479.9125977,485.1008606,490.2891541,495.4774475,500.5719604,505.6665039,510.7610168,515.8554688,520.9498901,526.0443115,531.1387329,536.2331543,541.3275146,546.421814,552.0664673,557.7110596,563.3556519,569.0001221,574.6446533,580.2891846,585.9336548,591.578064,597.2224121,602.8668823,608.7648926,614.6628418,620.560791,626.4586792,632.3565674,638.2543335,644.1520386,650.0496826,655.9473267,661.8448486,667.9390869,674.03302,680.1266479,686.2201538,692.3131714,698.4060669,704.4985352,710.5908203,716.6828003,722.7744751,728.909729,735.0447388,741.1793823,747.3137207,753.4476318,759.5812988,765.7145996,771.8475342,777.9801636,784.1123657,790.3305664,796.5480957,802.7653198,808.9821167,815.1983032,821.4141846,827.6295166,833.8442993,840.0587158,846.272644,853.0564575,859.8395386,866.6218872,873.4035034,880.1845703,886.9647217,893.7441406,900.5228882,907.3010864,914.0784912,922.5180664,930.956543,939.3939209,947.8302612,956.2652588,964.6989136,973.1316528,981.5631714,989.9935913,998.4228516
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
