"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,5257.561523,5289.415039,5321.270996,5353.129395,5384.992188,5416.856445,5451.222656,5485.589844,5519.95752,5554.325684,5588.695313,5609.550781,5630.408691,5651.268066,5672.127441,5692.98877,5710.182129,5727.375488,5744.568359,5761.762207,5778.955566,5795.321777,5811.688965,5828.055176,5844.421875,5860.788574,5870.310547,5879.835449,5889.362793,5898.892578,5908.424805,5919.794434,5931.165039,5942.534668,5953.903809,5965.273438,5972.674805,5980.076172,5987.477539,5994.878906,6002.280273,6008.927734,6015.575195,6022.222656,6028.869629,6035.518066,6042.42627,6049.335449,6056.244141,6063.153809,6070.0625,6074.003418,6077.943848,6081.884766,6085.826172,6089.766602,6094.751465,6099.736328,6104.722656,6109.708008,6114.693848,6118.144043,6120.395996,6122.648926,6124.902344,6127.155762,6127.973633,6128.791992,6129.609863,6130.429199,6131.24707,6133.445801,6135.644043,6137.841797,6140.039063,6142.234863,6138.713379,6135.191406,6131.67041,6128.149414,6124.629395,6120.433594,6113.56543,6106.696777,6099.82959,6092.961914
ALB,441.7797852,441.9032288,442.0266418,442.1500854,442.2734985,442.3968811,443.0079041,443.6188965,444.22995,444.8408813,445.4517517,446.7747192,448.0974731,449.4201355,450.7426758,452.065033,453.0654297,454.0653381,455.0649109,456.0640564,457.0627441,458.8088684,460.553833,462.29776,464.0404663,465.782196,462.3769226,458.9671021,455.5527649,452.1337891,448.7103271,449.6222229,450.5328064,451.4421997,452.3502502,453.2570801,456.152832,459.051178,461.9520874,464.8555603,467.7615356,470.863678,473.9664917,477.0699463,480.1738892,483.2784119,487.9755249,492.6704712,497.3630371,502.0533752,506.741394,505.0513916,503.3621216,501.6733704,499.9853516,498.2978516,503.7572937,509.1930237,514.605896,519.996582,525.3656616,525.0029907,524.6403809,524.277771,523.9151001,523.5524902,522.9879761,522.4235229,521.8590088,521.2945557,520.7300415,521.0078735,521.2856445,521.5634155,521.8412476,522.1190186,522.300415,522.4818726,522.6633301,522.8447876,523.0262451,523.4894409,523.9526978,524.4159546,524.8792114,525.3424072
DZA,619.8674316,626.6253662,633.3773804,640.1228638,646.8621216,653.5949707,680.7324219,708.045105,735.506897,763.0962524,790.795166,837.4498291,883.6980591,929.5821533,975.1384888,1020.399292,1026.732666,1033.065796,1039.398804,1045.731567,1052.063843,1040.036377,1028.008667,1015.981079,1003.953613,991.9260254,978.8463135,965.7666016,952.6868286,939.6072388,926.5275879,920.0893555,913.6511841,907.2130127,900.7749023,894.336731,884.2808838,874.2247925,864.1689453,854.1130371,844.0571289,837.3123779,830.5675659,823.8227539,817.0780029,810.3331299,809.3833008,808.4332886,807.4833984,806.5333862,805.5834961,801.0980835,796.612793,792.1274414,787.6421509,783.1567993,783.6144409,784.0722046,784.5296631,784.9874878,785.4450684,786.2947388,787.144043,787.9937134,788.8432617,789.6928101,790.427124,791.1612549,791.8954468,792.6295776,793.3637085,787.3233032,781.2827148,775.2423096,769.2017212,763.1612549,754.3586426,745.5559082,737.3340454,729.1220703,720.9119873,716.8690796,712.8627319,708.8564453,704.8569336,700.8931274
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,19658.83789,20482.47266,21306.10547,22129.74023,22953.37695,23777.01172,24472.78906,25166.58594,25860.04688,26553.14063,27245.83789,27623.08203,28000.32422,28377.56836,28754.80664,29132.03711,29426.69531,29721.36133,30016.02734,30310.55664,30604.51758,30911.93164,31219.33984,31526.75391,31834.15625,32141.56055,32474.25391,32806.94922,33105.94531,33397.84766,33689.55469,33993.02344,34296.35156,34599.125,34901.72266,35198.44531,35550.92188,35903.76563,36256.99219,36610.64844,36964.76563,37237.36328,37510.29297,37782.37891,38036.73438,38290.43359,38487.59375,38684.81641,38882.30859,39080.18359,39278.46875,39411.51953,39544.78906,39671.39063,39798.19141,39925.91016,39993.00781,40060.24609,40127.63672,40193.70703,40257.67188,40284.76953,40311.71875,40338.47656,40365.12891,40391.47656,40412.48047,40433.43359,40454.32031,40475.13281,40495.87891,40502.95703,40511.60547,40520.25391,40528.90234,40537.55859,40543.42188,40549.28516,40555.15625,40561.01953,40566.88672,40575.79297,40584.69531,40593.60156,40602.50781,40611.41016
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,6984.24707,6982.271973,6980.29834,6978.32666,6976.35791,6974.390625,6960.652832,6946.916992,6933.220703,6919.55127,6905.883301,6860.788574,6815.692871,6770.74707,6725.915039,6681.084961,6654.162598,6627.241699,6600.324219,6573.410156,6546.499023,6499.535156,6452.570313,6405.605957,6358.643066,6314.944336,6288.579102,6262.212402,6235.854492,6209.492188,6183.123535,6167.411133,6151.673828,6135.90918,6120.118652,6104.300293,6072.883789,6041.517578,6010.201172,5978.9375,5947.727051,5916.74707,5901.998535,5887.249023,5872.501465,5857.754395,5843.310059,5828.862793,5814.413574,5799.969238,5785.529785,5780.235352,5774.941895,5769.647461,5764.354492,5759.076172,5741.711426,5724.347168,5706.97998,5689.612793,5672.244141,5664.174316,5656.245117,5648.321777,5640.40332,5632.492188,5617.605957,5602.713867,5587.820313,5572.92627,5558.034668,5553.410645,5548.786621,5544.163574,5539.539063,5534.915039,5507.995605,5481.076172,5454.155762,5427.236328,5400.316895,5379.427734,5358.538086,5337.651367,5316.770508,5295.890625
ARM,610.3113403,611.1281128,611.944519,612.760437,613.5759277,614.3909912,614.8399048,615.2886353,615.7374268,616.1862793,616.6349487,608.303772,599.9724731,591.6409912,583.3093872,574.9776001,575.8543091,576.7299805,577.6048584,578.4786987,579.3516846,577.0014648,574.6513062,572.3010864,569.9509277,567.600708,567.2753296,566.9500122,566.6246338,566.2992554,565.973999,565.6758423,565.3778076,565.0797119,564.7815552,564.4833984,564.2407227,563.9979858,563.755249,563.5125122,563.2697754,563.2233276,563.1768799,563.1303711,563.0838623,563.0373535,563.1674805,563.2974854,563.4275513,563.5574951,563.6875,563.8482666,564.0088501,564.1694946,564.3302002,564.4907227,564.5418091,564.5928955,564.6438599,564.6949463,564.7459717,564.6987305,564.6514282,564.6043091,564.5570068,564.5097656,563.7136841,562.9176025,562.1216431,561.3255615,560.52948,559.0907593,557.6520386,556.2133179,554.7745361,553.3358154,551.8468628,550.3579712,548.8690796,547.380188,545.8912964,544.7371826,543.5830078,542.428894,541.2748413,540.1206055
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,4488.796875,4504.073242,4519.355469,4534.645996,4549.942383,4565.244629,4565.379883,4565.515137,4565.648926,4565.783203,4565.916992,4566.130859,4566.345703,4566.55957,4566.772949,4566.986328,4566.630859,4566.277344,4565.921875,4565.566895,4565.212402,4564.564941,4563.91748,4563.270508,4562.622559,4561.976074,4562.959961,4563.938965,4564.912598,4565.881348,4566.847656,4567.725586,4568.601074,4569.472656,4570.342285,4571.209961,4574.097656,4576.984863,4579.872559,4582.760742,4585.647949,4592.127441,4598.59082,4605.040527,4611.475098,4617.895508,4626.027344,4634.153809,4642.261719,4650.352539,4658.429199,4667.820313,4677.207031,4686.587402,4695.963379,4705.334961,4714.185059,4723.049805,4731.933105,4740.820313,4749.711914,4757.501465,4765.289551,4773.075195,4780.858398,4788.640625,4793.777344,4798.916016,4804.054688,4809.194336,4814.335449,4822.357422,4830.382324,4838.253906,4846.063965,4853.874023,4867.886719,4881.904785,4895.931152,4910.024902,4924.162109,4929.592285,4935.024902,4939.293457,4943.359375,4947.420898
