"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,13224.45508,13292.25195,13373.59082,13454.76563,13537.80469,13620.27832,13654.70898,13676.12793,13687.05273,13710.07813,13726.77246,13749.3877,13778.08594,13797.65918,13826.14355,13871.3252,13953.28027,14041.48828,14131.02734,14231.79199,14313.09082,14456.33105,14584.46973,14725.05566,14857.93555,14986.75488,15134.85645,15289.19727,15464.48828,15619.31738,15804.57324,16006.17676,16208.12793,16408.25586,16611.2168,16806.13281,17051.18359,17316.74414,17547.20313,17806.10547,18067.32617,18363.92383,18673.16602,18977.66406,19281.22852,19590.3457,19911.74219,20207.18164,20509.61328,20810.16992,21116.22852,21493.48242,21870.71875,22230.77344,22598.12695,22959.54688,23340.39648,23691.4375,24088.2832,24477.41797,24825.03906,25196.07227,25561.29492,25911.16211,26245.88477,26615.69922,27007.66602,27369.25586,27752.5957,28084.54492,28429.22266,28740.83789,29081.69531,29372.28125,29653.64063,29977.71875,30236.88281,30460.38281,30700.94336,30941.57813,31185.45313,31379.06836,31573.4375,31764.7168,31917.61719,32117.57617
ALB,1120.544922,1118.227905,1129.038574,1138.817993,1145.212524,1150.460815,1147.815674,1144.206909,1140.5979,1136.988892,1133.379761,1125.8479,1117.966309,1113.172119,1108.358765,1103.5448,1101.31189,1101.548828,1102.51355,1103.477905,1103.607666,1099.33374,1094.267944,1085.582397,1077.280518,1072.063232,1058.602905,1046.919922,1035.022827,1019.086304,1007.778809,989.9512329,974.5222778,959.7814331,942.1732788,929.2648926,931.8222046,934.878479,937.5910034,940.4144287,943.012146,946.9353638,950.65625,954.3796997,958.1375122,961.885376,965.6838379,969.4782715,973.253479,977.0712891,980.9216919,989.0060425,996.456604,1003.848633,1011.119507,1018.362366,1027.042603,1035.672485,1044.307251,1052.959351,1061.634155,1069.828125,1077.96582,1086.098511,1094.227051,1102.365845,1110.065552,1117.760742,1125.328125,1132.909424,1140.526978,1148.846924,1157.246094,1165.660156,1174.093506,1182.562012,1190.345581,1198.230591,1206.140747,1214.056763,1221.984619,1227.067627,1232.207397,1237.343506,1242.494751,1247.654541
DZA,8865.700195,8905.40332,8945.261719,8984.862305,9024.248047,9063.629883,9115.34668,9166.969727,9218.605469,9270.249023,9321.871094,9406.324219,9490.788086,9575.269531,9659.765625,9744.269531,9875.021484,10005.87012,10136.79297,10267.74805,10398.76172,10559.87305,10721.11621,10882.51563,11044.58301,11206.68359,11402.57617,11598.7334,11795.20898,11988.13574,12171.8623,12354.87988,12538.38184,12722.09082,12905.30859,13088.13184,13305.31641,13526.90234,13748.5332,13969.46582,14187.49805,14421.77246,14652.35254,14881.89355,15108.79492,15335.3877,15585.06641,15842.39453,16107.48145,16373.06934,16639.2207,16936.99219,17236.63086,17536.75391,17837.41016,18138.55664,18449.33789,18760.61719,19072.58789,19385.26172,19704.28125,20002.99414,20302.3457,20602.90234,20908.16797,21236.6543,21502.43945,21773.73438,22043.76953,22309.10352,22585.5293,22851.16211,23114.35547,23378.08398,23650.67188,23913.10547,24150.56641,24385.94922,24621.75586,24866.39648,25117.53125,25321.82227,25525.98828,25730.16211,25934.35938,26138.55078
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,25779.59375,26098.37305,26445.03125,26753.44531,27093.37891,27427.89648,27824.19531,28314.18359,28815.47656,29289.05469,29702.79688,30097.55469,30538.58203,31041.05664,31378.68164,31686.61719,32050.14453,32475.38867,32894.73828,33342.27734,33805.37891,34297.37891,34733.37109,35166.0625,35606.12109,36000.46875,36445.48828,36888.73828,37345.60938,37770.34766,38227.39844,38831.76563,39447.01563,40153.13672,40779.08984,41388.74219,42041.94531,42664.64063,43362.07813,44046.20703,44704.77734,45468.4375,46172.5625,46898.12109,47696.9375,48427.6875,49195.07031,49880.19531,50691.82031,51435.89063,52173.19922,52996.32422,53742.38672,54494.55078,55279.89063,56033.0625,56731.26563,57341.98047,57974.67969,58614.73438,59300.78906,59956.65625,60586.09375,61256.07422,61902.66406,62504.12109,62968.25781,63517.9375,64132.25781,64665.85547,65189.35547,65609.36719,66012.57031,66414.47656,66811.55469,67204.15625,67563.54688,67928.71875,68287.32031,68632.27344,68977.96094,69343.74219,69708.57813,70072.125,70434.77344,70791.4375
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,53597.30078,54053.05469,54496.95313,54947.48828,55401.375,55854.67969,55793.93359,55734.99219,55672.63281,55614.29297,55552.03516,55424.80859,55309.93359,55184.47656,55046.76953,54929.46875,54774.60156,54630.57422,54485.01172,54333.75391,54189.69922,53911.17969,53624.75781,53344.99219,53038.9375,52742.80078,52304.40625,51863.14063,51420.30469,50980.44922,50546.37891,50154.51563,49779.80078,49392.1875,49010.03516,48629.16406,48736.80469,48823.64844,48922.86328,49028.81641,49125.30859,49257.19141,49391.85547,49506.08984,49625.87109,49739.15234,49863.10938,49982.25391,50100.10938,50216.19922,50333.75391,50560.29297,50792,51024.28906,51254.96484,51484.79297,51764.44922,52040.30859,52303.92578,52574.58984,52847.42578,53108.61328,53361.33594,53616.89844,53862.96484,54102.16406,54328.82031,54555.41016,54781.78125,55008.03516,55233.97656,55401.62109,55569.24609,55736.82422,55903.64453,56070.16406,56188.80859,56307.4375,56426.00781,56544.33203,56662.62109,56775.5625,56888.375,57000.88672,57113.57422,57226.23438
ARM,1079.847412,1086.966797,1092.848267,1098.895142,1103.506592,1111.115234,1117.903442,1124.689087,1129.640381,1136.412231,1144.071411,1150.452148,1156.80835,1163.166382,1169.517456,1175.832275,1188.528931,1201.242798,1213.421387,1225.629883,1238.390137,1253.056641,1267.740967,1283.400269,1297.792236,1312.839478,1324.360474,1337.602417,1351.19104,1363.880859,1377.439941,1393.852539,1409.994385,1425.883789,1441.782715,1457.505005,1481.366333,1505.313965,1529.56543,1553.733643,1578.446777,1608.580811,1639.024292,1669.67395,1700.59021,1731.636475,1763.626465,1795.959717,1828.814209,1863.68335,1890.676758,1918.388306,1946.49707,1975.438232,2004.936523,2035.205566,2066.412842,2098.284668,2131.396973,2165.335449,2198.658691,2230.788574,2262.369629,2293.388428,2307.37793,2311.903564,2316.587891,2321.234619,2325.852783,2330.498047,2335.17041,2339.838867,2344.470215,2349.150391,2353.900879,2358.648682,2363.138184,2367.523926,2371.889404,2376.250488,2380.635498,2384.735352,2388.786133,2392.810303,2396.816406,2400.810303
