"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,7966.89209,8044.686523,8122.481934,8200.279297,8278.076172,8355.799805,8320.797852,8285.795898,8250.794922,8215.793945,8180.792969,8151.630371,8122.469238,8093.308594,8064.146973,8034.994629,8044.646973,8054.298828,8063.95166,8073.605469,8083.296875,8091.61084,8099.928223,8108.249023,8116.575195,8124.904297,8128.582031,8132.328125,8136.074219,8139.821777,8143.570313,8146.48584,8149.763672,8167.641602,8192.375,8204.527344,8210.662109,8216.834961,8223.036133,8229.049805,8237.97168,8245.580078,8247.236328,8248.898438,8256.40918,8257.908203,8251.978516,8241.466797,8231.009766,8225.388672,8214.884766,8201.853516,8188.825195,8175.820801,8173.539063,8160.458496,8160.404297,8160.347656,8160.326172,8160.328125,8160.367188,8159.320801,8158.408691,8157.57666,8156.733398,8155.891602,8162.42627,8166.804199,8172.51416,8177.049805,8182.839844,8199.00293,8215.224609,8237.259766,8254.658203,8272.088867,8299.663086,8321.268555,8342.931641,8364.632813,8386.333984,8425.089844,8464.791016,8503.816406,8543.044922,8582.208984
ALB,678.7650146,686.0517578,693.338501,700.6230469,707.8942871,715.1519165,713.4673462,711.7828369,710.0982056,708.4135132,706.7289429,705.5291748,704.3295288,703.1296997,701.9299316,700.7302246,701.7366333,702.7424927,703.748291,704.7542114,705.7600708,705.4521484,705.1442871,704.8363647,704.5285034,704.2206421,703.3894653,702.5583496,701.7272339,700.8961182,700.0650024,698.0541382,696.043457,694.0324707,692.0217285,690.0108643,694.2800293,698.5487671,702.8168945,707.0845337,711.3496704,713.4391479,715.5283203,717.6174316,719.7063599,721.795166,721.0105591,720.225769,719.440918,718.6560059,717.8711548,717.7113647,717.5515137,717.3916016,717.2315674,717.0714722,716.1779785,715.2844849,714.3908081,713.4970093,712.6031494,709.925293,707.2473755,704.569397,701.8914185,699.2133179,694.7435303,690.2737427,685.803894,681.3340454,676.8641968,671.2969971,665.7297974,660.1624756,654.5952148,649.027832,642.2623901,635.4968872,628.7313843,621.9657593,615.2001343,610.1519165,605.1036377,600.0552368,595.006958,589.958374
DZA,8245.833008,8285.380859,8324.94043,8364.509766,8404.09082,8443.667969,8410.324219,8376.973633,8343.619141,8310.262695,8276.904297,8257.614258,8238.322266,8219.032227,8199.74707,8180.460938,8189.380859,8198.302734,8207.222656,8216.142578,8225.064453,8254.436523,8283.810547,8313.18457,8342.55957,8371.933594,8394.580078,8417.230469,8439.879883,8462.530273,8485.183594,8520.141602,8555.105469,8590.073242,8625.042969,8660.019531,8683.40332,8706.828125,8730.265625,8753.713867,8777.183594,8819.710938,8862.245117,8904.783203,8947.329102,8989.873047,9012.65918,9035.448242,9058.240234,9081.032227,9103.826172,9133.831055,9163.841797,9193.853516,9223.871094,9253.888672,9291.958984,9330.03418,9368.113281,9406.197266,9444.28418,9486.793945,9529.308594,9571.828125,9614.353516,9656.883789,9708.061523,9759.249023,9810.446289,9861.65332,9912.870117,9976.405273,10039.95215,10103.51074,10167.08398,10230.6709,10311.04492,10392.3457,10473.67188,10555.00293,10636.36133,10753.14063,10869.98145,10986.88477,11103.86328,11220.92188
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,6120.757813,6298.354004,6475.976074,6653.608398,6831.240723,7008.918945,7234.195313,7459.490234,7684.783203,7910.078125,8134.796875,8301.225586,8467.606445,8634.515625,8801.455078,8968.40332,9134.141602,9299.881836,9465.62207,9631.361328,9797.100586,9989.109375,10181.11426,10373.12109,10563.16699,10755.02344,11000.30762,11245.59473,11490.88184,11734.46973,11979.75879,12316.23438,12652.70898,12989.18945,13325.59473,13661.96191,13958.74707,14255.53418,14552.32227,14849.10938,15145.89063,15419.74414,15693.80566,15967.51855,16240.47266,16513.42969,16769.20898,17024.97852,17280.72461,17536.46875,17792.19727,18010.66797,18229.14258,18447.60742,18666.08008,18884.52344,19095.77734,19307.00195,19518.21289,19729.41602,19936.08203,20141.2793,20346.46875,20551.64648,20756.81836,20961.97852,21162.14648,21362.30859,21562.46094,21762.60352,21962.74023,22155.4668,22348.18164,22540.89453,22733.59961,22926.29688,23115.33398,23304.06836,23492.76172,23681.39063,23869.97461,24060.65234,24251.2793,24441.79883,24632.25586,24821.3418
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,46613.04688,47074.01563,47534.96484,47998.01172,48463.03516,48927.98438,48908.23438,48888.48828,48868.72656,48848.95703,48829.17578,48849.73438,48870.29297,48890.84375,48911.38672,48931.92188,48949.60547,48967.28125,48984.95313,49002.62109,49020.28125,49018.88672,49017.49219,49016.09375,49014.70313,49013.29297,48965.37109,48917.45703,48869.53125,48821.61328,48773.68359,48672.71875,48571.74219,48470.77344,48369.80078,48268.83203,48362.68359,48456.53125,48550.37891,48644.22656,48738.07813,48758.07422,48778.0625,48798.04688,48818.04297,48838.03516,48770.48828,48702.94141,48635.39063,48567.84766,48500.30078,48438.6875,48377.07813,48315.46484,48253.85938,48192.24609,48096.60938,48000.96875,47905.33594,47809.70703,47714.0625,47551.40625,47388.76563,47226.11328,47063.45703,46900.80469,46691.70703,46482.62109,46273.53516,46064.4375,45855.33984,45618.32422,45381.30859,45144.28516,44907.26563,44670.24219,44406.75391,44143.25781,43879.58594,43615.91016,43352.23047,43123.34375,42894.4375,42665.53125,42436.62109,42207.70703
ARM,469.5360413,476.2409058,482.9456482,489.6498108,496.3555603,503.0606995,498.584198,494.107666,489.6311035,485.1545105,480.677887,479.7693787,478.8608704,477.9523926,477.0438538,476.1353455,482.3331604,488.5283203,494.7209167,500.9108582,507.0985413,509.729248,512.3590088,514.987793,517.6156006,520.2426147,520.9777222,521.7123413,523.414856,525.1987915,526.9885254,528.9224243,530.8578491,532.7998047,534.7471924,536.6995239,541.1518555,545.6103516,550.0731201,554.5401611,559.0116577,563.822937,568.6382446,573.4578857,578.2817993,583.1103516,584.6065674,586.1034546,587.6010132,589.0993042,590.5983887,594.1185303,597.6400757,601.1633911,604.6884766,608.21521,612.3060913,616.3973389,620.4889526,624.5810547,628.673584,632.1486206,635.6246948,639.1017456,642.5800781,646.0594482,649.7810059,653.5036621,657.2271729,660.9517822,664.6774292,668.7470703,672.8188477,676.8922119,680.9677124,685.0458374,690.0952148,695.147583,700.203125,705.2487793,710.2991943,718.7333374,727.1785278,735.7445068,744.3662109,752.9711914
