"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,7966.89209,8229.49707,8492.166016,8754.902344,9017.709961,9280.59375,9281.720703,9282.870117,9284.041016,9285.234375,9286.448242,9287.683594,9288.941406,9290.21875,9291.517578,9292.838867,9296.197266,9299.566406,9302.942383,9306.328125,9309.722656,9313.12793,9316.541016,9319.962891,9323.394531,9326.835938,9326.757813,9326.679688,9326.601563,9326.523438,9326.445313,9326.367188,9326.289063,9326.211914,9326.132813,9326.054688,9323.788086,9321.522461,9319.254883,9316.808594,9314.207031,9311.599609,9306.880859,9301.81543,9296.722656,9291.605469,9291.523438,9291.44043,9291.357422,9291.273438,9291.191406,9291.109375,9291.025391,9290.942383,9290.858398,9290.777344,9290.991211,9291.206055,9291.419922,9291.633789,9291.848633,9292.063477,9292.27832,9292.493164,9292.706055,9292.920898,9293.460938,9294.000977,9294.540039,9295.080078,9295.619141,9296.15918,9296.698242,9297.238281,9297.77832,9298.317383,9241.912109,9185.507813,9129.101563,9072.697266,9016.291992,8959.887695,8903.484375,8847.080078,8790.675781,8734.273438
ALB,678.7650146,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7650146,678.7649536,678.7649536,678.7649536,678.7649536,678.7649536,678.7650146,678.7650146,678.6607056,678.5563965,678.4521484,678.3478394,678.2435913,678.1392212,678.0349731,677.9306641,677.826416,677.722168,677.6384888,677.5548096,677.4711914,677.3875122,677.303833,677.2200928,677.1363525,677.0527344,676.9690552,676.885376,676.8798218,676.8743286,676.8688354,676.8632202,676.857666,676.8521118,676.8466187,676.8411255,676.8356323,676.8300171,676.4609985,676.0919189,675.7229614,675.3538818,674.9848022,674.6157837,674.2468262,673.8778076,673.508667,673.1397705
DZA,8245.833008,8110.571777,7975.313477,7840.056152,7704.79834,7569.539063,7416.57666,7263.615234,7110.652832,6957.69043,6804.729004,6651.76709,6498.805664,6345.844238,6192.880859,6039.919434,6025.399414,6010.879883,5996.359863,5981.839355,5967.319336,5952.799805,5938.279297,5923.759766,5909.240234,5894.719727,5876.681152,5858.644043,5840.604492,5822.566895,5804.528809,5786.490723,5768.452637,5750.414063,5732.375977,5714.337402,5702.080566,5689.822266,5677.56543,5665.308105,5653.050781,5640.793945,5628.536133,5616.278809,5604.021973,5591.76416,5591.76416,5591.76416,5591.76416,5591.76416,5591.76416,5591.76416,5591.76416,5591.76416,5591.76416,5591.76416,5591.624023,5591.484375,5591.344727,5591.20459,5591.064941,5590.924805,5590.785156,5590.645508,5590.505371,5590.365723,5585.983398,5581.601074,5577.219727,5572.838379,5568.456055,5564.074219,5559.692871,5555.310547,5550.929199,5546.546875,5541.172363,5535.797363,5530.422363,5525.04834,5519.673828,5514.298828,5508.924805,5503.550293,5498.175781,5492.800781
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,6120.757813,6234.369629,6350.349121,6468.452637,6588.463379,6710.1875,7036.36377,7362.541992,7688.719727,8014.898926,8341.079102,8667.260742,8993.444336,9319.626953,9645.811523,9971.998047,10038.99414,10105.99121,10172.98633,10239.98145,10306.98047,10373.97461,10440.97168,10507.96777,10574.96289,10641.95898,10657.16211,10672.36523,10687.56836,10702.76953,10717.97266,10733.17578,10748.37793,10763.58105,10778.78418,10793.98633,10797.98145,10801.97656,10805.97363,10809.96973,10813.96582,10817.96094,10821.95703,10825.9541,10829.9502,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531,10833.94531
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,46613.04688,46636.57422,46662.43359,46693.375,46724.55859,46756.76953,46813.0625,46869.59375,46926.37891,46983.48047,47040.96484,47098.98438,47157.65625,47217.24609,47278.21484,47353,47355.39063,47357.75781,47360.08984,47362.38672,47364.65625,47366.89063,47369.10156,47371.28125,47373.42969,47375.54688,47375.53125,47375.51172,47375.49219,47375.47266,47375.45313,47375.43359,47375.41406,47375.39453,47375.37891,47375.35938,47375.26172,47375.15625,47375.05859,47374.95703,47374.85547,47374.75391,47374.65234,47374.55078,47374.44922,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47374.35156,47356.01172,47337.67969,47319.34375,47301.00781,47282.67188,47264.34375,47246.00781,47227.67188,47209.33984,47191
ARM,469.5360413,468.4318848,467.3277588,466.2236023,465.1194458,464.0152588,462.8141479,461.6131287,460.4121399,459.2110291,458.0099792,456.8088684,455.6078186,454.4067383,453.205658,452.0046082,452.0046387,452.0046387,452.0046082,452.0046082,452.0046387,452.0046997,452.0046387,452.0046082,452.0046387,452.0046387,452.0046387,452.0046387,452.0046387,452.0046387,452.0046387,452.0046387,452.0046387,452.0046387,452.0046387,452.0046387,447.2806702,442.5567627,437.8328247,433.1088867,428.3849182,423.6610107,418.9370117,414.2131348,409.4891663,404.7652588,404.7652588,404.7652588,404.7652588,404.7652588,404.7652588,404.7652588,404.7652588,404.7652588,404.7652588,404.7652588,404.7641602,404.763092,404.7619629,404.7608643,404.7598267,404.758728,404.7576294,404.7565308,404.7554626,404.7543335,404.7491455,404.7439575,404.7387695,404.7335205,404.728363,404.7231445,404.7179565,404.712738,404.70755,404.7023315,400.2236328,395.7450256,391.2663269,386.7876587,382.3089905,377.8303223,373.3516235,368.8729248,364.3942871,359.9156189
ABW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AUS,49715.19531,49331.96094,48948.72656,48565.50391,48182.28125,47799.06641,47767.96875,47736.86719,47705.76953,47674.66797,47643.56641,47612.46875,47581.36719,47550.26563,47519.16797,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47488.06641,47463.78125,47439.49219,47415.20313,47390.91016,47366.625,47342.33594,47318.04297,47293.75781,47269.46484,47245.17969,46846.68359,46448.19922,46049.90625,45651.73438,45253.57031,44855.41016,44457.26563,44059.11719,43660.96875,43262.82422,42930.70703,42620.38281,42392.55859,42166.21094,41948.34766,41732.33594,41515.53906,41297.55078,41083.48047,40865.67188,40742.12109,40616.51563,40486.03516,40327.33594,40152.33984,39972.05469,39808.38672,39644.07422,39463.77344,39284.29688
AUT,1397.348511,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1397.348633,1383.817993,1370.287476,1356.756836,1343.226196,1329.695801,1316.165039,1302.634644,1289.103882,1275.573364,1262.042725
AZE,2332.843262,2327.26709,2321.690918,2316.11499,2310.539063,2304.962891,2298.897705,2292.832275,2286.766846,2280.701416,2274.635986,2268.570557,2262.505371,2256.439941,2250.374512,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2244.309082,2236.424561,2228.540527,2220.65625,2212.771973,2204.887451,2197.003174,2189.119141,2181.234863,2173.350586,2165.466064,2165.466064,2165.466064,2165.466064,2165.466064,2165.466064,2165.466064,2165.466064,2165.466064,2165.466064,2165.466064,2165.460693,2165.455322,2165.449707,2165.444336,2165.438721,2165.43335,2165.427734,2165.422363,2165.416748,2165.411133,2165.385254,2165.358643,2165.33252,2165.306152,2165.280029,2165.253418,2165.227539,2165.201172,2165.175049,2165.148682,2139.148682,2113.148682,2087.148926,2061.148926,2035.148926,2009.148926,1983.149292,1957.149048,1931.149292,1905.149292
BHS,3.303466082,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303469658,3.303467274,3.303469419,3.303467274,3.303469419,3.303467274,3.303469419,3.303467274,3.303469658,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303469658,3.303467274,3.303469419,3.303467274,3.303469658,3.303467512,3.303469658,3.303467512,3.303469658,3.303467512,3.303468704,3.303467512,3.303468704,3.303467512,3.303468704,3.303467512,3.303468704,3.303467512,3.303468704,3.303467512,3.303467989,3.303468227,3.303468704,3.303468943,3.303468227,3.303468704,3.303469419,3.303469658,3.303470135,3.303469658,3.303467512,3.303468227,3.303468943,3.303469419,3.303467989,3.303468227,3.303468943,3.303469658,3.303467989,3.303468704,3.303470612,3.303469658,3.303469658,3.303471327,3.303469658,3.303469658,3.303471327,3.303470612,3.303470612,3.303470612,3.303469419,3.303469658,3.303469658,3.303471327,3.303468227,3.303470612,3.303470612,3.303469658,3.303469658,3.303472281
BHR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
