"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,5257.561523,5247.564453,5251.10791,5254.487305,5259.728027,5264.478027,5299.056152,5316.867676,5331.851074,5354.92041,5372.699219,5389.520508,5408.84668,5422.449219,5457.220215,5484.269043,5501.147461,5508.798828,5546.021973,5577.941895,5585.132813,5613.405273,5625.783691,5661.730957,5680.95166,5688.835449,5691.757813,5715.068848,5734.405273,5750.02832,5751.446289,5755.126465,5785.817871,5822.502441,5828.195313,5868.547363,5870.145996,5872.196777,5875.26709,5891.679688,5911.336426,5922.682617,5923.914551,5941.040039,5950.09082,5974.490234,5976.307129,5997.712402,6000.373535,6003.744141,6003.966309,6027.82666,6051.036621,6052.839844,6055.535156,6072.11084,6093.843262,6135.939941,6136.223633,6141.12793,6146.056641,6144.220703,6143.983398,6151.118652,6176.381836,6179.402344,6179.072266,6178.059082,6177.691406,6179.063965,6204.474121,6208.901367,6210.12207,6210.294434,6229.153809,6231.337402,6236.636719,6236.622559,6240.165039,6239.535156,6238.302734,6238.003906,6237.32666,6233.523926,6233.708008,6252.847656
ALB,441.7797852,432.176178,435.7000122,438.1949768,437.3181458,435.3088684,435.9841003,442.2146606,442.5863647,442.9579163,440.3862,440.8999939,441.4136353,441.9271545,442.4405212,442.9537354,443.1756897,437.3817444,437.5548401,437.7279358,437.901062,438.0097046,438.1184692,438.2270508,438.3356934,438.0545044,438.4983521,438.457428,438.4163513,438.3752747,438.334198,439.0357361,439.7365417,440.8780518,438.3287048,438.984375,438.6152954,438.2461853,437.8770752,437.5080566,436.6636963,435.7276917,435.5567627,435.3856506,435.2145996,435.0435486,434.5206909,433.9977417,433.4748535,432.9519348,432.4291077,432.01651,431.6038513,430.777832,429.9554138,429.5461731,429.0431213,428.5400085,428.0369568,427.5512695,426.693573,426.2088318,425.7241211,423.2817383,422.7987976,422.3158875,420.0327454,419.4951477,418.9575195,416.7574463,416.2332458,415.7487183,415.2642517,414.7797852,412.7869568,410.5701599,410.1330566,406.789917,406.168396,405.5612183,405.1413269,404.9455872,405.0570679,400.7097778,400.6032715,399.8512878
DZA,619.8674316,620.022583,620.3214722,620.3513794,620.1571045,619.9619751,620.9275513,621.791626,622.6538696,623.5168457,624.3637085,624.8838501,625.4009399,625.9230957,626.4512939,626.9785156,626.8961792,626.8119507,626.7276001,626.6436157,626.5602417,626.3352051,626.1192627,625.9032593,625.6869507,625.4655762,625.607666,625.2668457,624.9257202,624.586731,624.2474365,623.7163086,623.1868896,622.6572266,622.1300049,621.6032715,621.2781372,620.9552002,620.631958,620.309082,619.9859009,619.3226318,618.6604004,617.9855347,618.6442871,617.9667969,617.5682373,617.1693726,616.7706909,616.3759155,615.9818115,615.4854126,614.9900513,614.4967041,614.003418,613.5105591,612.8869629,612.2630615,611.6395874,611.0159302,610.3953247,609.6851196,608.9746704,608.2883911,607.5994263,606.9109497,606.0514526,605.1923218,604.3338623,603.4754028,602.6166992,601.5463257,600.4777222,599.8415527,598.7754517,599.8745728,599.0148926,597.8224487,598.3501587,604.2501221,617.3572388,622.7229614,635.5975342,644.2028198,658.0053711,667.0805054
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,19658.83789,19800.01758,19969.05859,20099.83984,20262.13672,20418.97656,20558.53711,20791.35352,21060.99609,21252.24023,21421.68945,21647.22852,21885.25195,22177.55469,22345.17578,22484.1543,22656.23047,22849.21875,23065.74609,23211.51172,23461.41602,23749.39063,23887.60156,24111.82813,24250.19141,24488.10547,24627.32813,24762.17383,24863.23633,24930.94531,25008.22461,25109.02148,25211.65625,25292.53711,25438.20508,25642.41211,25786.27148,26012.97266,26141.46094,26274.72852,26542.91016,26697.39063,26863.01172,27092.58203,27287.60547,27593.11523,27752.44336,27955.53711,28142.41797,28314.23828,28464.12305,28712.86523,28813.95508,29044.6543,29232.3125,29455.40625,29558.30469,29825.56836,30076.68945,30226.21289,30441.55664,30603.43359,30804.48828,30943.09375,31061.19922,31183.72266,31343.80664,31500.5,31647.12305,31827.48242,31884.37109,32010.42773,32096.9375,32244.66602,32320.03125,32406.23438,32484.07813,32572.7832,32645.17188,32771.21094,32831.77734,32897.07813,32971.53125,33083.33203,33157.69531,33215.25
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,6984.24707,6979.036621,6961.991699,6949.479004,6938.341797,6926.694336,6930.122559,6931.486328,6933.806152,6934.862305,6947.403809,6945.278809,6947.527832,6951.356934,6955.083496,6953.165527,6955.165527,6957.283691,6960.457031,6961.288574,6960.891602,6962.344238,6958.747559,6961.85791,6966.363281,6964.456055,6968.741699,6973.052734,6971.863281,6972.395996,6977.977539,6985.295898,6983.587402,6989.783691,6987.63916,6991.54834,6989.588867,6981.20459,6980.020996,6972.335938,6967.652344,6969.206055,6967.728027,6966.808594,6965.884766,6965.07959,6966.210938,6968.576172,6969.053223,6970.056152,6973.611328,6976.879395,6982.484863,6988.13916,6987.025879,6987.805664,6992.73877,6989.792969,6994.365234,6996.408203,6993.470703,7001.758301,7000.330566,7001.012695,7001.619629,7007,7018.365723,7022.750977,7023.390137,7029.777832,7039.62207,7031.875,7044.194336,7052.867188,7057.865723,7067.777344,7071.930664,7078.069336,7090.251465,7098.470703,7109.474121,7116.266602,7124.544434,7136.036621,7143.761719,7151.462402
ARM,610.3113403,610.7258911,609.9026489,609.2451782,607.1512451,608.0546265,608.8711548,609.6871948,610.5023804,608.1182861,608.8540039,609.3744507,609.8536987,610.3386841,610.824707,611.3188477,611.3917236,611.4639282,611.5391846,611.616394,611.7016602,611.5244751,611.6290283,611.7335205,611.8414307,611.9555054,612.0945435,612.2345581,612.3746948,612.5172729,612.6600952,612.8302612,612.9954224,613.1608887,613.3272095,613.4935913,613.5812378,613.668457,613.7558594,613.2625732,613.348999,613.3283081,612.748291,612.7269287,612.1654053,612.1437988,612.1132202,612.0829468,612.0525513,612.0222778,611.9919434,611.9434204,611.3896484,611.340332,611.2913818,610.7474365,610.6358643,610.524292,610.4125977,610.3010864,610.1894531,610.1269531,610.06427,610.0018921,609.9393921,609.87677,609.7885132,609.6940918,609.175415,609.0793457,608.9832764,608.9194946,607.3005981,607.2453003,607.1898804,607.1348267,605.6050415,603.7869873,602.9908447,602.824707,602.8121338,602.3056641,602.317749,601.7176514,601.1027832,600.5020752
