"1,000ha",2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
AFG,13224.45508,13485.02734,13745.66602,14006.37012,14267.14746,14528,14524,14520.01953,14516.06445,14512.12793,14508.21387,14504.32227,14500.45215,14496.60156,14492.77344,14488.96582,14488.96582,14488.97168,14488.99121,14489.0166,14489.05273,14489.09766,14489.15234,14489.21582,14489.28809,14489.37012,14489.29102,14489.21094,14489.13379,14489.05566,14488.97754,14488.90039,14488.82227,14488.74414,14488.66602,14488.58887,14486.32031,14484.05469,14481.78809,14479.34082,14476.74121,14474.13281,14469.41602,14464.34668,14459.25586,14454.1377,14454.05566,14453.97168,14453.88867,14453.80566,14453.72461,14453.6416,14453.55762,14453.47461,14453.39355,14453.30762,14453.52539,14453.73828,14453.95313,14454.16699,14454.38281,14454.59668,14454.81055,14455.02734,14455.24121,14455.45508,14455.99414,14456.5332,14457.07324,14457.6123,14458.15332,14458.69238,14459.2334,14459.77246,14460.31152,14460.84961,14404.44434,14348.03906,14291.63379,14235.23145,14178.8252,14122.41992,14066.01563,14009.6123,13953.20898,13896.80469
ALB,1120.544922,1120.52124,1120.498047,1120.474609,1120.451172,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.427734,1120.323486,1120.21936,1120.11499,1120.010742,1119.906494,1119.802124,1119.697876,1119.593628,1119.489258,1119.38501,1119.301392,1119.217773,1119.134155,1119.050293,1118.966797,1118.883057,1118.799194,1118.715576,1118.631958,1118.548218,1118.542725,1118.537231,1118.531616,1118.526123,1118.520508,1118.515015,1118.509644,1118.504028,1118.498535,1118.49292,1118.123901,1117.754883,1117.385864,1117.016724,1116.647705,1116.278809,1115.90979,1115.540894,1115.171631,1114.80249
DZA,8865.700195,8730.208008,8594.71875,8459.230469,8323.740234,8188.250977,8035.289063,7882.328125,7729.365234,7576.402832,7423.441406,7270.479492,7117.518066,6964.556152,6811.594238,6658.630859,6643.832031,6629.033691,6614.234375,6599.43457,6584.63623,6569.836426,6555.038574,6540.23877,6525.439941,6510.640137,6492.601563,6474.563477,6456.523926,6438.486328,6420.44873,6402.410156,6384.372559,6366.333008,6348.29541,6330.257324,6317.999512,6305.742188,6293.484863,6281.227051,6268.970703,6256.712402,6244.45459,6232.197266,6219.94043,6207.683105,6207.682129,6207.681152,6207.680664,6207.679688,6207.679688,6207.678711,6207.678223,6207.677734,6207.67627,6207.675781,6207.292969,6206.910156,6206.526367,6206.144043,6205.759766,6205.377441,6204.994141,6204.61084,6204.228027,6203.844238,6197.838867,6191.833496,6185.827637,6179.822266,6173.816895,6167.811523,6161.805664,6155.799805,6149.794434,6143.788574,6138.414063,6133.040039,6127.665039,6122.290527,6116.915527,6111.541504,6106.166992,6100.79248,6095.41748,6090.042969
ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AND,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGO,25779.59375,25891.9043,26006.58594,26123.38867,26242.0957,26362.52148,26688.66602,27014.81055,27340.95508,27667.09961,27993.25,28319.39648,28645.54688,28971.69922,29297.85352,29624.00586,29691.00391,29757.99609,29824.99414,29891.98828,29958.98438,30025.98242,30092.97656,30159.97656,30226.96875,30293.96875,30321.08984,30348.2168,30375.33984,30402.46094,30429.58789,30456.71289,30483.83398,30510.96094,30538.08203,30565.20508,30569.19922,30573.19531,30577.19336,30581.19336,30585.1875,30589.18164,30593.17578,30597.17188,30601.17188,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,30605.16797,29823.89063,29042.61719,28260.22852,27472.60352,26658.79688,25832.68945,25029.41406,24232.39648,23440.30078,22649.60156,22649.60352,22649.60352,22649.60352,22649.60352,22649.60352,22649.60352,22649.60352,22649.60352,22649.60352,22649.60352
AIA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ARG,53597.30078,53620.82422,53648.83594,53684.75391,53720.86328,53758.32422,53814.60938,53871.10156,53927.86328,53984.94531,54042.39844,54100.39844,54159.04688,54218.625,54279.5625,54361.44922,54363.69922,54365.91016,54368.10156,54370.25781,54372.37891,54374.47656,54376.53516,54378.57422,54380.57813,54382.55078,54381.75781,54380.95313,54380.15234,54379.35156,54378.55078,54377.74219,54376.95313,54376.15234,54375.34375,54374.53516,54372.17578,54369.80859,54367.44531,54365.07422,54362.71094,54360.35156,54357.98047,54355.625,54353.25781,54350.88672,54350.66797,54350.44922,54350.22266,54350.00781,54349.78125,54349.5625,54349.34375,54349.11328,54348.89844,54348.67578,54347.3125,54345.95313,54344.58984,54343.22266,54341.86328,54340.5,54339.13281,54337.76953,54336.40625,54335.04297,54335.04297,54335.04297,54335.04297,54335.04297,54335.04297,54335.04297,54335.04297,54335.04297,54335.04297,54335.04297,54316.71094,54298.375,54280.03516,54261.69922,54243.375,54225.03516,54206.69922,54188.375,54170.03516,54151.69922
ARM,1079.847412,1078.639771,1077.432007,1076.224365,1075.016724,1073.80896,1072.608032,1071.40686,1070.205933,1069.004883,1067.803711,1066.602783,1065.401489,1064.200684,1062.999512,1061.798462,1061.798462,1061.798462,1061.798462,1061.798462,1061.798462,1061.798462,1061.798462,1061.798462,1061.798462,1061.798462,1061.79834,1061.798096,1061.797974,1061.797974,1061.797852,1061.797729,1061.797485,1061.797485,1061.797363,1061.797241,1057.073242,1052.349365,1047.625488,1042.901611,1038.177612,1033.453613,1028.729614,1024.005737,1019.281799,1014.5578,1014.5578,1014.5578,1014.5578,1014.5578,1014.5578,1014.5578,1014.557678,1014.557678,1014.557678,1014.557678,1014.556641,1014.555481,1014.554504,1014.553284,1014.552368,1014.551208,1014.55011,1014.549011,1014.547913,1014.546875,1012.738037,1010.929321,1009.120483,1007.311951,1005.503113,1003.694336,1001.885559,1000.076904,998.2681885,996.4593506,991.9807129,987.5020752,983.0232544,978.5446167,974.065979,969.5873413,965.1087036,960.6300049,956.1512451,951.6726074
