"Land Use, Cropland (1,000ha)",2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AFG,18871.4,19181.51667,19491.63333,19801.75,20111.86667,20421.98333,20732.1,20022.61667,19313.13333,18603.65,17894.16667,17184.68333,16475.2,16475.2,16475.2,16475.2
ALB,1381.2,1385.766667,1390.333333,1394.9,1399.466667,1404.033333,1408.6,1402.283333,1395.966667,1389.65,1383.333333,1377.016667,1370.7,1370.7,1370.7,1370.7
DZA,12966.6,12882.5,12798.4,12714.3,12630.2,12546.1,12462,12068.56667,11675.13333,11281.7,10888.26667,10494.83333,10101.4,10101.4,10101.4,10101.4
ASM,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2
AND,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4
AGO,58189.4,58204.43333,58219.46667,58234.5,58249.53333,58264.56667,58279.6,58291.6,58303.6,58315.6,58327.6,58339.6,58351.6,58351.6,58351.6,58351.6
AIA,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
ATG,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6,24.6
ARG,138696.4,138293.25,137890.1,137486.95,137083.8,136680.65,136277.5,136220.5,136163.5,136106.5,136049.5,135992.5,135935.5,135935.5,135935.5,135935.5
ARM,1731.5,1726.433333,1721.366667,1716.3,1711.233333,1706.166667,1701.1,1699.633333,1698.166667,1696.7,1695.233333,1693.766667,1692.3,1692.3,1692.3,1692.3
ABW,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3
AUS,420406.4,418393.3333,416380.2667,414367.2,412354.1333,410341.0667,408328,404747.3333,401166.6667,397586,394005.3333,390424.6667,386844,386844,386844,386844
AUT,2816.3,2817.25,2818.2,2819.15,2820.1,2821.05,2822,2822.066667,2822.133333,2822.2,2822.266667,2822.333333,2822.4,2822.4,2822.4,2822.4
AZE,5732.3,5719.316667,5706.333333,5693.35,5680.366667,5667.383333,5654.4,5659.85,5665.3,5670.75,5676.2,5681.65,5687.1,5687.1,5687.1,5687.1
BHS,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2,114.2
BHR,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
BGD,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7,10824.7
BRB,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4,31.4
BLR,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383,11383
BEL,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6,2154.6
BLZ,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3,700.3
BEN,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745,6745
BTN,153.2,153.6666667,154.1333333,154.6,155.0666667,155.5333333,156,156.8666667,157.7333333,158.6,159.4666667,160.3333333,161.2,161.2,161.2,161.2
BOL,38816.2,38788.73333,38761.26667,38733.8,38706.33333,38678.86667,38651.4,38670.15,38688.9,38707.65,38726.4,38745.15,38763.9,38763.9,38763.9,38763.9
BES,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9
BIH,2606.9,2608.766667,2610.633333,2612.5,2614.366667,2616.233333,2618.1,2618.533333,2618.966667,2619.4,2619.833333,2620.266667,2620.7,2620.7,2620.7,2620.7
BWA,34526.8,34519.53333,34512.26667,34505,34497.73333,34490.46667,34483.2,34479.38333,34475.56667,34471.75,34467.93333,34464.11667,34460.3,34460.3,34460.3,34460.3
BRA,311375.9,311403.2333,311430.5667,311457.9,311485.2333,311512.5667,311539.9,311670.4167,311800.9333,311931.45,312061.9667,312192.4833,312323,312323,312323,312323
VGB,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
BRN,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7,131.7
BGR,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.5,6736.616667,6736.733333,6736.85,6736.966667,6737.083333,6737.2,6737.2,6737.2,6737.2
BFA,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8,21851.8
BDI,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6,2126.6
CPV,85.6,85,84.4,83.8,83.2,82.6,82,81.48333333,80.96666667,80.45,79.93333333,79.41666667,78.9,78.9,78.9,78.9
KHM,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1,7364.1
CMR,25383.6,25383.73333,25383.86667,25384,25384.13333,25384.26667,25384.4,25384.63333,25384.86667,25385.1,25385.33333,25385.56667,25385.8,25385.8,25385.8,25385.8
CAN,91005.1,95911.25,100817.4,105723.55,110629.7,115535.85,120442,132613.2833,144784.5667,156955.85,169127.1333,181298.4167,193469.7,193469.7,193469.7,193469.7
CYM,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7
CAF,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6,36717.6
TCD,69302.5,69655.08333,70007.66667,70360.25,70712.83333,71065.41667,71418,72231.73333,73045.46667,73859.2,74672.93333,75486.66667,76300.4,76300.4,76300.4,76300.4
