Labour Force Participation Ratio [15-64],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IND,NaN,55.896,55.878,55.881,55.905,56.473,57.04,57.608,58.175,58.742,59.308,58.794,58.279,57.762,57.241,56.716,56.742,56.766,56.791,56.818,56.847,56.173,55.501,55.376,55.235,55.061,54.81,54.524,54.221,53.923,53.202,54.097,55.356
IDN,NaN,67.769,68.04,67.34,68.715,68.695,68.673,68.069,68.666,69.081,69.586,69.098,68.024,67.652,67.607,66.576,66.424,68.414,68.61,68.273,68.875,69.41,69.984,69.306,69.095,69.043,68.778,69.08,70.062,70.608,69.675,68.207,69.09
IRN,NaN,46.841,46.272,45.715,45.156,44.584,44.009,44.344,44.674,45.004,45.333,45.663,46.005,46.349,46.686,47.023,46.175,45.322,43.115,44.082,43.471,41.907,42.6,42.687,42.531,43.817,45.282,46.632,47.063,46.903,44.199,43.972,46.033
IRQ,NaN,43.844,43.681,43.697,43.705,43.658,43.65,43.528,43.539,43.545,43.549,43.549,43.545,43.538,43.528,43.513,43.494,43.47,43.309,43.149,42.993,42.837,42.68,43.681,44.694,44.744,44.795,43.534,43.562,43.32,41.179,41.521,42.863
IRL,NaN,65.344,63.585,64.356,65.13,65.147,65.925,66.634,68.924,70.637,71.585,71.437,71.464,71.69,72.034,74.253,74.859,75.472,74.754,72.961,71.582,71.239,71.25,71.965,71.967,72.121,72.735,72.695,72.957,73.291,71.913,74.546,76.758
IMN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ISR,NaN,66.564,67.16,68.751,69.772,70.191,69.565,69.25,68.561,68.981,69.708,69.552,68.666,69.068,69.604,69.98,70.464,71.079,70.942,70.89,71.249,70.965,73.233,73.106,73.764,73.743,73.682,73.669,73.521,73.2,71.513,71.649,73.337
ITA,NaN,60.98,58.874,58.521,58.185,57.976,58.404,58.723,59.407,59.951,60.359,60.777,61.587,62.417,63.163,62.796,62.96,62.667,63.161,62.504,62.224,62.334,63.81,63.699,64.316,64.417,65.303,65.764,65.968,66.061,64.424,64.676,65.758
JAM,NaN,75.242,74.913,74.526,74.099,73.623,73.104,72.553,71.962,71.079,70.372,69.648,69.154,68.685,68.5,68.227,67.95,67.647,67.326,64.919,63.217,63.973,63.925,65.126,65.845,68.997,68.463,69.243,69.126,70.801,68.658,71.001,70.752
JPN,NaN,70.896,71.389,71.571,71.643,71.776,72.286,72.859,72.911,72.776,72.86,73.009,72.731,72.729,72.72,73.136,73.612,74.047,74.244,74.349,74.413,74.322,74.419,75.326,76.086,76.498,77.423,78.209,79.455,80.242,80.296,80.639,81.266
JEY,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
JOR,NaN,40.524,40.306,40.502,40.662,40.748,40.833,40.858,40.893,40.903,40.874,40.347,39.901,38.971,39.465,39.957,39.409,41.614,41.368,41.998,41.383,40.933,39.901,38.938,38.058,39.321,40.676,42.054,41.045,41.241,42.055,40.726,41.424
KAZ,NaN,75.26,75.548,75.965,76.481,76.801,76.795,76.705,76.678,76.539,76.275,76.019,75.938,76.263,76.451,76.141,76.452,77.178,77.824,77.503,77.225,77.057,77.007,77.051,77.151,77.291,77.444,77.605,77.779,78.022,77.308,77.825,77.032
KEN,NaN,74.056,73.924,73.776,73.632,73.499,73.398,73.313,73.244,73.16,73.242,73.323,73.402,73.482,73.564,73.648,73.735,73.824,73.914,74.006,74.105,74.21,74.317,74.421,74.524,74.621,74.713,74.566,74.421,74.263,73.559,74.033,74.071
KIR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KWT,NaN,65.537,64.831,65.203,67.129,68.33,68.42,67.92,67.487,67.209,67.148,67.34,67.782,68.441,69.222,69.576,69.333,69.114,69.147,69.413,69.889,70.743,71.741,72.542,73.147,74.173,74.608,74.633,74.794,74.668,71.285,72.498,73.796
KGZ,NaN,73.915,75.019,76.23,77.852,78.357,77.987,77.409,77.33,77.127,76.785,76.458,76.507,76.102,75.702,75.747,75.538,74.924,74.262,73.929,73.833,73.004,70.473,68.611,67.513,67.825,67.462,65.934,66.99,67.177,67.752,68.064,68.941
LAO,NaN,68.354,68.192,68.006,67.692,67.429,67.164,66.919,66.842,66.585,66.399,66.211,66.008,65.792,65.559,65.273,64.909,64.609,64.316,64.054,63.761,63.501,63.253,63.014,62.803,62.578,62.345,62.143,61.985,61.87,61.312,61.11,61.965
LVA,NaN,68.102,69.594,70.268,70.313,70.486,70.565,70.326,70.009,68.461,67.318,68.067,69.842,69.347,69.347,69.815,71.701,73.247,74.834,74.209,73.483,73.325,74.916,74.576,74.927,76.134,76.734,77.405,78.255,78.021,78.954,76.568,77.651
LBN,NaN,46.14,45.944,45.955,46.024,46.105,45.826,45.922,45.911,46.092,46.228,46.224,46.297,46.406,46.382,46.251,46.117,45.982,46.497,47.017,47.546,48.084,48.634,49.2,49.781,50.486,51.32,52.157,52.982,53.787,48.847,50.278,50.374
LSO,NaN,75.325,75.193,75.03,74.866,74.676,74.557,74.422,74.271,74.108,73.635,73.155,72.667,72.17,71.664,71.148,70.618,70.079,69.533,68.983,68.433,67.883,67.335,66.793,66.716,66.621,66.581,66.494,66.413,66.345,65.728,65.653,66.586
LBR,NaN,78.546,78.313,78.068,77.889,77.838,77.812,78.019,78.075,78.104,78.133,78.184,78.226,78.077,78.094,78.138,78.2,78.26,78.304,78.324,78.321,78.319,78.301,78.276,78.191,78.087,77.982,77.886,77.776,77.644,76.876,77.234,77.582
LBY,NaN,48.605,48.743,48.893,49.041,49.186,49.328,49.46,49.585,49.713,49.838,49.958,50.075,50.177,50.272,50.359,50.401,50.434,50.458,50.471,50.485,50.704,50.954,50.896,50.859,50.851,50.874,50.885,50.878,50.869,49.121,49.512,50.854
LIE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LTU,NaN,75.752,75.265,74.776,74.278,73.777,73.252,72.68,72.072,72.412,71.035,69.968,69.611,72.049,69.154,68.463,67.292,67.708,68.291,69.501,70.174,71.39,71.906,72.583,73.938,74.376,75.703,76.169,77.468,78.09,78.538,78.202,78.503
LUX,NaN,61.544,63.54,62.784,62.83,60.786,61.155,61.46,61.768,63.08,64.168,64.597,65.842,65.1,66.132,66.851,67.017,67.172,67.322,69.298,68.75,68.493,69.877,70.61,71.461,71.596,70.678,70.947,71.831,72.76,72.941,74.063,74.148
MDG,NaN,87.458,87.429,87.401,87.383,87.387,87.471,87.56,87.643,87.712,87.761,87.836,87.86,87.868,87.85,87.807,87.804,87.784,87.749,87.701,87.642,87.572,87.498,87.424,87.346,87.268,87.119,86.991,86.88,86.779,85.923,86.202,86.407
MWI,NaN,80.358,80.326,80.35,80.28,80.366,80.458,80.54,80.623,80.68,80.694,80.71,80.727,80.741,80.751,80.758,79.712,78.631,77.509,76.34,75.123,73.859,72.989,72.097,71.181,70.243,69.281,68.299,68.716,69.122,68.973,68.979,69.55
MYS,NaN,63.62,63.581,63.523,63.495,63.48,63.477,63.498,63.625,63.648,63.626,63.609,63.533,63.436,63.326,63.227,63.151,63.115,62.606,62.953,62.974,64.332,65.532,67.233,67.627,67.943,67.918,68.153,68.712,69.355,69.253,69.775,69.401
MDV,NaN,50.575,50.95,51.322,51.69,52.057,52.788,53.522,54.255,54.985,55.708,55.486,55.268,55.054,54.841,54.627,54.387,54.114,53.832,53.551,54.551,55.545,56.535,57.521,58.512,59.506,60.498,62.391,64.265,66.131,62.097,64.33,66.378
MLI,NaN,72.312,72.273,72.25,72.21,72.135,72.146,72.118,72.085,72.038,71.968,72.011,71.997,72.012,71.995,72.005,72.071,72.117,72.157,72.183,72.196,72.255,72.279,72.295,72.306,72.477,71.77,71.049,70.02,68.975,67.341,67.387,68.01
MLT,NaN,57.211,57.43,57.601,57.675,57.829,58.261,58.494,58.554,58.624,58.073,58.793,58.727,58.573,56.998,57.545,57.709,58.665,59.029,59.425,60.589,62.185,64.266,66.675,68.231,69.187,70.96,72.517,74.926,75.937,77.058,78.058,79.85
MHL,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTQ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MRT,NaN,47.221,47.167,47.129,47.059,47.045,47.018,46.949,46.905,46.864,46.792,46.576,46.372,46.189,45.996,45.818,45.675,45.455,45.265,45.099,44.944,44.792,44.641,44.182,43.682,43.187,42.696,42.21,42.128,42.057,41.637,41.416,42.036
MUS,NaN,63.812,63.828,63.84,63.808,63.721,63.556,63.392,63.235,63.079,62.925,61.593,62.387,64.629,63.179,63.64,63.453,62.612,62.733,62.968,63.852,63.254,63.574,64.903,65.357,66.124,65.67,66.171,66.043,66.956,63.111,60.458,64.163
MYT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MEX,NaN,60.279,60.836,61.471,61.532,61.632,61.741,63.21,62.934,62.151,62.067,61.436,60.967,61.428,62.122,62.993,63.875,64.024,63.747,63.757,63.625,63.842,64.624,64.497,63.967,64.1,64.112,63.981,64.308,65.178,60.557,64.281,65.446
FSM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MCO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MNG,NaN,63.592,63.996,64.097,63.958,63.654,63.55,63.377,63.229,63.092,63.049,62.944,62.77,62.514,62.48,62.466,62.457,62.441,60.774,61.01,61.977,63.239,62.769,62.296,62.891,62.749,61.579,62.472,62.492,66.115,64.128,61.932,64.12
MNE,NaN,55.752,55.965,56.165,56.251,56.306,56.38,56.467,56.479,56.929,57.007,57.203,57.388,57.565,57.695,57.808,57.749,57.673,57.581,57.698,57.604,57.545,59.076,59.429,62.548,63.643,64.811,65.153,66.815,68.753,64.236,65.599,68.181
MSR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAR,NaN,52.213,52.507,52.736,52.517,52.973,52.691,52.982,52.925,53.102,53.223,53.131,52.562,52.631,52.679,52.703,52.79,52.834,52.91,52.463,52.015,51.636,50.877,50.864,50.694,50.19,49.305,48.35,48.792,49.264,47.884,48.682,47.7
MOZ,NaN,84.474,84.311,84.221,84.143,84.063,84.117,84.156,83.914,83.668,83.419,83.166,82.91,82.649,82.384,82.116,81.844,81.569,81.291,81.01,80.725,80.437,80.146,79.852,79.557,79.258,79.214,79.16,79.1,79.033,78.284,78.274,79.084
MMR,NaN,80.14,79.605,79.302,78.906,78.546,78.225,77.958,77.674,77.067,76.291,75.66,74.995,74.235,73.498,72.77,72.081,71.461,70.938,70.42,69.976,69.746,69.444,69.106,68.826,68.624,67.402,66.156,66.56,64.747,64.366,59.188,59.277
NAM,NaN,57.028,56.962,56.855,56.753,56.135,55.517,54.903,55.067,55.23,55.393,55.679,55.966,56.254,56.542,56.828,57.112,57.399,57.69,57.986,58.288,58.597,58.909,62.949,62.379,62.493,62.596,61.402,60.15,60.175,58.959,59.399,60.406
NRU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPL,NaN,42.647,42.617,42.619,42.653,42.713,42.675,42.656,42.652,42.66,42.683,42.623,42.565,42.497,42.41,42.306,42.291,42.24,42.153,42.055,41.96,41.853,41.814,41.82,41.821,41.785,42.005,42.213,42.421,42.639,42.242,42.404,42.672
NLD,NaN,67.89,68.367,68.622,69.578,70.102,70.763,72.307,73.354,74.396,75.736,76.452,77.213,77.27,77.364,75.72,75.957,77.247,78.345,78.605,78.384,78.566,79.521,79.931,79.473,79.963,80.001,80.062,80.558,81.252,81.304,81.941,83.04
NCL,NaN,69.27,69.428,69.599,69.782,69.995,70.209,70.415,70.562,70.707,70.833,70.908,70.925,70.914,70.857,70.947,71.081,71.073,71.053,71.063,71.133,71.199,71.263,71.345,71.403,70.276,69.106,67.915,66.69,65.425,65.411,64.82,65.245
NZL,NaN,73.636,73.315,73.363,74.25,75.059,75.941,75.851,75.453,75.395,75.508,76.03,76.674,76.316,76.801,77.719,78.298,78.494,78.379,78.164,77.903,78.211,77.991,77.86,79.063,79.146,80.395,81.472,81.616,81.333,81.044,81.92,82.85
NIC,NaN,59.179,59.104,58.996,59.046,59.205,59.778,60.311,60.843,61.239,61.637,62.034,62.428,62.82,63.211,63.593,63.968,64.348,64.732,65.121,65.511,65.902,66.293,66.69,67.092,67.303,67.51,67.721,67.572,67.408,66.779,66.902,67.912
NER,NaN,80.038,80.029,79.996,79.957,79.913,79.93,79.94,79.976,79.98,79.983,80.075,80.142,80.19,80.228,80.288,80.389,80.458,80.528,80.563,80.608,80.649,78.755,76.727,74.569,74.547,74.555,74.546,74.535,74.511,73.8,73.601,74.361
NGA,NaN,60.485,60.448,60.361,60.26,60.16,60.134,60.09,60.036,59.973,59.935,59.967,60.034,60.065,60.102,60.127,60.194,60.25,60.296,60.341,60.378,60.422,60.103,59.785,59.658,59.529,59.399,59.267,59.136,59.005,58.437,58.699,59.053
NIU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MKD,NaN,63.248,62.969,62.707,62.419,62.04,61.621,60.347,60.161,59.996,59.803,59.72,59.607,61.901,61.549,61.196,61.18,62.566,63.252,63.515,62.023,63.853,63.66,64.735,65.216,64.818,64.768,65.311,64.966,65.978,65.197,65.049,63.792
MNP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOR,NaN,75.857,75.763,75.4,75.862,76.651,78.212,79.902,80.887,80.31,80.499,80.36,80.426,78.763,78.479,78.062,77.996,78.747,79.989,78.835,78.068,77.797,78.207,78.101,77.945,78.178,77.975,77.252,77.804,78.198,78.146,79.884,80.361
OMN,NaN,58.433,59.22,59.961,60.091,59.588,59.103,58.524,58.089,57.786,57.323,57.045,57.11,57.343,57.531,57.736,58.111,58.68,59.438,60.36,62.163,64.64,67.19,69.298,70.511,71.359,72.228,72.554,72.411,71.988,68.471,68.638,69.976
PAK,NaN,50.732,50.74,50.305,50.164,49.284,50.141,50.997,50.82,51.092,51.362,51.483,51.606,51.753,51.899,51.671,51.439,51.486,51.523,52.128,52.682,52.505,52.833,53.162,52.768,53.741,53.389,53.039,52.689,53.639,53.883,55.014,55.05
PLW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PAN,NaN,59.797,61.423,63.036,63.387,64.562,64.46,64.363,63.649,64.282,64.896,65.516,66.141,66.258,66.678,66.848,65.841,65.929,67.454,68.45,66.99,65.56,67.205,67.867,67.86,68.094,68.243,67.945,69.491,70.778,65.738,66.864,67.589
PNG,NaN,73.682,73.018,72.145,71.952,72.31,72.019,72.421,72.821,72.867,73.181,71.14,69.006,66.783,64.476,62.094,59.648,57.149,54.609,52.043,49.463,49.517,49.427,49.368,48.959,48.804,48.692,48.651,48.753,48.631,48.192,47.954,48.753
PRY,NaN,71.439,71.384,71.649,71.95,72.384,72.315,72.494,72.273,71.915,71.472,71.193,71.012,69.857,73.755,72.514,69.728,71.135,71.794,72.203,70.52,70.762,73.911,72.736,70.918,71.053,73.202,73.196,75.047,75.583,73.495,75.395,74.011
PER,NaN,60.272,60.074,61.068,62.079,64.359,65.881,67.366,68.65,70.109,67.587,70.901,72.16,73.411,74.64,75.842,79.07,81.414,81.207,81.826,82.523,82.148,81.875,81.527,80.628,79.245,78.949,80.616,80.723,80.781,72.203,75.316,75.567
PHL,NaN,63.08,63.183,63.204,63.12,63.023,62.883,62.78,62.934,62.925,62.853,62.831,62.78,62.668,63.076,63.132,63.032,62.842,62.715,63.141,63.128,64.05,63.585,63.324,64.12,63.312,63.517,61.264,61.074,61.577,56.914,58.721,61.725
POL,NaN,69.052,68.9,68.321,67.709,66.676,66.157,65.277,64.893,64.558,65.274,65.624,64.503,64.011,63.665,64.37,63.415,63.202,63.847,64.702,65.606,65.999,66.744,67.24,68.088,68.394,69.074,69.791,70.308,70.715,71.05,72.85,73.222
PRT,NaN,70.353,69.436,68.723,68.286,67.987,67.445,67.504,70.689,70.988,71.136,71.873,72.699,72.931,72.745,73.333,73.746,74.009,74.077,73.582,73.77,73.673,73.457,73.053,73.251,73.412,73.749,74.69,75.145,75.523,74.227,75.211,76.368
PRI,NaN,51.513,51.45,53.251,52.76,52.289,53.33,54.069,54.1,54.012,52.364,52.781,53.197,53.837,54.041,55.404,54.839,53.875,52.613,51.033,49.814,48.499,48.73,48.978,49.25,49.557,50.089,50.417,51.473,52.369,52.35,52.737,54.424
QAT,NaN,82.911,82.638,82.702,82.706,82.792,82.811,82.107,81.787,81.746,81.688,81.933,82.085,82.427,82.187,82.793,84.208,85.729,86.693,87.154,87.16,87.027,86.882,86.932,87.427,87.995,88.179,88.192,88.225,88.189,88.494,88.647,89.623
KOR,NaN,63.07,63.383,63.51,64.292,64.699,64.915,65.34,63.594,63.583,64.493,64.971,65.684,65.478,66.373,66.352,66.428,66.413,66.145,65.533,65.853,66.203,66.37,66.654,67.92,68.509,68.74,69.183,69.209,69.388,68.465,68.978,70.471
MDA,NaN,65.28,65.44,65.572,65.665,65.683,65.731,65.679,65.737,65.766,65.756,63.686,62.534,60.52,58.217,57.147,60.323,60.137,61.002,62.227,64.754,65.711,65.986,66.437,70.944,72.133,71.825,70.312,68.603,71.301,71.645,74.219,73.629
REU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ROU,NaN,70.91,71.122,71.19,71.215,71.208,70.652,71.461,70.28,69.84,69.584,68.341,64.31,63.465,63.984,62.347,63.759,63.228,63.177,63.565,64.586,63.885,64.644,64.79,65.563,65.939,65.406,67.13,67.585,68.432,68.888,65.221,65.936
RUS,NaN,75.989,75.611,73.648,71.594,71.24,70.148,68.614,67.457,71.031,70.981,69.473,70.05,69.925,70.88,71.481,71.993,72.922,73.225,72.979,72.677,72.933,73.119,73.225,73.544,73.823,74.422,74.362,74.646,74.083,74.181,75.238,75.528
RWA,NaN,64.821,64.439,63.818,62.844,62.233,62.272,62.392,62.657,62.981,63.228,63.237,63.218,63.067,62.903,62.794,62.742,62.722,62.743,62.748,62.739,62.748,62.689,62.562,62.458,62.391,62.294,62.229,62.081,60.199,64.56,60.025,62.133
BLM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SHN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KNA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LCA,NaN,67.401,67.579,67.79,68.016,68.26,68.521,68.795,69.081,69.372,69.658,69.877,70.139,70.371,70.613,70.88,71.169,71.47,71.788,72.122,72.435,72.722,74.827,75.047,75.307,75.566,75.835,76.124,76.363,75.025,72.347,74.677,76.114
MAF,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
VCT,NaN,67.504,67.721,68.049,68.005,68.357,68.416,68.56,68.728,68.841,68.911,68.992,69.3,69.69,69.94,70.129,70.543,70.774,70.935,70.936,70.881,70.971,71.15,71.35,71.524,71.712,71.944,72.137,72.38,72.546,70.188,71.138,72.835
WSM,NaN,58.705,58.822,58.712,58.927,58.675,58.397,58.427,58.379,58.333,58.076,57.831,57.71,57.587,57.46,57.351,57.32,57.094,57.077,57.305,57.3,57.144,57.337,57.369,57.386,57.232,56.941,56.942,57.084,57.003,56.509,56.615,57.563
SMR,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
STP,NaN,58.994,58.89,58.761,58.6,58.395,58.221,58.003,57.766,57.538,57.332,57.192,57.091,57.058,57.055,57.088,57.02,56.937,56.875,56.801,56.743,56.7,56.69,56.706,56.71,56.681,56.629,56.559,56.471,56.366,55.811,56.116,56.272
SAU,NaN,54.696,54.953,54.329,53.369,52.524,51.878,51.388,51.091,51.02,52.372,52.696,53.362,54.165,54.662,54.577,54.218,53.875,53.715,53.433,54.379,55.413,56.432,57.1,57.297,57.97,58.813,56.974,57.697,59.657,61.41,62.938,63.067
SEN,NaN,52.559,52.5,52.427,52.322,52.21,52.168,52.098,52.013,51.919,51.813,51.745,51.655,51.584,51.515,51.451,51.414,50.91,50.407,49.905,49.406,48.908,48.407,47.902,47.39,46.882,51.524,47.122,50.344,52.006,51.506,52.047,51.813
SRB,NaN,64.909,64.874,64.801,64.572,64.327,64.043,63.819,63.819,64.341,64.258,64.181,64.109,64.032,63.809,63.645,63.553,63.888,63.184,61.493,60.501,61.426,62.197,63.325,63.977,64.244,66.111,67.125,68.196,68.4,67.963,72.038,73.206
SYC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SLE,NaN,66.672,66.606,66.622,66.599,66.538,66.554,66.491,66.439,66.373,66.374,66.31,66.358,66.335,67.745,66.787,65.82,64.846,63.866,62.88,61.889,60.891,59.887,58.874,57.85,57.134,56.415,55.691,54.963,54.867,54.341,54.27,54.904
SGP,NaN,65.762,66.389,66.949,67.636,68.456,69.089,69.677,69.991,70.388,70.7,70.911,70.273,70.446,70.512,71.229,72.02,71.411,72.52,72.569,73.4,73.57,74.332,74.289,75.181,76.313,76.317,76.44,76.311,77.13,77.314,78.635,79.262
SXM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SVK,NaN,76.054,74.021,71.867,69.269,69.232,69.704,69.233,68.495,68.722,69.17,69.802,69.377,69.734,69.639,69.014,68.752,68.497,69.058,68.708,68.993,68.85,69.623,70.09,70.81,71.195,72.184,72.408,72.67,72.947,72.666,75.013,75.778
SVN,NaN,65.806,66.029,66.166,66.296,66.49,66.724,67.352,68.905,67.288,67.327,68.268,67.876,67.12,69.701,70.412,70.678,71.184,71.705,71.534,71.338,70.16,70.306,70.309,70.852,71.486,71.278,73.88,74.695,74.723,74.755,75.733,76.61
SLB,NaN,84.576,84.126,84.126,83.929,83.653,83.819,84.106,84.263,84.508,85.522,86.143,86.481,86.351,86.213,86.125,86.065,86.019,85.902,85.938,85.679,85.484,85.548,85.443,85.539,85.613,85.47,85.353,85.305,85.396,84.612,84.55,85.688
SOM,NaN,34.602,34.579,34.6,34.612,34.712,34.845,34.959,35.084,35.193,35.271,35.387,35.452,35.479,35.488,35.491,35.546,35.594,35.619,35.608,35.557,35.535,35.467,35.375,35.281,35.204,35.136,35.075,35.024,34.968,34.637,34.669,34.938
ZAF,NaN,66.069,65.918,65.764,65.579,65.355,65.146,64.899,64.607,64.298,63.985,63.736,63.484,63.238,63.03,62.872,62.775,62.714,62.684,61.095,57.351,59.328,59.276,59.598,59.54,61.267,61.764,62.698,62.202,62.477,58.349,59.537,60.824
SSD,NaN,72.222,72.261,72.263,72.268,72.35,72.404,72.46,72.478,72.48,72.481,72.509,72.5,72.466,72.404,72.357,72.335,72.317,72.286,72.225,72.132,72.082,72.026,71.996,71.939,71.824,71.733,71.689,71.642,71.57,70.882,71.245,71.545
ESP,NaN,59.416,59.621,59.884,60.622,60.581,61.201,62.106,62.743,63.559,65.153,64.394,66.473,67.799,68.751,70.024,71.094,71.773,72.738,73.111,73.551,73.933,74.28,74.294,74.217,74.341,74.246,73.933,73.744,73.785,72.273,73.753,74.1
LKA,NaN,62.811,60.221,60.376,60.789,58.447,59.067,58.931,62.937,61.309,59.461,59.198,58.939,58.686,58.435,58.187,57.947,57.729,57.52,57.307,57.089,56.703,56.377,55.872,55.699,57.93,58.031,58.377,56.297,56.864,55.156,55.881,56.115
PSE,NaN,42.192,41.948,41.914,41.88,41.776,41.932,41.522,41.052,40.854,41.472,37.809,37.089,40.046,39.54,39.985,40.005,41.374,40.853,41.056,41.602,42.992,43.332,43.553,43.821,45.903,45.838,46.155,45.573,46.377,42.894,45.528,47.2
