Labour Force Participation Ratio [15-64],1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BTN,NaN,72.248,72.047,71.856,71.658,71.451,71.415,71.406,71.419,71.475,71.574,71.656,71.766,71.901,72.037,72.166,72.132,72.098,72.071,72.06,70.337,69.324,66.646,67.418,64.525,65.633,65.421,65.172,64.895,68.612,70.103,71.237,72.256
BOL,NaN,70.492,70.451,70.695,71.003,71.303,71.567,71.879,72.415,72.944,71.641,71.578,71.494,71.414,71.338,71.267,74.273,72.108,73.167,73.588,73.616,73.647,70.189,70.663,72.86,68.45,68.833,69.987,73.215,72.365,71.581,70.132,72.014
BES,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BIH,NaN,49.564,49.48,49.21,48.899,48.578,48.414,48.305,48.35,48.457,48.536,48.663,49.187,49.677,50.136,50.569,50.969,51.76,53.011,53.21,54.073,53.832,54.057,53.911,55.146,55.537,55.682,55.809,56.084,57.265,57.784,60.999,61.552
BWA,NaN,60.905,60.738,60.554,60.351,60.131,59.936,59.714,59.445,59.051,58.649,58.915,59.179,59.444,59.708,59.971,60.232,61.43,62.617,63.792,60.608,61.178,61.748,62.315,62.889,63.47,64.053,64.638,65.226,65.816,64.225,66.331,66.847
BRA,NaN,66.944,67.171,67.397,67.623,67.846,66.162,67.119,67.3,68.021,68.295,68.559,69.577,69.497,70.206,70.996,70.651,70.439,70.292,70.642,69.499,68.324,68.955,69.023,68.976,69.454,69.736,70.185,70.367,70.989,66.601,69.062,70.279
VGB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BRN,NaN,67.564,67.866,68.176,68.493,68.818,69.142,69.459,69.768,70.071,70.37,70.667,70.531,70.398,70.271,70.153,70.033,69.904,69.759,69.595,69.422,69.286,68.738,68.209,67.696,67.195,66.709,66.238,68.88,67.924,67.678,68.13,69.115
BGR,NaN,68.338,68.822,68.032,67.206,66.347,65.46,64.552,63.65,62.786,61.907,63.601,62.891,61.548,62.588,61.808,63.839,65.506,66.98,66.271,67.086,66.35,67.479,68.824,69.435,69.7,69.027,71.708,71.9,73.687,72.629,72.551,74.13
BFA,NaN,85.702,85.018,84.33,83.609,82.891,82.171,81.411,80.636,79.841,79.004,78.166,77.304,76.442,75.551,74.662,73.741,72.942,72.13,71.306,70.469,69.617,68.746,67.85,66.931,66.873,66.826,66.779,66.729,66.671,66.028,66.429,66.548
BDI,NaN,90.429,89.875,89.179,88.438,87.777,86.953,86.033,85.095,84.279,83.438,82.595,81.736,80.857,79.966,79.015,78.002,78.256,78.484,78.796,79.095,79.271,79.442,79.614,79.745,80.059,80.249,80.309,80.275,80.048,79.066,79.21,79.278
CPV,NaN,63.837,63.796,63.746,63.689,63.625,63.558,63.49,63.419,63.343,63.321,63.361,63.41,63.464,63.515,63.558,63.589,63.607,63.615,63.613,63.478,63.333,63.208,63.102,63.02,62.955,62.926,62.951,59.154,61.31,58.463,59.185,61.514
KHM,NaN,80.617,80.442,80.39,82.85,82.536,82.397,81.745,81.031,80.3,79.592,78.869,78.132,77.382,76.626,75.862,75.086,74.296,73.498,72.696,71.887,71.071,70.25,71.575,72.881,74.169,75.429,76.663,77.871,79.055,78.451,79.259,79.45
CMR,NaN,83.335,83.303,83.228,83.184,83.126,83.088,83.033,82.958,82.873,82.781,82.728,82.673,82.618,82.573,82.506,82.484,82.459,80.768,78.959,77.033,75.993,74.928,73.834,72.71,72.678,72.646,72.6,72.545,72.481,71.787,71.476,72.463
CAN,NaN,76.618,75.774,75.536,75.37,75.138,75.072,75.372,75.74,76.321,76.668,76.883,77.93,78.665,78.614,78.19,78.141,78.678,78.778,78.326,78.168,78.121,78.101,78.323,78.026,78.209,78.344,78.646,78.607,79.132,77.693,79.439,79.762
CYM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAF,NaN,70.754,70.71,70.676,70.644,70.606,70.587,70.588,70.574,70.545,70.484,70.524,70.542,70.52,70.524,70.511,70.577,70.635,70.674,70.711,70.714,70.836,70.941,70.876,70.915,70.948,70.872,70.776,70.662,70.54,69.864,69.883,70.484
TCD,NaN,72.243,72.336,72.289,71.841,71.393,70.944,70.495,70.039,69.575,69.108,68.637,68.16,67.677,67.189,66.698,66.201,65.698,65.194,64.689,64.181,63.667,63.15,62.632,62.112,61.59,61.065,60.538,60.01,59.919,59.348,59.221,60.232
CHL,NaN,56.719,57.94,58.656,59.193,60.174,60.911,61.007,61.175,61.326,60.652,59.846,59.431,59.991,60.459,60.789,62.016,62.581,63.988,63.883,64.233,65.51,65.346,65.473,65.799,65.795,65.6,66.005,66.127,65.821,63.139,64.766,67.788
CHN,NaN,83.797,83.6,83.425,83.247,83.062,82.865,82.652,82.457,82.265,82.051,81.601,81.122,80.619,80.091,79.544,79.011,78.483,77.94,77.395,76.86,76.878,76.555,76.275,76.16,76.067,75.932,75.712,75.495,75.389,74.291,75.839,75.933
HKG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MAC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
COL,NaN,69.256,69.514,69.915,70.363,70.75,70.809,71.023,70.936,70.315,70.493,70.54,69.497,70.414,69.722,68.392,67.773,67.156,67.532,70.412,70.564,71.117,71.841,71.142,70.99,71.181,70.685,70.403,69.783,69.016,68.275,69.546,68.308
COM,NaN,43.127,43.136,43.096,42.99,42.915,42.808,42.718,42.6,42.487,42.418,42.318,42.202,42.07,41.954,42.334,42.714,43.094,43.471,43.839,44.2,44.555,44.908,45.264,45.624,45.546,45.495,45.447,45.401,45.34,44.924,45.177,45.395
COG,NaN,69.787,69.687,69.566,69.425,69.338,69.263,69.172,69.105,69.007,68.952,68.918,68.897,68.858,68.831,68.828,68.814,68.752,68.747,68.754,68.748,68.812,68.888,68.913,68.949,68.935,68.866,68.803,68.723,68.646,67.795,68.213,68.54
COK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CRI,NaN,59.467,58.925,59.883,60.44,61.473,59.446,61.571,63.366,63.236,62.738,64.16,63.847,64.27,63.057,65.73,65.097,66.07,65.475,65.402,64.11,65.266,68.867,68.435,69.236,67.877,64.983,65.307,67.774,70.024,66.697,68.176,68.32
CIV,NaN,65.924,65.84,65.734,65.623,65.541,65.553,65.538,65.52,65.556,65.592,65.629,65.669,65.71,65.747,65.781,65.814,65.846,65.877,65.908,65.938,65.962,65.977,65.99,66.002,66.015,66.033,66.053,66.075,66.099,65.467,65.607,65.786
HRV,NaN,65.44,65.158,64.835,64.483,64.237,64.023,63.732,63.421,63.094,62.743,62.4,62.058,61.137,62.276,60.718,60.386,65.564,65.742,65.667,65.195,64.305,64.047,63.909,66.399,67.21,65.857,66.654,66.473,66.638,67.099,68.425,69.311
CUB,NaN,58.507,57.937,57.188,57.286,57.496,57.965,58.195,58.291,58.678,59.061,59.337,59.548,59.873,60.291,60.979,61.721,62.269,62.695,64.313,63.896,64.807,65.19,65.545,65.789,66.202,66.418,66.715,67.063,67.284,63.347,64.761,67.356
CUW,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CYP,NaN,67.187,66.82,66.917,66.964,67.012,67.07,67.143,67.231,67.333,67.444,69.212,69.369,70.623,70.686,70.957,71.494,72.403,72.133,71.82,72.417,72.24,72.548,72.823,73.723,72.282,71.214,71.918,72.962,73.69,73.785,75.016,76.757
CZE,NaN,71.968,71.994,72.022,72.324,72.303,72.088,72.052,72.086,72.096,71.485,71.003,70.695,70.27,70.034,70.311,70.284,69.81,69.731,70.203,70.275,70.528,71.582,72.883,73.528,74,74.993,75.868,76.56,76.747,76.474,76.879,77.126
PRK,NaN,75.683,76.221,76.638,76.947,77.373,77.733,78.271,78.516,78.417,78.62,78.663,78.853,79.035,79.212,79.279,79.573,79.85,79.866,80.077,80.263,80.385,80.476,80.556,80.618,80.828,80.687,80.85,81.112,81.202,79.762,80.218,81.824
COD,NaN,73.183,73.161,73.113,73.089,73.064,73.103,73.097,73.082,73.04,72.982,72.985,72.999,73.018,73.037,73.05,72.157,71.246,70.319,69.375,68.413,67.432,66.439,66.473,66.498,66.5,66.495,66.478,66.455,66.413,65.782,66.176,66.263
DNK,NaN,83.018,83.311,82.32,78.557,78.671,79.199,79.363,78.968,80.024,79.552,78.632,79.189,79.066,79.796,79.338,79.923,79.803,79.12,78.534,77.856,77.623,77.047,76.417,76.437,76.825,77.39,77.845,78.196,79.029,78.827,79.38,80.322
